year,program,adults,elderly,kids,total
2021,Energy Assistance,-0.0757,-0.0403,-0.0336,-0.1495
2021,Broadband Subsidy,-0.0085,-0.0104,-0.0016,-0.0205
2021,Utilities Assistance,-0.0864,-0.0556,-0.0364,-0.1784
2021,SNAP + School Lunch,-1.8593,-0.3437,-1.2506,-3.4536
2021,FICA,1.404,0.1032,0.4155,1.9227
2021,Childcare Expenses,0.0557,-0.0,0.0765,0.1323
2021,Medical Expenses,2.4963,1.5534,0.6329,4.6825
2021,Work Expenses,1.5363,0.1267,0.4275,2.0905
2021,Federal Income Tax,0.591,0.0923,0.1317,0.8149
2021,Child Support Paid,0.1772,0.0072,0.0309,0.2153
2022,Social Security,-7.3395,-20.0862,-1.4979,-28.9236
2022,SSI,-1.6794,-0.5089,-0.3278,-2.5162
2022,Unemployment Insurance,-0.2478,-0.0317,-0.1135,-0.3929
2022,Child Support Received,-0.0,-0.0,-0.0,-0.0
2022,TANF/General Assistance,-0.2527,-0.0254,-0.2877,-0.5658
2022,Refundable Tax Credits,-2.7172,-0.0967,-3.6352,-6.4491
2022,Housing Subsidies,-1.1545,-0.6691,-0.8145,-2.6381
2022,WIC,-0.077,-0.0,-0.1031,-0.18
2022,SNAP,-1.7643,-0.443,-1.4449,-3.6521
2022,School Lunch,-0.5616,-0.0147,-0.882,-1.4584
2022,Energy Assistance,-0.1049,-0.0427,-0.0351,-0.1827
2022,Broadband Subsidy,-0.0336,-0.0094,-0.0095,-0.0526
2022,Utilities Assistance,-0.1409,-0.059,-0.0467,-0.2466
2022,SNAP + School Lunch,-2.3397,-0.4672,-2.31,-5.1169
2022,FICA,2.624,0.2199,1.2068,4.0507
2022,Childcare Expenses,0.2191,0.0026,0.328,0.5498
2022,Medical Expenses,3.5643,2.1017,1.4403,7.1064
2022,Work Expenses,2.1626,0.2157,0.9443,3.3226
2022,Federal Income Tax,0.8914,0.0723,0.1638,1.1275
2022,Child Support Paid,0.1757,0.0146,0.0719,0.2622
2023,Social Security,-6.5592,-19.5755,-1.4488,-27.5835
2023,SSI,-1.556,-0.5932,-0.3677,-2.5169
2023,Unemployment Insurance,-0.1865,-0.0471,-0.0595,-0.2931
2023,Child Support Received,-0.0,-0.0,-0.0,-0.0
2023,TANF/General Assistance,-0.2066,-0.043,-0.272,-0.5216
2023,Refundable Tax Credits,-2.7343,-0.0721,-3.5628,-6.3693
2023,Housing Subsidies,-1.1642,-0.7237,-0.9239,-2.8119
2023,WIC,-0.1096,-0.0,-0.1102,-0.2198
2023,SNAP,-1.4304,-0.5349,-1.399,-3.3643
2023,School Lunch,-0.4328,-0.0222,-0.6974,-1.1524
