CZ90,Total,Age 0-17,Age 65+
6200.0,251182.9861,0.2028,0.2067
6000.0,738932.1897,0.218,0.1647
6100.0,333842.9753,0.2324,0.1925
6600.0,522770.5918,0.2236,0.173
9600.0,589988.4728,0.2223,0.1735
10700.0,1194941.6885,0.2238,0.1813
10600.0,151264.8444,0.2306,0.1967
10501.0,86077.2633,0.215,0.1857
10801.0,323180.7149,0.2059,0.1594
10802.0,51369.114,0.2131,0.2092
9500.0,147561.8871,0.2066,0.22
11101.0,402073.8556,0.2294,0.1791
9800.0,216171.4007,0.2055,0.1545
9701.0,334005.8409,0.2369,0.1607
10302.0,261237.522,0.2273,0.1965
10301.0,52664.7914,0.2157,0.211
11102.0,82815.178,0.2108,0.2119
11001.0,721631.1058,0.2199,0.2001
11002.0,66350.299,0.2188,0.2218
34102.0,469292.0,0.2386,0.1465
34103.0,10292.2571,0.2198,0.1618
34109.0,37599.1352,0.2197,0.1619
34111.0,19381.9484,0.2323,0.154
34115.0,108512.9093,0.219,0.1623
34101.0,3291.6102,0.2722,0.1288
34104.0,814.755,0.2722,0.1288
34105.0,7495.746,0.2722,0.1288
34106.0,9657.5626,0.2722,0.1288
34107.0,6094.3674,0.2722,0.1288
34108.0,12601.544,0.2722,0.1288
34110.0,13448.8892,0.2722,0.1288
34112.0,26006.9796,0.2722,0.1288
34113.0,10613.5418,0.2722,0.1288
34114.0,5029.7542,0.2722,0.1288
35001.0,5241425.8294,0.2166,0.1739
35002.0,49365.1152,0.2188,0.2474
35401.0,405414.3968,0.164,0.2817
37901.0,2683283.9845,0.2095,0.1815
38100.0,401440.3671,0.2527,0.1865
38300.0,18522702.6329,0.211,0.1612
35100.0,1256281.6496,0.1911,0.2294
35500.0,244710.0104,0.2414,0.193
30300.0,669533.4609,0.236,0.1465
25101.0,69476.3731,0.2021,0.2545
25103.0,83457.1843,0.1986,0.2597
25102.0,96110.7401,0.2208,0.2231
25104.0,54099.8871,0.1894,0.252
25105.0,70246.5563,0.1986,0.2373
25900.0,234656.2602,0.2406,0.1658
5300.0,108915.2351,0.246,0.1823
25800.0,80914.7126,0.2412,0.1925
4301.0,31324.6382,0.2141,0.1951
4302.0,98081.4422,0.2155,0.1912
4200.0,791887.2832,0.2264,0.1704
30000.0,147856.5016,0.2321,0.1881
30100.0,356389.5038,0.2336,0.1876
33500.0,243504.5942,0.2342,0.1991
34001.0,212932.3791,0.1963,0.2352
34002.0,91507.0113,0.2397,0.1937
4101.0,18335.2764,0.2127,0.1987
4102.0,132000.6432,0.2127,0.1987
4001.0,27716.3064,0.2262,0.209
4103.0,69439.7784,0.2262,0.209
37800.0,5236470.0,0.1886,0.1822
37000.0,927010.4252,0.2585,0.1478
37400.0,3522287.0248,0.2218,0.1747
37903.0,32615.6216,0.168,0.2885
37300.0,442803.17,0.2283,0.1793
36600.0,244008.0916,0.2175,0.2162
36700.0,147997.7384,0.1863,0.2103
36501.0,150853.849,0.2066,0.2329
36901.0,49507.734,0.1879,0.2644
37603.0,21888.8156,0.1939,0.2512
37200.0,1827599.0,0.2749,0.131
37100.0,921655.0,0.2783,0.1247
37700.0,642599.0,0.1894,0.2373
37500.0,2694014.0,0.202,0.1604
38000.0,3300626.0,0.203,0.1633
38200.0,726948.0,0.2008,0.1968
28702.0,173970.6201,0.1863,0.1775
36401.0,45680.0812,0.2164,0.1805
28703.0,15596.1936,0.1702,0.1683
28704.0,38981.5355,0.2037,0.1789
28800.0,774097.964,0.2121,0.1609
28900.0,3376506.0724,0.2,0.1517
28301.0,41751.1032,0.2173,0.203
28302.0,15223.3358,0.2176,0.2313
28402.0,5802.8624,0.2173,0.203
28502.0,214170.3859,0.2091,0.2053
28504.0,10499.2468,0.2173,0.203
28501.0,3524.7255,0.2156,0.2214
28503.0,21490.6896,0.1965,0.2398
34805.0,46326.4065,0.2156,0.2214
28401.0,831670.3084,0.2193,0.159
28701.0,19623.9351,0.1557,0.279
35202.0,18355.0452,0.1532,0.236
35300.0,193014.0633,0.2123,0.2001
35402.0,44720.6025,0.1953,0.2094
35201.0,253153.3443,0.1829,0.2503
20901.0,3675069.0,0.198,0.1936
19800.0,694542.0,0.2098,0.1803
19901.0,650033.6122,0.1932,0.2515
11304.0,6163668.8113,0.2216,0.1515
7900.0,420134.118,0.1843,0.1817
7600.0,1830517.5234,0.218,0.1799
10000.0,228049.4417,0.2098,0.1846
7700.0,183193.8103,0.2039,0.2252
7300.0,831304.0,0.1711,0.274
7000.0,4957962.0,0.1994,0.1794
9900.0,521522.2378,0.186,0.1758
6900.0,1183714.5378,0.1486,0.3456
7800.0,599246.0,0.1739,0.311
7200.0,1277464.0,0.1679,0.3064
6800.0,988454.9933,0.212,0.2055
10900.0,844172.4562,0.2119,0.1802
7500.0,816935.7612,0.1689,0.269
7100.0,2241237.4689,0.1868,0.2571
6700.0,3424502.0,0.1906,0.2075
7400.0,3093819.0,0.2024,0.1821
6401.0,602497.6184,0.2063,0.1928
6501.0,59929.632,0.1986,0.2212
9100.0,5681710.0292,0.229,0.1401
1201.0,57226.335,0.1593,0.2772
1204.0,82606.541,0.1624,0.2731
9400.0,450784.3756,0.2222,0.183
9302.0,103400.702,0.2138,0.2048
9301.0,321699.968,0.2034,0.1597
8402.0,38794.95,0.2106,0.2113
9200.0,167339.2644,0.2267,0.1873
8900.0,469221.6322,0.2308,0.1735
9002.0,85963.3694,0.1948,0.2082
8401.0,649120.2632,0.2237,0.1857
8702.0,145848.4911,0.2215,0.158
9003.0,78948.0813,0.2188,0.1956
8800.0,659045.0517,0.1973,0.2098
8502.0,39858.0915,0.2148,0.2042
9001.0,118321.944,0.2256,0.181
9702.0,60839.1106,0.2126,0.2079
10101.0,44213.4862,0.2255,0.2118
10102.0,72119.4976,0.2356,0.1964
10200.0,171106.4358,0.2337,0.181
8503.0,284269.1978,0.2398,0.1674
8501.0,26900.0636,0.2358,0.187
8601.0,128046.2084,0.2361,0.1722
8602.0,118183.1734,0.2155,0.2085
8701.0,156603.2237,0.2552,0.1413
34702.0,73182.2202,0.2066,0.2298
34703.0,164576.7798,0.2066,0.2298
35600.0,210015.0,0.201,0.2531
34701.0,998372.0,0.2019,0.2041
34501.0,13416.8671,0.2,0.2314
38402.0,93709.8718,0.208,0.2002
38601.0,848176.8027,0.2118,0.1936
35801.0,872163.8022,0.2264,0.1691
35803.0,17032.7386,0.1844,0.2826
36301.0,391113.4351,0.2638,0.1412
36302.0,12943.4833,0.1844,0.2826
38401.0,100377.593,0.1922,0.2547
35802.0,74372.084,0.2314,0.2137
35701.0,171493.624,0.2557,0.1699
35702.0,49453.9906,0.255,0.1703
36303.0,36890.1056,0.2098,0.1927
36200.0,228374.0737,0.2732,0.1209
36403.0,13898.717,0.2563,0.1648
23700.0,124730.793,0.2068,0.2244
23900.0,516678.7614,0.2197,0.2051
24801.0,73585.2849,0.1967,0.2205
25000.0,145516.4566,0.2172,0.2101
24400.0,635859.9904,0.2178,0.1988
23500.0,396751.7045,0.1958,0.1813
14500.0,377648.4513,0.2145,0.1654
24200.0,134413.5504,0.2256,0.181
23301.0,90535.2,0.2029,0.1951
23302.0,94655.8632,0.2107,0.2155
24300.0,8581830.2552,0.2117,0.168
14801.0,50245.8591,0.2071,0.229
14802.0,51338.3219,0.2211,0.2106
23600.0,122119.328,0.2149,0.2187
23801.0,387636.4534,0.2216,0.1985
23400.0,222827.9143,0.2072,0.1662
24802.0,267617.5674,0.2124,0.21
24900.0,376386.6728,0.2045,0.2048
25500.0,130293.2943,0.2116,0.2147
25601.0,246568.5851,0.203,0.2057
24701.0,2460849.1859,0.2131,0.1901
14700.0,411712.9793,0.2186,0.1977
25401.0,139180.7846,0.2102,0.214
25602.0,31277.3175,0.1984,0.2424
23200.0,169201.6731,0.2205,0.2217
14900.0,724302.2277,0.2215,0.1944
13600.0,658987.2025,0.2185,0.1984
13700.0,404738.6244,0.2513,0.1783
14100.0,635722.3979,0.2472,0.173
13800.0,131331.0519,0.2259,0.1972
13900.0,184492.563,0.2199,0.2096
14400.0,260519.2899,0.2098,0.1964
14000.0,398545.4504,0.2042,0.1915
14200.0,2040980.6922,0.241,0.1515
12600.0,98065.1776,0.2245,0.2032
14600.0,302889.2189,0.1923,0.1802
14300.0,183598.8818,0.2208,0.1794
12800.0,147427.0744,0.2195,0.2041
13102.0,52540.4062,0.2153,0.1771
13101.0,1328021.0025,0.2216,0.1781
27201.0,62776.1948,0.2325,0.2199
27202.0,57823.1132,0.2465,0.2118
27301.0,58100.9516,0.2277,0.2272
27302.0,43026.7544,0.2277,0.2325
21801.0,70290.8064,0.2132,0.2491
21802.0,66605.6202,0.2124,0.2397
22200.0,294480.8248,0.2276,0.1832
22001.0,223382.9938,0.2168,0.2003
22002.0,26916.7364,0.2116,0.2268
27402.0,91355.9748,0.2165,0.227
23802.0,65487.0132,0.2197,0.2094
22100.0,253960.7407,0.1997,0.1672
21900.0,115038.6338,0.2302,0.2
27501.0,850927.8047,0.2309,0.148
22300.0,139093.0047,0.2271,0.2104
26106.0,27877.1398,0.2279,0.2245
27502.0,34730.8806,0.2279,0.2245
28201.0,42407.5212,0.2279,0.2245
27401.0,48476.549,0.2382,0.2277
27504.0,45284.4814,0.2382,0.2277
28001.0,197410.6723,0.253,0.1752
27503.0,30313.0674,0.2215,0.2148
28202.0,1037424.6208,0.2464,0.1582
28601.0,5247.184,0.2213,0.216
28602.0,5374.132,0.2213,0.216
28603.0,8431.463,0.2213,0.216
28604.0,15625.183,0.2213,0.216
28605.0,7331.247,0.2213,0.216
28606.0,4199.251,0.2197,0.2238
29006.0,37872.82,0.2213,0.216
29007.0,7225.457,0.2213,0.216
29008.0,4199.863,0.2213,0.216
29103.0,9183.8468,0.2198,0.2201
31003.0,8463.2,0.2213,0.216
29005.0,76752.0572,0.2066,0.2076
29101.0,16463.4256,0.2189,0.2226
29104.0,62329.9016,0.2189,0.2226
29201.0,19780.5681,0.2211,0.2214
29202.0,15407.712,0.2189,0.2226
29203.0,165986.3344,0.2198,0.1368
29502.0,2193838.5479,0.2307,0.1662
29204.0,354725.064,0.2059,0.1902
29501.0,101691.1557,0.2301,0.1834
29503.0,157904.7036,0.2216,0.1898
29401.0,48952.2612,0.2273,0.1964
29403.0,139650.6607,0.2243,0.2088
29901.0,290959.4774,0.2322,0.1819
29302.0,76148.7074,0.2301,0.1996
29303.0,45738.2034,0.2183,0.2301
29402.0,43019.7856,0.2185,0.2282
29301.0,638158.4304,0.2379,0.1742
29001.0,15174.8952,0.2179,0.2343
29002.0,1613.9046,0.2179,0.2343
29004.0,39928.419,0.2179,0.2343
29003.0,43088.716,0.2953,0.1433
31001.0,48101.2136,0.2953,0.1433
31002.0,14487.9944,0.2953,0.1433
31004.0,30781.1184,0.2852,0.1492
31006.0,29345.3628,0.2432,0.1738
25300.0,111899.8898,0.2082,0.2012
25402.0,37408.0135,0.2107,0.2098
13200.0,189393.0395,0.2319,0.1894
25200.0,146010.332,0.2257,0.1979
5900.0,368566.2834,0.2623,0.1277
5401.0,230492.7772,0.222,0.1558
5402.0,102386.9031,0.2286,0.1908
4601.0,94439.056,0.2299,0.1897
4602.0,134715.695,0.2105,0.2042
4401.0,147567.0522,0.2243,0.1818
4402.0,142528.7036,0.214,0.1668
301.0,63970.6025,0.2107,0.2032
4502.0,96278.9789,0.2121,0.198
4501.0,43550.494,0.204,0.2013
17000.0,170199.6181,0.2079,0.2076
13000.0,206768.3072,0.2317,0.1745
13103.0,80220.8596,0.2185,0.1948
12901.0,664214.1589,0.2166,0.1644
12903.0,97835.7704,0.2129,0.1861
12701.0,2239087.8126,0.226,0.174
12702.0,54529.5261,0.2015,0.1984
12902.0,47729.4747,0.2015,0.1984
17100.0,328677.5739,0.2109,0.2101
4002.0,488184.688,0.2308,0.1856
4003.0,75163.1461,0.2168,0.1912
4004.0,21700.1042,0.2119,0.1877
3901.0,250259.9332,0.2339,0.1776
3202.0,58592.6864,0.2194,0.1988
3203.0,67220.5114,0.2086,0.2159
3902.0,16420.2694,0.2202,0.2022
3201.0,23110.4736,0.2304,0.1918
3600.0,185212.8726,0.2423,0.1752
3700.0,349672.863,0.2418,0.1745
3800.0,600291.0,0.2473,0.1724
3500.0,1000216.7486,0.2323,0.1615
3300.0,1290083.7997,0.2191,0.1894
3400.0,265679.0,0.2314,0.1858
20001.0,312847.5999,0.1658,0.2477
20002.0,31117.1147,0.1834,0.266
20003.0,67156.2395,0.1834,0.266
20100.0,774492.8892,0.174,0.2239
20600.0,1383106.9572,0.1783,0.2133
17400.0,546618.1901,0.2138,0.1924
17501.0,151141.599,0.1858,0.2338
11302.0,2805392.0,0.2177,0.1749
19902.0,178744.0,0.2055,0.2351
20902.0,166086.4087,0.1548,0.267
20800.0,700254.0,0.1835,0.2017
20500.0,5684149.1392,0.1905,0.1828
20401.0,1699956.0,0.1891,0.1934
20402.0,14432.9554,0.1106,0.3642
20403.0,20854.7233,0.1106,0.3642
11401.0,120366.2108,0.1686,0.2517
11402.0,108311.3676,0.1772,0.2476
21002.0,48128.49,0.1696,0.2419
21003.0,26672.8096,0.1721,0.249
11403.0,52711.624,0.1673,0.2639
12302.0,87395.81,0.1799,0.2699
12401.0,79045.5481,0.1649,0.3036
12402.0,101767.9794,0.1652,0.3058
12001.0,125955.5089,0.1964,0.2237
12301.0,179915.0769,0.1777,0.265
12002.0,55358.6744,0.1869,0.2552
12200.0,1495808.163,0.2216,0.1769
11800.0,138193.0,0.1793,0.1812
11900.0,498968.3557,0.1982,0.2317
11600.0,5284518.544,0.2099,0.1873
11700.0,480331.0,0.1935,0.1735
12100.0,538866.1469,0.2121,0.1875
11500.0,303308.0,0.2064,0.2076
13501.0,823833.3704,0.2145,0.1931
26001.0,18830.8648,0.233,0.2178
26701.0,116840.6924,0.2133,0.2374
26702.0,25481.3405,0.213,0.1917
26703.0,26577.9232,0.233,0.2178
