,women,men
1994-12-01,6.078762845069917,6.342680888191381
1995-01-01,6.109074419812159,6.364302018977276
1995-02-01,6.169640608841458,6.420449303811698
1995-03-01,6.224736331005889,6.441502714637124
1995-04-01,6.244698654334884,6.487578306137134
1995-05-01,6.325673062916624,6.549198471106032
1995-06-01,6.378775421727962,6.607097882104035
1995-07-01,6.4081074783716145,6.678021798322999
1995-08-01,6.447946648972796,6.707837531726569
1995-09-01,6.459997317127947,6.700883136984188
1995-10-01,6.468088904338502,6.741392465045325
1995-11-01,6.505194235013021,6.757537604506287
1995-12-01,6.5299849933594425,6.7475718864617535
1996-01-01,6.55330798105263,6.7441007453089865
1996-02-01,6.559417119187253,6.749601529791182
1996-03-01,6.5768291995447905,6.747918660940282
1996-04-01,6.546251584084509,6.74041696316761
1996-05-01,6.503877963892507,6.731618466958968
1996-06-01,6.479753424893641,6.705325372741021
1996-07-01,6.45321258219515,6.678168825724366
1996-08-01,6.463811715533001,6.671739756691302
1996-09-01,6.475316504295363,6.670232347726594
1996-10-01,6.526251102397704,6.667531050356691
1996-11-01,6.588491543793384,6.698366088270697
1996-12-01,6.5983445771378735,6.721188315039995
1997-01-01,6.5838903056767215,6.74653892310263
1997-02-01,6.561631019978125,6.71839363239786
1997-03-01,6.550078253476337,6.690962319178055
1997-04-01,6.576291733389034,6.679637687159552
1997-05-01,6.599888030021133,6.675294247623839
1997-06-01,6.621931600659025,6.717659982203325
1997-07-01,6.658430660216722,6.736148157607367
1997-08-01,6.648945915138035,6.730563526716636
1997-09-01,6.636614275468027,6.730851469442289
1997-10-01,6.595283542320551,6.714786523046937
1997-11-01,6.549908652386535,6.681735959719763
1997-12-01,6.5523907443752405,6.665973226659702
1998-01-01,6.565230153096409,6.6299198741665295
1998-02-01,6.5338251177947955,6.603437142678018
1998-03-01,6.5129713736379236,6.615373852977694
1998-04-01,6.4799661653539244,6.596391743184152
1998-05-01,6.436443826524852,6.583319522407041
1998-06-01,6.404386931917046,6.501571537744256
1998-07-01,6.36723809663712,6.442623177038773
1998-08-01,6.345357019988465,6.401467976319702
1998-09-01,6.333940468335573,6.364135025100848
1998-10-01,6.337570210445491,6.340800591265747
1998-11-01,6.333404368986215,6.314340710497139
1998-12-01,6.325386115857015,6.295138800914401
1999-01-01,6.325705795446168,6.314713071559172
1999-02-01,6.324864946651108,6.3322590288920155
1999-03-01,6.299649522962409,6.315280510103318
1999-04-01,6.289224965995261,6.283400645945854
1999-05-01,6.2896427973664375,6.239678302681598
1999-06-01,6.266300314982008,6.227403062931572
1999-07-01,6.249839150382115,6.220268488522765
1999-08-01,6.232721010830564,6.198243399750516
1999-09-01,6.227363997285668,6.162889855502822
1999-10-01,6.1753800284951375,6.146946510324124
1999-11-01,6.1506451699533145,6.134897250178949
1999-12-01,6.1241162902621324,6.108848125592782
2000-01-01,6.084807018921869,6.09168701661893
2000-02-01,6.060034917081012,6.058419784956274
2000-03-01,6.030063692540875,6.030604287626517
2000-04-01,6.013912299515631,6.033565144793189
2000-05-01,5.987720218734046,6.013278838898444
2000-06-01,5.9650198281493845,5.968637177404933
2000-07-01,5.948560851133936,5.950293381987335
2000-08-01,5.913377063913973,5.936464217851241
2000-09-01,5.88704026655117,5.924638908766222
2000-10-01,5.863788807654701,5.880520821161634
2000-11-01,5.807269659685599,5.8266007437018095
2000-12-01,5.769943782664175,5.810820969761218
2001-01-01,5.737483309987055,5.7526340514859085
2001-02-01,5.7279629549024165,5.7437861520486955
2001-03-01,5.725562162580979,5.741929260064818
2001-04-01,5.696698942167804,5.713903687900078
2001-05-01,5.683447754253027,5.6953944504465115
2001-06-01,5.684529468203631,5.7067667145111
2001-07-01,5.690215026110746,5.6911281919513685
2001-08-01,5.704583437031855,5.672918088564846
2001-09-01,5.690554573367137,5.665319542672264
2001-10-01,5.669972035284779,5.62335429628195
2001-11-01,5.6650523355651154,5.592906606478416
2001-12-01,5.644003112490624,5.553318866296704
2002-01-01,5.63318591247137,5.559838635838857
2002-02-01,5.6351614305219115,5.5308852996485065
2002-03-01,5.619444086655695,5.498379008516449
2002-04-01,5.625221970475953,5.490316825405107
2002-05-01,5.6221010417082224,5.469104133703642
2002-06-01,5.633556964724984,5.468611661860996
2002-07-01,5.641452259706874,5.453617430865921
2002-08-01,5.652997622346649,5.444965599549789
2002-09-01,5.654935469273595,5.430784678591159
2002-10-01,5.674754347384191,5.4327156006751345
2002-11-01,5.703922172802064,5.427661417142197
2002-12-01,5.723023246477339,5.459605589362405
2003-01-01,5.761734188363988,5.43872319619372
2003-02-01,5.769493911379441,5.430606554240736
2003-03-01,5.766886815978888,5.415341927983184
2003-04-01,5.745605474492191,5.389012257938632
2003-05-01,5.722833842395553,5.38757531704747
2003-06-01,5.71062701117724,5.360215540284837
2003-07-01,5.688824164940051,5.355233548601521
2003-08-01,5.680654047559859,5.363447292949755
2003-09-01,5.670627891558411,5.33645828348245
2003-10-01,5.663692453928888,5.33476804888062
2003-11-01,5.6187055358875,5.326348461811423
2003-12-01,5.5918444674682375,5.269290646315359
2004-01-01,5.562226982555194,5.262430197576639
2004-02-01,5.5232315896403295,5.227229621344374
2004-03-01,5.529743572062723,5.216283507088856
