,women,men
2004-04-01,5.547227128448825,5.210589268515589
2004-05-01,5.557263195879614,5.182590508420761
2004-06-01,5.575848550771178,5.168194233222747
2004-07-01,5.596270932858649,5.162929726697652
2004-08-01,5.596404176362419,5.166823716040219
2004-09-01,5.613214052352549,5.201663109988281
2004-10-01,5.645284433704945,5.23849872699011
2004-11-01,5.670193792515428,5.281542345376745
2004-12-01,5.687804417058694,5.337340030691236
2005-01-01,5.693491384109319,5.3405715000195615
2005-02-01,5.745310060531182,5.3705481597290685
2005-03-01,5.747430781116016,5.378643967966238
2005-04-01,5.749059438835446,5.377132260175842
2005-05-01,5.732919268430609,5.371671854503705
2005-06-01,5.721263389659728,5.390833514846062
2005-07-01,5.719755519889488,5.385942879009029
2005-08-01,5.708754129407308,5.359331074952255
2005-09-01,5.709194965379461,5.344380179171588
2005-10-01,5.6911274422818,5.308249914352958
2005-11-01,5.690016643825781,5.274862794143648
2005-12-01,5.689983334127338,5.229500327400254
2006-01-01,5.69549435285933,5.226512753306062
2006-02-01,5.646619330656011,5.207032201326144
2006-03-01,5.641653771097887,5.205075362961444
2006-04-01,5.618006433721682,5.202374626399824
2006-05-01,5.631483175494541,5.219269416127401
2006-06-01,5.589869848643364,5.203764066148161
2006-07-01,5.566096371734049,5.1905749464249284
2006-08-01,5.585425451832111,5.174286374883671
2006-09-01,5.60388274175546,5.153763713515843
2006-10-01,5.62424830403656,5.140044880493041
2006-11-01,5.662446173885456,5.122660669549223
2006-12-01,5.6842301383602205,5.13041810719887
2007-01-01,5.684197613826847,5.120072283860787
2007-02-01,5.699228924366452,5.138165780299614
2007-03-01,5.69463218415564,5.145019090106678
2007-04-01,5.738738039744596,5.176407453611556
2007-05-01,5.7586321695940015,5.1658798724257435
2007-06-01,5.802518073755696,5.158367607751907
2007-07-01,5.8468178223886715,5.152196465727986
2007-08-01,5.846621159171239,5.153995909184761
2007-09-01,5.819309381098848,5.156149060666583
2007-10-01,5.802501904985728,5.15162547908023
2007-11-01,5.776939372549772,5.15313272115144
2007-12-01,5.74484001197179,5.123295437331623
2008-01-01,5.748853853822684,5.11756581086797
2008-02-01,5.766761911933146,5.0850247737706615
2008-03-01,5.779456467615588,5.049768045225104
2008-04-01,5.767868337521975,5.020757963348939
2008-05-01,5.75101587170737,5.0256273372943605
2008-06-01,5.751417533165746,5.036528409858389
2008-07-01,5.724117347258326,5.058198826223835
2008-08-01,5.729715510205032,5.103923273381672
2008-09-01,5.718660855955689,5.121145166465415
2008-10-01,5.71430901624814,5.12866408977716
2008-11-01,5.687304075373919,5.117601361083912
2008-12-01,5.672730698803373,5.142031313725703
2009-01-01,5.662918552042868,5.148564005934275
2009-02-01,5.666554303330424,5.167485150424903
2009-03-01,5.701461260431144,5.195124698023084
2009-04-01,5.728343845549044,5.213433133955847
2009-05-01,5.7468111986479,5.1978140850141505
2009-06-01,5.751200393725354,5.164757995664208
2009-07-01,5.780390618247805,5.132323846793105
2009-08-01,5.800235294223024,5.0638597146740105
2009-09-01,5.839682992052285,5.030157790756135
2009-10-01,5.827371302283413,5.025593608624926
2009-11-01,5.841141499391313,5.022700311355441
2009-12-01,5.831911615094821,4.993081958634343
2010-01-01,5.826284609874601,4.972838428971007
2010-02-01,5.811258711925185,4.96783602469022
2010-03-01,5.750566165866425,4.961344698358941
2010-04-01,5.715955588742243,4.933284354293918
2010-05-01,5.7056300658643835,4.931259598913375
2010-06-01,5.672187145172713,4.9373234608730305
2010-07-01,5.6347697787135305,4.904535398567693
2010-08-01,5.586145467152615,4.900446136869583
2010-09-01,5.53989039633809,4.86431007225925
2010-10-01,5.530167390441323,4.790880065126632
2010-11-01,5.52073150313052,4.750597146884628
2010-12-01,5.515887178099724,4.735143866085418
2011-01-01,5.495521222049984,4.709722398163365
2011-02-01,5.462672362952152,4.674067939244999
2011-03-01,5.462895101954583,4.629959374748142
2011-04-01,5.454614998895714,4.589991330116029
2011-05-01,5.452494826289894,4.576519275612602
2011-06-01,5.454334859498066,4.558496568518536
2011-07-01,5.421057963665021,4.5664482870097896
2011-08-01,5.409609157056661,4.569473056430896
2011-09-01,5.419990070886343,4.588729609593619
2011-10-01,5.411452323207352,4.621781850824086
2011-11-01,5.3858302356116,4.657758708936549
2011-12-01,5.376235032478031,4.666505429682332
2012-01-01,5.366511884874574,4.68697838117292
2012-02-01,5.36663806238096,4.687165677361403
2012-03-01,5.348696003906114,4.685879985943916
2012-04-01,5.3152399315475485,4.70526794545609
2012-05-01,5.276682579703077,4.718116666154175
2012-06-01,5.273030106992928,4.71622975161477
2012-07-01,5.27335711051488,4.732956763423203
2012-08-01,5.2551889369008835,4.7341005414562884
2012-09-01,5.204646334066773,4.725939959566644
2012-10-01,5.1944903412931405,4.708482239086158
2012-11-01,5.205447761357856,4.708906828158234
2012-12-01,5.205079894448775,4.696004514378257
2013-01-01,5.204806539189112,4.673821508017009
2013-02-01,5.221299999856553,4.695278558687803
2013-03-01,5.239234449600832,4.717027856454174
2013-04-01,5.239654689399416,4.7130693595750826
2013-05-01,5.2411172277389095,4.70647245874341
2013-06-01,5.22227090960514,4.721145094564792
2013-07-01,5.215099216372945,4.719369894365749
2013-08-01,5.219580101631322,4.716590205455336
2013-09-01,5.22138396869764,4.720985944432415
2013-10-01,5.198620925879834,4.727389366995714
2013-11-01,5.1825131890186755,4.697237646051752
2013-12-01,5.196314864824562,4.680288884146929
2014-01-01,5.199789979270244,4.666364851212988
2014-02-01,5.18664265925951,4.6339941571028405
2014-03-01,5.184710550252041,4.596928714702284
2014-04-01,5.183512500207096,4.59031406834186
2014-05-01,5.194367291200952,4.594741108171969
2014-06-01,5.198348809244707,4.579367023299422
2014-07-01,5.205546613751382,4.550424171837533
2014-08-01,5.221443161522527,4.546896384637371
2014-09-01,5.246322063385628,4.538698126432755
2014-10-01,5.299935960580819,4.56984821522857
2014-11-01,5.325583461417932,4.597265740962393
2014-12-01,5.3106279202142375,4.631764506526633
2015-01-01,5.33594040707624,4.667974162610278
2015-02-01,5.323706797682576,4.675540017464768
2015-03-01,5.303665745195862,4.691280557479006
2015-04-01,5.321881910013284,4.650673784116761
2015-05-01,5.299725567721201,4.603623346921355
2015-06-01,5.306132607121565,4.594581116030791
2015-07-01,5.286752546850192,4.611910741420776
2015-08-01,5.2811658336013165,4.6044051225961
2015-09-01,5.296234870043872,4.620334254870312
2015-10-01,5.281539963009451,4.614954237500457
2015-11-01,5.267342963417101,4.621282331943477
2015-12-01,5.299841506139684,4.65331985388601
2016-01-01,5.294183832806186,4.647972065454712
2016-02-01,5.302302477566514,4.648999257993637
2016-03-01,5.320688528650501,4.66480398878021
2016-04-01,5.314937765057596,4.692384930405706
2016-05-01,5.318729803353652,4.723580247997462
2016-06-01,5.302169307282938,4.72451087860606
2016-07-01,5.330558362412452,4.722530389442693
2016-08-01,5.349644229359556,4.724889202425731
2016-09-01,5.390554139409551,4.723152041512385
2016-10-01,5.422592031207876,4.727920306404155
2016-11-01,5.475138247998195,4.729570471247844
2016-12-01,5.492964424821202,4.686114186362778
2017-01-01,5.504493834479679,4.6844443603628445
2017-02-01,5.546292423312464,4.719697400219398
2017-03-01,5.578071075153215,4.75061924210542
2017-04-01,5.595190735593007,4.756055558943984
2017-05-01,5.619142520933192,4.770760340338178
2017-06-01,5.62916175556649,4.784271157779508
2017-07-01,5.6272650756596,4.776182196099452
2017-08-01,5.591007121276995,4.773378912524314
2017-09-01,5.5362059078815316,4.7456944011246325
2017-10-01,5.499197913370971,4.721065511779481
2017-11-01,5.487054029706113,4.6787350185265515
2017-12-01,5.474147472892104,4.679185740018813
2018-01-01,5.4628929438507,4.697805045595026
2018-02-01,5.443800075711226,4.699840498263793
2018-03-01,5.4188273532788,4.682573930143406
2018-04-01,5.412204853273586,4.700305210041079
2018-05-01,5.3965404168652995,4.676942927502082
