year,percentile,PTOTVAL,PEARNVAL
2014,0,0.0,0.0
2014,1,0.0,0.0
2014,2,0.0,0.0
2014,3,0.0,0.0
2014,4,0.0,0.0
2014,5,0.0,0.0
2014,6,0.0,0.0
2014,7,0.0,0.0
2014,8,0.0,0.0
2014,9,0.0,0.0
2014,10,0.0,0.0
2014,11,0.0,0.0
2014,12,0.0,0.0
2014,13,0.0,0.0
2014,14,0.0,0.0
2014,15,0.0,0.0
2014,16,0.0,0.0
2014,17,0.0,0.0
2014,18,0.0,0.0
2014,19,0.0,0.0
2014,20,0.0,0.0
2014,21,0.0,0.0
2014,22,0.0,0.0
2014,23,0.0,0.0
2014,24,0.0,0.0
2014,25,0.0,0.0
2014,26,0.0,0.0
2014,27,0.0,0.0
2014,28,0.0,0.0
2014,29,0.0,0.0
2014,30,102.43,0.0
2014,31,301.25,0.0
2014,32,500.26,0.0
2014,33,1373.15,0.0
2014,34,2348.64,0.0
2014,35,3517.64,0.0
2014,36,4650.28,0.0
2014,37,5631.82,0.0
2014,38,6674.94,0.0
2014,39,7664.01,0.0
2014,40,8441.45,0.0
2014,41,8977.35,0.0
2014,42,9699.92,0.0
2014,43,10197.55,0.0
2014,44,10845.12,0.0
2014,45,11626.39,0.0
2014,46,12227.6,0.0
2014,47,13061.21,0.0
2014,48,13863.24,0.0
2014,49,14606.0,0.0
2014,50,15224.38,562.58
2014,51,15969.85,1641.95
2014,52,16904.19,2809.2
2014,53,17815.64,4207.91
2014,54,18687.35,5584.3
2014,55,19578.47,7131.11
2014,56,20013.89,8752.8
2014,57,20739.78,9865.31
2014,58,21791.32,11597.86
2014,59,22802.69,12698.43
2014,60,23858.27,14504.95
2014,61,24711.55,14971.09
2014,62,25342.57,16824.4
2014,63,26471.68,18357.26
2014,64,27727.64,19647.15
2014,65,28928.31,19954.67
2014,66,29812.65,21713.06
2014,67,30366.15,23537.93
2014,68,31637.35,24614.84
2014,69,33041.69,24995.15
2014,70,34615.24,26993.19
2014,71,35363.49,28839.36
2014,72,36649.91,29722.87
2014,73,38332.33,29995.21
2014,74,39772.3,31956.64
2014,75,40429.26,34564.69
2014,76,42100.01,34948.31
2014,77,44210.48,37152.93
2014,78,45428.43,39558.2
2014,79,47665.61,39860.07
2014,80,49673.76,41732.75
2014,81,50416.54,44556.5
2014,82,52595.96,45623.92
2014,83,55087.25,48904.17
2014,84,57488.38,49805.13
2014,85,60046.72,51720.46
2014,86,62111.4,54723.49
2014,87,65226.15,57904.41
2014,88,69430.66,59837.61
2014,89,72158.93,63965.3
2014,90,75468.52,67716.46
2014,91,80194.85,71008.21
2014,92,85280.04,74932.2
2014,93,91421.48,79877.25
2014,94,99989.35,87886.34
2014,95,106586.14,96887.36
2014,96,119755.88,102845.26
2014,97,135351.68,119759.37
2014,98,160235.33,149508.88
2015,0,0.0,0.0
2015,1,0.0,0.0
2015,2,0.0,0.0
2015,3,0.0,0.0
2015,4,0.0,0.0
2015,5,0.0,0.0
2015,6,0.0,0.0
2015,7,0.0,0.0
2015,8,0.0,0.0
2015,9,0.0,0.0
2015,10,0.0,0.0
2015,11,0.0,0.0
2015,12,0.0,0.0
2015,13,0.0,0.0
2015,14,0.0,0.0
2015,15,0.0,0.0
2015,16,0.0,0.0
2015,17,0.0,0.0
2015,18,0.0,0.0
2015,19,0.0,0.0
2015,20,0.0,0.0
2015,21,0.0,0.0
2015,22,0.0,0.0
2015,23,0.0,0.0
2015,24,0.0,0.0
2015,25,0.0,0.0
2015,26,0.0,0.0
2015,27,0.0,0.0
2015,28,0.0,0.0
2015,29,21.34,0.0
2015,30,216.68,0.0
2015,31,412.03,0.0
2015,32,948.32,0.0
2015,33,1968.73,0.0
2015,34,3093.28,0.0
2015,35,4352.54,0.0
2015,36,5371.95,0.0
2015,37,6578.86,0.0
2015,38,7631.38,0.0
2015,39,8440.39,0.0
2015,40,9046.41,0.0
2015,41,9734.68,0.0
2015,42,10255.39,0.0
2015,43,10931.77,0.0
2015,44,11754.03,0.0
2015,45,12445.46,0.0
2015,46,13274.45,0.0
2015,47,14124.96,0.0
2015,48,14770.1,0.0
2015,49,15501.35,240.46
2015,50,16299.78,1210.02
2015,51,17248.71,2427.0
2015,52,18107.49,3772.71
2015,53,19098.75,4948.96
2015,54,19772.77,6748.97
2015,55,20314.39,8386.48
