year,category,SPM,OPM,SPM_MI
2014,All Other,2.5847,2.5487,1.6313
2014,Carers,8.6794,9.7202,6.4237
2014,Children,25.925,33.8234,24.2669
2014,Disabled,12.9046,14.8527,13.9478
2014,Early Retired,3.3824,3.0658,3.3942
2014,Elderly,13.7693,9.7613,27.5325
2014,Fully Employed,16.3045,10.0804,11.6062
2014,Students,8.1583,7.9041,5.1532
2014,Unemployed,8.2918,8.2434,6.0442
2015,All Other,2.7405,2.7234,1.6989
2015,Carers,8.4073,9.4101,6.2066
2015,Children,26.161,34.276,23.8394
2015,Disabled,13.4983,15.4003,13.9459
2015,Early Retired,3.0851,2.644,3.1963
2015,Elderly,14.3856,9.6493,29.266
2015,Fully Employed,15.7858,9.6898,11.1169
2015,Students,8.4228,8.4651,5.2992
2015,Unemployed,7.5136,7.742,5.4309
2016,All Other,2.2995,2.2627,1.4003
2016,Carers,8.9748,10.2869,6.4206
2016,Children,25.1258,33.3832,22.5191
2016,Disabled,13.8315,15.8656,14.289
2016,Early Retired,3.4604,2.9584,3.3168
2016,Elderly,16.4752,11.1203,31.308
2016,Fully Employed,15.4002,9.3821,10.9987
2016,Students,8.148,8.1085,5.1126
2016,Unemployed,6.2846,6.6323,4.6348
2017,All Other,2.5222,2.5142,1.5871
2017,Carers,8.8947,10.2481,6.2368
2017,Children,25.5927,33.2841,22.4367
2017,Disabled,13.3278,15.6349,13.8805
2017,Early Retired,3.6822,3.4308,3.6216
2017,Elderly,16.5744,11.6147,32.001
2017,Fully Employed,15.9693,9.1935,11.232
2017,Students,8.0783,8.41,5.1039
2017,Unemployed,5.3584,5.6698,3.9004
2018,All Other,5.9473,5.8736,4.1976
2018,Carers,7.4406,8.2584,5.1424
2018,Children,23.9332,32.0226,21.5865
2018,Disabled,13.7199,15.6083,13.5973
2018,Early Retired,3.4832,3.1924,3.4682
2018,Elderly,17.8613,13.3106,33.3783
2018,Fully Employed,15.9299,9.8298,11.0572
2018,Students,6.2626,6.2131,3.8106
2018,Unemployed,5.422,5.6911,3.762
2019,All Other,6.39,6.1738,4.2876
2019,Carers,7.0579,8.1255,4.6028
2019,Children,23.5525,30.7959,20.9783
2019,Disabled,13.0817,15.2898,13.4012
2019,Early Retired,3.3792,3.2107,3.343
2019,Elderly,19.0334,14.295,34.9285
2019,Fully Employed,15.7797,10.0501,10.9492
2019,Students,5.8264,5.899,3.4325
2019,Unemployed,5.8992,6.16,4.0769
2020,All Other,8.0102,7.3653,5.5493
2020,Carers,8.0141,8.6173,5.1108
2020,Children,23.0673,31.1621,20.8118
2020,Disabled,13.9877,15.3101,12.9369
2020,Early Retired,3.9302,3.3827,3.4045
2020,Elderly,18.3746,13.4242,33.5212
2020,Fully Employed,8.5805,6.3531,7.4306
2020,Students,6.3875,5.5365,3.2922
2020,Unemployed,9.6479,8.8485,7.9427
2021,All Other,7.1588,6.8676,4.6308
2021,Carers,7.3401,8.5322,4.9697
2021,Children,14.7104,29.3888,20.3205
2021,Disabled,15.9353,16.5367,13.7279
2021,Early Retired,4.7128,3.128,3.6247
2021,Elderly,24.248,15.3007,35.0256
2021,Fully Employed,11.1649,7.7796,9.2461
2021,Students,6.7568,5.5168,3.2826
2021,Unemployed,7.9728,6.9496,5.1719
2022,All Other,7.237,6.8742,4.6293
2022,Carers,7.6746,9.0732,5.1038
2022,Children,21.2831,28.4363,18.8645
2022,Disabled,13.4489,15.6455,12.8309
2022,Early Retired,4.3281,4.0196,4.1111
2022,Elderly,21.0353,15.551,37.9249
2022,Fully Employed,13.5978,8.724,9.4799
2022,Students,5.8708,6.0118,3.4491
2022,Unemployed,5.5244,5.6644,3.6066
2023,All Other,6.9584,6.6798,4.6455
2023,Carers,7.9139,9.1311,5.1788
2023,Children,22.5835,29.9484,19.7489
2023,Disabled,13.6261,15.5338,12.705
2023,Early Retired,3.5462,3.4789,3.4873
2023,Elderly,20.1869,15.6788,37.1552
2023,Fully Employed,14.7322,8.8647,10.1734
2023,Students,5.1253,5.137,3.3107
2023,Unemployed,5.3275,5.5476,3.5951
2024,All Other,6.0039,6.214,4.0809
2024,Carers,7.4716,8.6569,4.9733
2024,Children,21.6553,28.8494,19.398
2024,Disabled,13.003,15.0234,12.4563
2024,Early Retired,3.3176,3.174,3.2316
2024,Elderly,21.9969,17.0229,37.8435
2024,Fully Employed,14.8827,8.859,10.5109
2024,Students,5.72,5.8295,3.5152
2024,Unemployed,5.949,6.3709,3.9903
