,Male: 16-24: LTHS,Male: 16-24: HS,Male: 16-24: Some college,Male: 16-24: College,Male: 16-24: Advanced,Male: 16-24: LTHS or HS,Male: 16-24: College or Advanced,Male: 25-34: LTHS,Male: 25-34: HS,Male: 25-34: Some college,Male: 25-34: College,Male: 25-34: Advanced,Male: 25-34: LTHS or HS,Male: 25-34: College or Advanced,Male: 35-44: LTHS,Male: 35-44: HS,Male: 35-44: Some college,Male: 35-44: College,Male: 35-44: Advanced,Male: 35-44: LTHS or HS,Male: 35-44: College or Advanced,Male: 45-54: LTHS,Male: 45-54: HS,Male: 45-54: Some college,Male: 45-54: College,Male: 45-54: Advanced,Male: 45-54: LTHS or HS,Male: 45-54: College or Advanced,Male: 55-64: LTHS,Male: 55-64: HS,Male: 55-64: Some college,Male: 55-64: College,Male: 55-64: Advanced,Male: 55-64: LTHS or HS,Male: 55-64: College or Advanced,Male: 65+: LTHS,Male: 65+: HS,Male: 65+: Some college,Male: 65+: College,Male: 65+: Advanced,Male: 65+: LTHS or HS,Male: 65+: College or Advanced,Male: 16+: LTHS,Male: 16+: HS,Male: 16+: Some college,Male: 16+: College,Male: 16+: Advanced,Male: 16+: LTHS or HS,Male: 16+: College or Advanced,Male: 25-54: LTHS,Male: 25-54: HS,Male: 25-54: Some college,Male: 25-54: College,Male: 25-54: Advanced,Male: 25-54: LTHS or HS,Male: 25-54: College or Advanced,Female: 16-24: LTHS,Female: 16-24: HS,Female: 16-24: Some college,Female: 16-24: College,Female: 16-24: Advanced,Female: 16-24: LTHS or HS,Female: 16-24: College or Advanced,Female: 25-34: LTHS,Female: 25-34: HS,Female: 25-34: Some college,Female: 25-34: College,Female: 25-34: Advanced,Female: 25-34: LTHS or HS,Female: 25-34: College or Advanced,Female: 35-44: LTHS,Female: 35-44: HS,Female: 35-44: Some college,Female: 35-44: College,Female: 35-44: Advanced,Female: 35-44: LTHS or HS,Female: 35-44: College or Advanced,Female: 45-54: LTHS,Female: 45-54: HS,Female: 45-54: Some college,Female: 45-54: College,Female: 45-54: Advanced,Female: 45-54: LTHS or HS,Female: 45-54: College or Advanced,Female: 55-64: LTHS,Female: 55-64: HS,Female: 55-64: Some college,Female: 55-64: College,Female: 55-64: Advanced,Female: 55-64: LTHS or HS,Female: 55-64: College or Advanced,Female: 65+: LTHS,Female: 65+: HS,Female: 65+: Some college,Female: 65+: College,Female: 65+: Advanced,Female: 65+: LTHS or HS,Female: 65+: College or Advanced,Female: 16+: LTHS,Female: 16+: HS,Female: 16+: Some college,Female: 16+: College,Female: 16+: Advanced,Female: 16+: LTHS or HS,Female: 16+: College or Advanced,Female: 25-54: LTHS,Female: 25-54: HS,Female: 25-54: Some college,Female: 25-54: College,Female: 25-54: Advanced,Female: 25-54: LTHS or HS,Female: 25-54: College or Advanced
2000,3.19842621684,2.39310674369,2.2380689159,0.391002418473,0.019646025612,5.59153296053,0.41064848192,0.99532995373,2.88315806538,2.32498496771,1.90900601447,0.607540505007,3.87848764658,2.51654628664,1.13738942891,3.74053195119,2.67517436296,1.9606532529,0.968499481678,4.87792082131,2.92915236205,0.868572480977,2.54012737423,2.37166620791,1.68540365994,1.12642813474,3.40869985521,2.81183216721,0.882440339774,1.79922878742,1.18253314868,0.791892129928,0.709790829569,2.68166903406,1.5016829595,1.88788175583,2.09552738816,1.20823746547,0.822658091784,0.6210047286,3.98340933025,1.44366277382,8.97004008293,15.4516801238,12.0006658137,7.56061524153,4.05290983617,24.4217202067,11.6135247052,3.00129186362,9.16381627321,7.37182572484,5.55506311357,2.70246826112,12.1651090682,8.25753062963,2.76684667915,2.2519018501,2.54136696458,0.582437915727,0.0371194037143,5.01874908805,0.619557360187,0.911114364862,2.69017312676,2.74826325476,2.13240236044,0.652967719361,3.60128767788,2.78537012637,1.06100011617,3.59608083963,3.22133302689,2.06060819328,0.849750079215,4.65708114207,2.91035845876,0.897654425353,3.04867234081,2.53442581743,1.59089956433,0.926838349551,3.94632741809,2.51773782074,1.0338306427,2.37135458738,1.34639907628,0.712263258174,0.455583818257,3.40518467128,1.16784702986,2.60367970914,3.64072322845,1.64047498256,0.716722011566,0.341208232567,6.24440200627,1.05793019757,9.27412584424,17.5989061594,14.0322640538,7.79533311725,3.26346755028,26.8730312586,11.0588006675,2.86976899952,9.33492705226,8.50402265787,5.78390993178,2.42955628783,12.204696238,8.21346640587
2001,3.16914916039,2.41638235748,2.26348023862,0.41653602384,0.0188168531167,5.58553151786,0.435352930799,0.970158819109,2.81211603433,2.32451166958,1.85242146254,0.602443655953,3.78227494657,2.45486497879,1.10118472949,3.62228006124,2.64053549618,1.98834985495,0.974389258772,4.7234646976,2.96273902059,0.885121803731,2.66580861062,2.42895465344,1.74194388092,1.11245261505,3.55093069375,2.85439621657,0.852714665234,1.81400906295,1.22244134545,0.815743487328,0.744037982076,2.66672391444,1.55978156254,1.82026531547,2.16050893068,1.18798585609,0.810224190354,0.641941744834,3.98077443242,1.45216612145,8.79859551787,15.4911056161,12.0679087937,7.62521848083,4.09408248961,24.289701879,11.7193005979,2.95646544546,9.10020545125,7.39400163293,5.58271482587,2.68928557634,12.0566695929,8.27200040221,2.75029651821,2.26592030376,2.60121300817,0.582280522212,0.0421868753619,5.01621700823,0.624467385933,0.883326306939,2.51603070647,2.71190032363,2.1236255765,0.686388462782,3.39935682714,2.81001366675,1.02033428848,3.49714718759,3.17331664264,2.1175539121,0.836094282568,4.51748147607,2.95364800841,0.904021505266,3.08281611651,2.67457198352,1.63959953934,0.960848573595,3.98683808744,2.60044783354,0.977754406631,2.3462023586,1.41955530271,0.715911295265,0.512831984088,3.32395657897,1.22874332592,2.51417886466,3.61190252006,1.66229885072,0.725620938465,0.367355206981,6.12608119845,1.09297614545,9.04991179705,17.3200175166,14.2428562045,7.90459141135,3.40570546687,26.3699293137,11.3102972507,2.80768200755,9.0959943831,8.55978876352,5.88077902794,2.48333141208,11.9036749005,8.36411044002
2002,3.11917886138,2.44535412639,2.3237677291,0.401855167001,0.021322091925,5.56453280151,0.423177238554,0.991044286638,2.72753946483,2.2760419175,1.84783767909,0.578414462507,3.71858365834,2.42625214159,1.09279705212,3.54656912386,2.53666769713,1.96633059531,0.991475768387,4.63936626911,2.9578063637,0.878962967545,2.76440996677,2.40867212415,1.73684302717,1.12217124552,3.64337265491,2.85901427269,0.833496917039,1.83523111045,1.29549130797,0.942545663565,0.816584844142,2.66872793436,1.75913069397,1.77244711667,2.10508443415,1.21334381402,0.850759726018,0.659016426653,3.87753173709,1.50977605954,8.68792682886,15.4241889715,12.0539836586,7.74617269635,4.18898463249,24.1121158004,11.9351573288,2.96280439943,9.03851911426,7.22138136625,5.55101111531,2.69206166267,12.0013229549,8.24307277799,2.76021920145,2.23083589226,2.63445004821,0.5881419871,0.038457827759,4.99105453491,0.626599835232,0.84963645786,2.4944877252,2.62549202889,2.1240375936,0.707948906347,3.34412418306,2.83198636025,0.95971217379,3.38221602142,3.06492689997,2.13548690081,0.864676386118,4.34192828834,3.00016328692,0.905464962125,3.07728126645,2.70729828626,1.70793607831,0.950297061354,3.98274622858,2.65823304653,0.929892715067,2.3866193369,1.5733582899,0.811198540032,0.559246912599,3.31651233137,1.37044554576,2.44650319219,3.61229963601,1.61820594221,0.773679977283,0.378752336837,6.05880282819,1.1524323374,8.85142832994,17.183740437,14.2237305641,8.14048051834,3.49937938154,26.035168767,11.6398602724,2.71481350064,8.9539848268,8.39771702886,5.96746057272,2.52292230725,11.6687983274,8.49038287997
2003,3.14480811357,2.38921232522,2.17717159539,0.420360919088,0.0199776972295,5.53402081132,0.440338533372,1.12556545064,2.8170414269,2.33742985874,1.84550732374,0.606382079422,3.94260697067,2.45188940316,1.10432785004,3.39181385934,2.37716529518,1.91047154367,0.933125894517,4.49614152312,2.84359771758,0.909953843802,2.81062033027,2.39755306393,1.74353308976,1.10404510051,3.72057445347,2.847578004,0.833144877106,1.83825083077,1.39573346823,1.06042958796,0.8838519454,2.67139561474,1.94428153336,1.69178955257,2.11206134409,1.19267385453,0.863886997104,0.686028134078,3.80385108292,1.54991513118,8.80959033966,15.3589993715,11.8777267635,7.84418955445,4.23341095448,24.1685912013,12.0776005089,3.13984751701,9.01947543025,7.11214840412,5.4995123297,2.64355335385,12.1593229473,8.14306512475,2.78551001102,2.09360904992,2.56191510707,0.593459233642,0.0396563060349,4.8791192472,0.633115507662,0.918535236269,2.4995200336,2.594377473,2.14366223663,0.740417698398,3.41805517673,2.88408007473,0.94853322953,3.21807041764,2.96600293368,2.0700763911,0.881423614919,4.16660346091,2.95150000602,0.868491828442,3.06501816958,2.70578879863,1.75535455346,0.987419206649,3.93351018429,2.74277366698,0.87604271248,2.44400668889,1.66815686971,0.89992871508,0.613128626719,3.32004912198,1.51305738837,2.35932897776,3.72438803315,1.65674574673,0.789123307914,0.408394448459,6.08371682465,1.19751775637,8.75644162297,17.0446112752,14.1529858112,8.25160443783,3.67043986917,25.8010536432,11.922044307,2.73556038737,8.78260806203,8.26616883278,5.9690926224,2.60926038027,11.5181691945,8.5783533752
2004,3.08891423047,2.38257851452,2.28619277477,0.431009428576,0.0278754538158,5.47149218619,0.458884891123,1.09041118994,2.78353001922,2.31156758964,1.8313081935,0.632411194965,3.87394167483,2.46371943504,1.09265893698,3.26214618981,2.35083270818,1.88075024635,0.929317902774,4.35480512679,2.81006842852,0.900530535728,2.9112258926,2.40908227861,1.75640080124,1.07040610164,3.81175652146,2.82680708915,0.801372528076,1.89746171236,1.46669363603,1.13631747663,0.922703742981,2.69883424044,2.05902121961,1.59442704171,2.16994751245,1.18750268593,0.889848358929,0.727850431576,3.76437418163,1.61769874394,8.56831520796,15.4068902135,12.011872232,7.92563483119,4.31056469679,23.9752024412,12.236199528,3.08360066265,8.95690247416,7.07148239017,5.46845979989,2.63213515282,12.040501833,8.10059458017,2.73150634021,2.09925267845,2.60312687606,0.623113755137,0.0341324572219,4.83075901866,0.657246168703,0.913980137557,2.429500781,2.59281210601,2.0723156631,0.759608391672,3.34348119795,2.8319241479,0.920822750777,3.08728925884,2.85619236529,2.09684353322,0.883187074214,4.00811247528,2.98003032804,0.859274994582,3.06700300425,2.74113621563,1.76270715892,0.998121313751,3.9262779057,2.76082865894,0.853827502578,2.42868550122,1.78995653987,0.985002331436,0.672369590029,3.28251235187,1.65737178177,2.23100017756,3.73165346682,1.71850323677,0.808077305555,0.42572519742,5.96265345812,1.23380245641,8.51041153073,16.8433859944,14.3017277122,8.34805965424,3.77314426005,25.3537982702,12.1212035418,2.69407797605,8.58379378915,8.19014087319,5.93186616898,2.64091659337,11.2778715789,8.57278332114
2005,3.0953001231,2.3708185181,2.27872077376,0.409192731604,0.0237282874878,5.46611845493,0.432921014726,1.0932453908,2.81274393201,2.29127034545,1.78652629256,0.629032310098,3.90598922968,2.41555850953,1.05469720438,3.19472104311,2.32585240155,1.85226555914,0.940569862723,4.24941778183,2.79283560812,0.937885884196,3.0735110864,2.33967583627,1.71299073845,1.03988815099,4.0113966912,2.75287851691,0.826965924352,1.92202627659,1.54917435721,1.17495460436,0.938997417688,2.74899210781,2.11395192891,1.56663954258,2.17413417995,1.21945394203,0.906436890364,0.73805609718,3.74077372253,1.64449289441,8.57473388314,15.5479550362,12.0041489601,7.84236565232,4.31027151644,24.1226911545,12.1526390314,3.08582838625,9.08097550273,6.95679932833,5.35178184509,2.60949023068,12.1668033302,7.9612724483,2.69642304629,2.08309702575,2.6272200048,0.591082731262,0.0390871457057,4.77951951325,0.630169874057,0.916049536318,2.34424676746,2.52080541104,2.07678750157,0.790849328041,3.26029658318,2.86763664335,0.887667015195,2.93680485338,2.82815750688,2.05433834344,0.953692663461,3.82447205484,3.00803091377,0.905704777688,3.11646088958,2.76753399521,1.7890850082,0.959180574864,4.0221657604,2.7482656762,0.839019846171,2.4678517133,1.87269188464,1.03112645447,0.727026350796,3.30687128007,1.75815280527,2.20057498664,3.65502387285,1.74153931439,0.862884148955,0.438500614837,5.85559941828,1.30138481036,8.4454394877,16.6034862399,14.3579468131,8.40530470014,3.9083365351,25.0489264727,12.3136408627,2.70942151546,8.39751288295,8.1164970994,5.92021122575,2.7037223801,11.1069351435,8.62393304706
2006,3.03978230804,2.3704605177,2.30585616082,0.41225804016,0.0182022529771,5.41024319828,0.43046027422,1.08051784337,2.80481763184,2.24726237357,1.78772863001,0.621758261696,3.88533547521,2.40948684514,1.03776464239,3.12706530094,2.27143466473,1.83945931494,0.940867327154,4.1648298502,2.78032645583,0.948287919164,3.09624485672,2.34737619758,1.74525324255,1.06665343046,4.04453277588,2.81190667301,0.752565218136,1.96103882045,1.66932772845,1.23569201678,0.96452338621,2.71360445768,2.20021512359,1.46905072033,2.26364601403,1.22275436297,0.914363283664,0.776088563725,3.73269692063,1.69045198709,8.32796916366,15.6232729554,12.0640106499,7.9347550869,4.38809320331,23.9512428641,12.3228468001,3.06657087058,9.02812853456,6.8660736084,5.37244081497,2.62927878648,12.0946988463,8.00171941519,2.7077883482,2.0402783528,2.59508956224,0.608674669638,0.040331974742,4.74806688726,0.649006664753,0.856111291796,2.28798743337,2.5570737198,2.0770162344,0.798723101616,3.1440988183,2.87573896348,0.859369616956,2.85505540669,2.72991806269,2.0831156522,0.959439855069,3.71442474425,3.04255541414,0.901044905186,3.09958811849,2.8166519478,1.83243285865,0.941533315927,4.00063320994,2.77396608144,0.806082505733,2.49130576849,1.95701178163,1.09343538061,0.763314170763,3.29738855362,1.8567495048,2.09545344114,3.65281775594,1.76856033504,0.903806276619,0.482873432338,5.74827082455,1.38667961583,8.22585076094,16.4270311594,14.4243046641,8.59848111868,3.98621596396,24.6528849006,12.5846967101,2.61652581394,8.24263095856,8.10364335775,5.99256455898,2.69969627261,10.8591564,8.69226083159
2007,2.98129636794,2.3820778355,2.3133341223,0.442547956482,0.0313515134621,5.36337420344,0.47389944084,1.06839090586,2.77117807418,2.25247703493,1.82456430048,0.633167149499,3.8395691663,2.45773140341,1.0250268504,2.99103036523,2.17219777405,1.87572333962,0.964361801744,4.0160574019,2.84008514136,0.939478352666,3.15502136946,2.32359208167,1.75397861749,1.02300941944,4.09449972212,2.77698803693,0.728468084708,1.97496972978,1.7354670912,1.34710632265,0.969408918172,2.70343814045,2.31651533395,1.38144316152,2.29270849377,1.28238145262,0.928127299994,0.814076513052,3.67415137589,1.74220371991,8.12410339713,15.5669867992,12.079449743,8.17204788327,4.43537533283,23.6910909414,12.607422471,3.03289629519,8.91723036766,6.74826651812,5.45426607132,2.62053795159,11.9501262903,8.07480439544,2.63643041253,2.06313244998,2.60027069598,0.633242353797,0.0431813794421,4.69956286252,0.676423730329,0.826699566096,2.26362124085,2.51088030636,2.11870335042,0.824246369302,3.09032090008,2.94294953346,0.853112433106,2.67226416618,2.63810902834,2.13776882738,0.977136567235,3.52537706494,3.11490539461,0.834734924138,3.14568728209,2.75900680572,1.92335452884,0.943662319332,3.98042239249,2.86701675504,0.768385222182,2.53976210952,1.96476094425,1.19110653177,0.817562732846,3.308147192,2.00866926461,1.91341880709,3.78483682871,1.82625502348,0.921692512929,0.489003770053,5.69825544953,1.41069628298,7.83278122544,16.4693057537,14.2992824316,8.92586782575,4.094793275,24.3020877242,13.0206599832,2.51454673707,8.08157324791,7.90799558163,6.17982707918,2.745045349,10.5961196125,8.92487242818
2008,2.84965280443,2.38380245864,2.35884394497,0.462108571082,0.0296203303151,5.23345582187,0.491728866473,1.02699054405,2.77546551079,2.24318336695,1.87011770904,0.650775898248,3.8024559617,2.52089351416,0.964558124542,2.81146727502,2.20153406262,1.84180233628,0.977855827659,3.77602539957,2.81965825707,0.936454068869,3.17446403205,2.34025809914,1.76242627203,0.972233712673,4.11091819406,2.73466017097,0.728332484141,1.99743602425,1.81530695409,1.37680573389,0.994050782174,2.72576827556,2.37085651606,1.35084204376,2.28857379407,1.34453773499,1.01255597547,0.840549170971,3.63941602409,1.85310505331,7.85682946444,15.4312074184,12.3036637902,8.32581669092,4.46508526802,23.288038373,12.7909034491,2.92800273746,8.76139625907,6.78497552872,5.47434650362,2.60086506605,11.6893976927,8.07521119714,2.59540043771,1.99258178473,2.64665875584,0.656617805362,0.0530207995325,4.58798184991,0.709638604894,0.797452963889,2.22507696599,2.49145030975,2.16815322638,0.881134811789,3.02253030241,3.04928831756,0.805662479252,2.53125745803,2.59550791234,2.08918843418,1.00986016914,3.33691984415,3.09904851019,0.832270458341,3.07927131653,2.84214299172,1.91359166056,0.932962540537,3.91154177487,2.84655410796,0.774778844789,2.49778944999,2.05953810364,1.24661056325,0.852378457785,3.27256843448,2.0989889279,1.87519770116,3.77711765468,1.91541928798,0.946406088769,0.532877584919,5.65231516957,1.47928372025,7.68076255918,16.1030948162,14.550717175,9.02056843042,4.26223389804,23.7838581204,13.282802701,2.43538599461,7.83560574055,7.92910084128,6.17093294859,2.82395724207,10.2709919214,8.9948900044
2009,2.79272980988,2.35324762762,2.36701034009,0.471439678222,0.0372046459233,5.1459774375,0.508644385263,1.00966840982,2.78545506299,2.27058101445,1.83155480772,0.640463968739,3.79512310028,2.47201882303,0.921192765236,2.77287065983,2.1656440571,1.79139561951,0.90997396037,3.69406342506,2.70136967301,0.948844198138,3.25112082064,2.33138389885,1.69836953282,1.00628640503,4.19996529818,2.70465575159,0.73057115078,2.07233149558,1.86399091035,1.40542183071,1.01527767256,2.8029024601,2.42069941014,1.35567616671,2.27935705334,1.36340782046,1.07174143195,0.889217574149,3.63503284752,1.96095891297,7.75868296623,15.5143812299,12.3620182276,8.26992318034,4.49842438102,23.2730671763,12.7683460712,2.87970546633,8.80944654346,6.7676089704,5.32132014632,2.55672447383,11.6891518235,7.87804424763,2.48286835849,2.00879275799,2.69645843655,0.668091885746,0.0520270783454,4.49166111648,0.720118917525,0.778181245551,2.15614400804,2.53641717136,2.15502306819,0.890980195254,2.93432530016,3.04600335658,0.806509051472,2.48066950589,2.52213515341,1.96911338717,1.02088646963,3.2871786505,2.9900001362,0.864125974476,3.04866731167,2.83941980451,1.94375067949,0.904905144125,3.91279347241,2.84865573049,0.750756822526,2.5136416778,2.12161466479,1.33296009153,0.892955809832,3.26439850032,2.22591590136,1.86639353633,3.73984351754,1.94782316685,1.00795719773,0.597454374656,5.60623705387,1.60541161895,7.54883512855,15.9477606416,14.6638676524,9.07689705491,4.35920916498,23.4965965152,13.4361043572,2.44881603867,7.68548101187,7.89797231555,6.06788769364,2.81677152961,10.1342961192,8.88465866446
2010,2.77492068708,2.37410012633,2.37632412463,0.477020815015,0.0391296547605,5.14902099967,0.516150472686,0.976080726832,2.79683917761,2.33567599207,1.86940412968,0.661940220743,3.77291999757,2.5313442573,0.902662519366,2.69105248153,2.06118207425,1.78302582353,0.894139893353,3.59371528029,2.67716608942,0.953266490251,3.22794876993,2.28401292115,1.66351161897,0.985987205058,4.18121553957,2.64949854463,0.71883383207,2.20162589103,1.89258083701,1.42492819577,1.01152099669,2.9204595834,2.43644919246,1.29575803876,2.33064256608,1.40959424898,1.08355283737,0.930259283632,3.62640060484,2.01381202787,7.62152224779,15.6222090125,12.3593710363,8.30144360662,4.52297702432,23.2437312603,12.8244206309,2.83200982958,8.71584042907,6.68087154627,5.31594157219,2.54206731915,11.5478500724,7.85800889134,2.45888382196,2.00800765306,2.71950736642,0.672554085031,0.0519643072039,4.46689128876,0.724518438801,0.753880571574,2.12135873735,2.573832497,2.21398118883,0.921250879765,2.87523921579,3.13523188233,0.788814201951,2.33369618654,2.44579743594,1.93427596241,1.02918324992,3.12251020223,2.96345949173,0.821409001946,3.01922261715,2.80584152788,1.91693026572,0.936540961266,3.84063124657,2.85347122699,0.732636218891,2.58106160909,2.17828825116,1.38556528836,0.930864270777,3.31369750202,2.31642965227,1.8143992871,3.76936979592,1.95846036077,1.06497602537,0.629924703389,5.58376908302,1.69490072876,7.37002268434,15.8327162266,14.6817281842,9.18828248978,4.49972860515,23.2027381659,13.6880099773,2.3641038686,7.47427716851,7.82547146082,6.06518760324,2.88697518408,9.83838066459,8.95216241479
2011,2.71061882377,2.43199840188,2.46662199497,0.465790880844,0.027973233955,5.14261759818,0.493764085695,0.947623420507,2.79343333095,2.38082632422,1.87130551785,0.652014743537,3.74105684459,2.52332035452,0.861847773194,2.53620892763,2.05042622983,1.73204634339,0.929403305054,3.39805670083,2.66144964844,0.912957079709,3.16892191768,2.21204198897,1.69272888452,0.977614894509,4.08187918365,2.67034377903,0.720220291987,2.2771531716,1.97970103472,1.43211139366,1.01027116179,2.99737360328,2.44238246232,1.25964470208,2.41997595876,1.52560221031,1.1057256721,0.99004516378,3.67962047458,2.09577083588,7.41291195154,15.6276911497,12.6152202487,8.29970836639,4.58732247353,23.0406045914,12.8870308399,2.72242855281,8.49856510758,6.64329454303,5.29608055949,2.55903303623,11.2209931016,7.85511434078,2.39708330482,1.96977313608,2.76563782245,0.645229779184,0.0531595724169,4.36685681343,0.69838934578,0.720468536019,2.1594805643,2.59419046342,2.19348520041,0.952731911093,2.87994928658,3.14621701837,0.767192896456,2.19165366143,2.41146627814,1.9399151206,1.0705659166,2.95884665102,3.0104810372,0.828234292567,2.90223993361,2.73565817624,1.88706256449,0.968188978732,3.73047441244,2.85525172949,0.744666624814,2.62571386993,2.24403738976,1.44132776186,0.937139615417,3.37038114667,2.37846728414,1.71804018319,3.80794219673,2.00326573104,1.08889536932,0.692705716938,5.52598163486,1.78160089999,7.17568621039,15.6568035483,14.7542566061,9.1959156096,4.67449165881,22.8324875236,13.8704076409,2.31589563191,7.25337490439,7.74131566286,6.02046325803,2.99148727208,9.56926941872,9.01194885373
2012,2.63837277889,2.34215520322,2.50865351409,0.506017962471,0.032138088136,4.98052798212,0.538156088442,0.846665259451,2.6170829311,2.2848714143,1.87860112637,0.664348201826,3.46374846995,2.54294909537,0.841317884624,2.48688366264,2.04607862979,1.67158003896,0.942991767079,3.32820154727,2.61457171291,0.889151077718,3.03383376449,2.17450838536,1.69216375798,0.988233089447,3.92298474908,2.68039684743,0.698722852394,2.40090955049,2.02036611736,1.46300625056,0.993489101529,3.09963263571,2.45649497956,1.22456746176,2.42312829942,1.6166402027,1.2376059778,1.06897810474,3.64769548178,2.30658426881,7.1387976408,15.3039932251,12.6511186361,8.44897478819,4.6901781112,22.4427878857,13.139154017,2.57713440806,8.1378005445,6.50545880198,5.24234510958,2.59557310492,10.7149347663,7.83791765571,2.37427018583,1.9633544609,2.84149106592,0.680809095502,0.0481064635096,4.33762483299,0.728915492073,0.693988194689,2.07997653633,2.56256572902,2.21644360572,0.971962604672,2.77396459132,3.18840630352,0.735952891409,2.10569147021,2.41356473416,1.9847676158,1.07979550958,2.84164436162,3.06456312537,0.803932920098,2.83131729811,2.69537977874,1.91338155419,0.952688697726,3.63525003195,2.86607015878,0.723117822781,2.61567085981,2.34412234277,1.53249297291,0.962945818901,3.33878882229,2.49543897808,1.68148800731,3.86842042208,2.15418767184,1.17545137182,0.759593443945,5.54990880191,1.93504504859,7.01274946332,15.4644295573,15.0113120675,9.50334668159,4.77509275079,22.4771827459,14.2784386873,2.2338738665,7.01698511839,7.67150968313,6.11459314823,3.00444699824,9.25085917115,9.11903977394
2013,2.56645642221,2.34177261591,2.51221396029,0.50828862004,0.0386265164707,4.90822903812,0.54691513069,0.825132708997,2.59071402252,2.27764230222,1.97677258402,0.679751299322,3.41584645212,2.65652369708,0.794640835375,2.41245124489,2.02944260091,1.69398039579,0.955994427204,3.20709198713,2.64997463673,0.863829813898,2.88523361087,2.16348264366,1.71153433621,0.97057884559,3.74906361103,2.68211327493,0.694538420066,2.46569607407,2.05221883953,1.45874870941,0.961478427052,3.16023416817,2.4202272296,1.16213532165,2.46976371855,1.73075385392,1.32516501471,1.13712968305,3.63189913332,2.4622945115,6.90673366189,15.1656314731,12.7657532692,8.6744889617,4.74355891347,22.07236588,13.4180486202,2.48360335827,7.88839906454,6.47056773305,5.38228675723,2.60632466525,10.3720024228,7.9886123538,2.26804483682,1.96379460394,2.8737405315,0.676765386015,0.0532294856384,4.2318392545,0.729994801804,0.66112652421,2.06137150526,2.56448201835,2.29722075164,0.974169559777,2.72249821573,3.27138975263,0.700714951381,2.03418042511,2.39694286138,1.96206588298,1.15612801164,2.73489523679,3.11819389462,0.758023932576,2.72956676781,2.65222433954,1.91945172846,0.961246620864,3.48759070039,2.88069825619,0.712115177885,2.67975050956,2.32464466244,1.53104783967,0.97728651017,3.39186601341,2.50833425671,1.58098228276,3.92508283257,2.29692067951,1.23525904492,0.816254690289,5.50606437027,2.05151382834,6.68100789189,15.3937473893,15.1089549065,9.62180942297,4.93831448257,22.0747560263,14.5601257682,2.11986545473,6.82511851192,7.61364996433,6.17873780429,3.09154409915,8.94498378038,9.27028208971
2014,2.43088360876,2.3628834635,2.51779593527,0.516022648662,0.0390270433854,4.79376763105,0.555049721152,0.754343206063,2.63579916209,2.32836529613,1.95304565132,0.740454718471,3.39014232159,2.69350055605,0.789515208453,2.35839858651,2.02339123935,1.68983247131,0.946690607816,3.1479138881,2.63652279973,0.83283605054,2.81812082976,2.10923496634,1.70331001282,0.980641972274,3.65095697343,2.68395189196,0.73903305456,2.50093489885,2.01267208904,1.49620007724,0.968082807958,3.23996804655,2.46428269893,1.15627450868,2.54873484373,1.79092474282,1.36830694973,1.18404915556,3.70500944555,2.55235619843,6.70288652182,15.2248710394,12.7823844552,8.72671678662,4.85894605517,21.9277560711,13.585665822,2.37669460475,7.81231820583,6.46099224687,5.34618757665,2.6677871123,10.1890131831,8.01397487521,2.2118607536,2.01382692903,2.75795347989,0.697621982545,0.0594358891249,4.22568768263,0.757057825103,0.648868596181,2.00107414275,2.56808195263,2.32075471431,1.03811444715,2.6499427855,3.35886925459,0.679800612852,1.99110656977,2.29668691754,1.95047426969,1.20306499302,2.67090704292,3.15353907645,0.727619044483,2.65713501722,2.56570596248,1.89598519355,1.00461775437,3.3847540617,2.90060266852,0.717474427074,2.69680973142,2.36998051405,1.5638647601,0.989263877273,3.41428443789,2.55312845111,1.54437199235,3.94940413535,2.39816848189,1.29865221679,0.886422395706,5.49377650023,2.18507442623,6.52999505401,15.3093576431,14.9565771222,9.72735211253,5.18091917038,21.8393519521,14.908272028,2.05628816038,6.64931535721,7.43047520518,6.16721399128,3.24579700828,8.70560407639,9.41301137209
