peak,trough
1970-01-01,1970-12-01
1973-11-01,1975-04-01
1980-02-01,1980-08-01
1981-08-01,1982-12-01
1990-08-01,1991-04-01
2001-04-01,2001-12-01
2008-01-01,2009-07-01
