census_code,occupation_title,job_zone,onet_version,oews_year
10,Chief executives,5.0,14.0,2004
20,General and operations managers,3.0,14.0,2004
30,Legislators,4.0,14.0,2004
40,Advertising and promotions managers,4.0,14.0,2004
50,Marketing and sales managers,4.0,14.0,2004
60,Public relations managers,4.0,14.0,2004
100,Administrative services managers,3.0,14.0,2004
110,Computer and information systems managers,4.0,14.0,2004
120,Financial managers,4.5,14.0,2004
130,Human resources managers,4.0,14.0,2004
140,Industrial production managers,3.0,14.0,2004
150,Purchasing managers,4.0,14.0,2004
160,"Transportation, storage, and distribution managers",4.0,14.0,2004
200,"Farm, ranch, and other agricultural managers",3.6666666666666665,14.0,2004
210,Farmers and ranchers,3.0,14.0,2004
220,Construction managers,4.0,14.0,2004
230,Education administrators,4.86015203870076,14.0,2004
300,Engineering managers,5.0,14.0,2004
310,Food service managers,3.0,14.0,2004
320,Funeral directors,3.0,14.0,2004
330,Gaming managers,3.0,14.0,2004
340,Lodging managers,3.0,14.0,2004
350,Medical and health services managers,5.0,14.0,2004
360,Natural sciences managers,5.0,14.0,2004
400,Postmasters and mail superintendents,3.0,14.0,2004
410,"Property, real estate, and community association managers",3.0,14.0,2004
420,Social and community service managers,4.0,14.0,2004
430,"Managers, all other",4.0,14.0,2004
500,"Agents and business managers of artists, performers, and athletes",4.0,14.0,2004
510,"Purchasing agents and buyers, farm products",3.0,14.0,2004
520,"Wholesale and retail buyers, except farm products",3.0,14.0,2004
530,"Purchasing agents, except wholesale, retail, and farm products",3.0,14.0,2004
540,"Claims adjusters, appraisers, examiners, and investigators",3.0,14.0,2004
560,"Compliance officers, except agriculture, construction, health and safety, and transportation",3.6666666666666665,14.0,2004
600,Cost estimators,4.0,14.0,2004
620,"Human resources, training, and labor relations specialists",4.0,14.0,2004
700,Logisticians,4.0,14.0,2004
710,Management analysts,4.0,14.0,2004
720,Meeting and convention planners,4.0,14.0,2004
730,Other business operations specialists,3.3474020721796403,14.0,2004
800,Accountants and auditors,4.0,14.0,2004
810,Appraisers and assessors of real estate,3.5,14.0,2004
820,Budget analysts,4.0,14.0,2004
830,Credit analysts,4.0,14.0,2004
840,Financial analysts,4.0,14.0,2004
850,Personal financial advisors,4.0,14.0,2004
860,Insurance underwriters,4.0,14.0,2004
900,Financial examiners,4.0,14.0,2004
910,Loan counselors and officers,3.100519371592632,14.0,2004
930,"Tax examiners, collectors, and revenue agents",3.0,14.0,2004
940,Tax preparers,3.0,14.0,2004
950,"Financial specialists, all other",3.783660443832308,14.0,2004
1000,Computer scientists and systems analysts,3.7596220242642606,14.0,2004
1010,Computer programmers,4.0,14.0,2004
1020,Computer software engineers,4.0,14.0,2004
1040,Computer support specialists,3.0,14.0,2004
1060,Database administrators,4.0,14.0,2004
1100,Network and computer systems administrators,4.0,14.0,2004
1110,Network systems and data communications analysts,3.0,14.0,2004
1200,Actuaries,4.0,14.0,2004
1210,Mathematicians,5.0,14.0,2004
1220,Operations research analysts,5.0,14.0,2004
1230,Statisticians,5.0,14.0,2004
1240,Miscellaneous mathematical science occupations,4.0,14.0,2004
1300,"Architects, except naval",4.839985744832502,14.0,2004
1310,"Surveyors, cartographers, and photogrammetrists",3.8422062350119903,14.0,2004
1320,Aerospace engineers,4.0,14.0,2004
1330,Agricultural engineers,4.0,14.0,2004
1340,Biomedical engineers,4.0,14.0,2004
1350,Chemical engineers,4.0,14.0,2004
1360,Civil engineers,4.0,14.0,2004
1400,Computer hardware engineers,4.0,14.0,2004
1410,Electrical and electronic engineers,4.0,14.0,2004
1420,Environmental engineers,4.0,14.0,2004
1430,"Industrial engineers, including health and safety",4.0,14.0,2004
1440,Marine engineers and naval architects,4.0,14.0,2004
1450,Materials engineers,4.0,14.0,2004
1460,Mechanical engineers,4.0,14.0,2004
1500,"Mining and geological engineers, including mining safety engineers",4.0,14.0,2004
