census_code,occupation_title,ai_exposure,onet_version,oews_year
10,Chief executives,0.34323722077902036,20.1,2011
20,General and operations managers,0.3432482076198377,20.1,2011
30,Legislators,0.3432467901562065,20.1,2011
40,Advertising and promotions managers,0.36477167705395863,20.1,2011
50,Marketing and sales managers,0.3269877045589625,20.1,2011
60,Public relations and fundraising managers,0.34143155694879834,20.1,2011
100,Administrative services managers,0.3663841101743062,20.1,2011
110,Computer and information systems managers,0.3402784954014674,20.1,2011
120,Financial managers,0.34628518310238166,20.1,2011
135,Compensation and benefits managers,0.3523847339655253,20.1,2011
136,Human resources managers,0.3270259152612094,20.1,2011
137,Training and development managers,0.33150728462181456,20.1,2011
140,Industrial production managers,0.3397722031139918,20.1,2011
150,Purchasing managers,0.3390862211964949,20.1,2011
160,"Transportation, storage, and distribution managers",0.3457058685977856,20.1,2011
205,"Farmers, ranchers, and other agricultural managers",0.34293223740382467,20.1,2011
220,Construction managers,0.35227043741097175,20.1,2011
230,Education administrators,0.3386911612710938,20.1,2011
300,Architectural and engineering managers,0.35425590442894267,20.1,2011
310,Food service managers,0.3265562199784335,20.1,2011
325,Funeral service managers,0.3495462321319841,20.1,2011
330,Gaming managers,0.3431696803751999,20.1,2011
340,Lodging managers,0.33632570247301125,20.1,2011
350,Medical and health services managers,0.33872520448725923,20.1,2011
360,Natural sciences managers,0.36069611804231166,20.1,2011
400,Postmasters and mail superintendents,0.3539747870135851,20.1,2011
410,"Property, real estate, and community association managers",0.35107363247982576,20.1,2011
420,Social and community service managers,0.3411288480572545,20.1,2011
425,Emergency management directors,0.33964874524422584,20.1,2011
430,"Managers, all other",0.34696765022018067,20.1,2011
500,"Agents and business managers of artists, performers, and athletes",0.3442505544603253,20.1,2011
510,"Buyers and purchasing agents, farm products",0.3516048824593128,20.1,2011
520,"Wholesale and retail buyers, except farm products",0.35964561257483113,20.1,2011
530,"Purchasing agents, except wholesale, retail, and farm products",0.35241965275212406,20.1,2011
540,"Claims adjusters, appraisers, examiners, and investigators",0.3764728784733498,20.1,2011
565,Compliance officers,0.36164334753237526,20.1,2011
600,Cost estimators,0.3587241078399853,20.1,2011
630,Human resources workers,0.3442822272371391,20.1,2011
640,"Compensation, benefits, and job analysis specialists",0.3683799167445417,20.1,2011
650,Training and development specialists,0.3362288715827616,20.1,2011
700,Logisticians,0.3558693803728293,20.1,2011
710,Management analysts,0.3635055740214456,20.1,2011
725,"Meeting, convention, and event planners",0.34127219949258303,20.1,2011
726,Fundraisers,0.3453222963475312,20.1,2011
735,Market research analysts and marketing specialists,0.36376887512241785,20.1,2011
740,"Business operations specialists, all other",0.3589907963938876,20.1,2011
800,Accountants and auditors,0.3706160546288816,20.1,2011
810,Appraisers and assessors of real estate,0.3879408561841108,20.1,2011
820,Budget analysts,0.38527357139757884,20.1,2011
830,Credit analysts,0.3641391240531544,20.1,2011
840,Financial analysts,0.36689587426326126,20.1,2011
850,Personal financial advisors,0.3642827751990587,20.1,2011
860,Insurance underwriters,0.3784351894261597,20.1,2011
900,Financial examiners,0.36058212996389893,20.1,2011
910,Credit counselors and loan officers,0.3692360819466975,20.1,2011
930,"Tax examiners and collectors, and revenue agents",0.3827486785199424,20.1,2011
940,Tax preparers,0.3830858273078046,20.1,2011
950,"Financial specialists, all other",0.3611421872738494,20.1,2011
1005,Computer and information research scientists,0.36000553535322466,20.1,2011
1006,Computer systems analysts,0.3564129674073716,20.1,2011
1007,Information security analysts,0.37465643999909143,20.1,2011
1010,Computer programmers,0.3745012808268697,20.1,2011
1020,"Software developers, applications and systems software",0.378974324778408,20.1,2011
1030,Web developers,0.3644453296156144,20.1,2011
1050,Computer support specialists,0.3559476105377717,20.1,2011
1060,Database administrators,0.3781531382415254,20.1,2011
1105,Network and computer systems administrators,0.36035202527360943,20.1,2011
1106,Computer network architects ,0.3547184288798564,20.1,2011
1107,"Computer occupations, all other",0.3648783539182076,20.1,2011
1200,Actuaries,0.36464895605863035,20.1,2011
1210,Mathematicians,0.36743023882666026,20.1,2011
1220,Operations research analysts,0.3620176605782025,20.1,2011
1230,Statisticians,0.3661990176535763,20.1,2011
1240,Miscellaneous mathematical science occupations,0.41003433608363654,20.1,2011
1300,"Architects, except naval",0.36132505966919903,20.1,2011
1310,"Surveyors, cartographers, and photogrammetrists",0.3649210587888833,20.1,2011
1320,Aerospace engineers,0.37622945335325736,20.1,2011
1330,Agricultural engineers,0.3754327255942765,20.1,2011
1340,Biomedical engineers,0.3660461750970203,20.1,2011
1350,Chemical engineers,0.3601351156277969,20.1,2011
1360,Civil engineers,0.36338259236755655,20.1,2011
1400,Computer hardware engineers,0.37439472268357155,20.1,2011
1410,Electrical and electronics engineers,0.37193284192035597,20.1,2011
1420,Environmental engineers,0.35899217355526347,20.1,2011
1430,"Industrial engineers, including health and safety",0.36127897942817894,20.1,2011
1440,Marine engineers and naval architects,0.3693170870089959,20.1,2011
1450,Materials engineers,0.37080775373254604,20.1,2011
1460,Mechanical engineers,0.36764455549316394,20.1,2011
1500,"Mining and geological engineers, including mining safety engineers",0.37851272534464475,20.1,2011
1510,Nuclear engineers,0.3588656618750578,20.1,2011
1520,Petroleum engineers,0.3669506417243143,20.1,2011
1530,"Engineers, all other",0.3636780487036433,20.1,2011
1540,Drafters,0.3827516869937609,20.1,2011
1550,"Engineering technicians, except drafters",0.3610070342121766,20.1,2011
1560,Surveying and mapping technicians,0.37687097666918945,20.1,2011
1600,Agricultural and food scientists,0.3617494519436161,20.1,2011
1610,Biological scientists,0.3689187605017389,20.1,2011
1640,Conservation scientists and foresters,0.35889164477463137,20.1,2011
1650,Medical scientists,0.3491633578752089,20.1,2011
1660,"Life scientists, all other",0.3558712347994131,20.1,2011
1700,Astronomers and physicists,0.3659311802216193,20.1,2011
