census_code,occupation_title,job_zone,onet_version,oews_year
10,Chief executives,5.0,14.0,2008
20,General and operations managers,3.0,14.0,2008
30,Legislators,4.0,14.0,2008
40,Advertising and promotions managers,4.0,14.0,2008
50,Marketing and sales managers,4.0,14.0,2008
60,Public relations managers,4.0,14.0,2008
100,Administrative services managers,3.0,14.0,2008
110,Computer and information systems managers,4.0,14.0,2008
120,Financial managers,4.5,14.0,2008
130,Human resources managers,4.0,14.0,2008
140,Industrial production managers,3.0,14.0,2008
150,Purchasing managers,4.0,14.0,2008
160,"Transportation, storage, and distribution managers",4.0,14.0,2008
200,"Farm, ranch, and other agricultural managers",3.6666666666666665,14.0,2008
210,Farmers and ranchers,3.0,14.0,2008
220,Construction managers,4.0,14.0,2008
230,Education administrators,4.864450756541213,14.0,2008
300,Engineering managers,5.0,14.0,2008
310,Food service managers,3.0,14.0,2008
320,Funeral directors,3.0,14.0,2008
330,Gaming managers,3.0,14.0,2008
340,Lodging managers,3.0,14.0,2008
350,Medical and health services managers,5.0,14.0,2008
360,Natural sciences managers,5.0,14.0,2008
400,Postmasters and mail superintendents,3.0,14.0,2008
410,"Property, real estate, and community association managers",3.0,14.0,2008
420,Social and community service managers,4.0,14.0,2008
430,"Managers, all other",4.0,14.0,2008
500,"Agents and business managers of artists, performers, and athletes",4.0,14.0,2008
510,"Purchasing agents and buyers, farm products",3.0,14.0,2008
520,"Wholesale and retail buyers, except farm products",3.0,14.0,2008
530,"Purchasing agents, except wholesale, retail, and farm products",3.0,14.0,2008
540,"Claims adjusters, appraisers, examiners, and investigators",3.0,14.0,2008
560,"Compliance officers, except agriculture, construction, health and safety, and transportation",3.6666666666666665,14.0,2008
600,Cost estimators,4.0,14.0,2008
620,"Human resources, training, and labor relations specialists",4.0,14.0,2008
700,Logisticians,4.0,14.0,2008
710,Management analysts,4.0,14.0,2008
720,Meeting and convention planners,4.0,14.0,2008
730,Other business operations specialists,3.3616871007911384,14.0,2008
800,Accountants and auditors,4.0,14.0,2008
810,Appraisers and assessors of real estate,3.5,14.0,2008
820,Budget analysts,4.0,14.0,2008
830,Credit analysts,4.0,14.0,2008
840,Financial analysts,4.0,14.0,2008
850,Personal financial advisors,4.0,14.0,2008
860,Insurance underwriters,4.0,14.0,2008
900,Financial examiners,4.0,14.0,2008
910,Loan counselors and officers,3.0837793213391027,14.0,2008
930,"Tax examiners, collectors, and revenue agents",3.0,14.0,2008
940,Tax preparers,3.0,14.0,2008
950,"Financial specialists, all other",3.791840297936207,14.0,2008
1000,Computer scientists and systems analysts,3.7457054559288734,14.0,2008
1010,Computer programmers,4.0,14.0,2008
1020,Computer software engineers,4.0,14.0,2008
1040,Computer support specialists,3.0,14.0,2008
1060,Database administrators,4.0,14.0,2008
1100,Network and computer systems administrators,4.0,14.0,2008
1110,Network systems and data communications analysts,3.0,14.0,2008
1200,Actuaries,4.0,14.0,2008
1210,Mathematicians,5.0,14.0,2008
1220,Operations research analysts,5.0,14.0,2008
1230,Statisticians,5.0,14.0,2008
1240,Miscellaneous mathematical science occupations,4.0,14.0,2008
1300,"Architects, except naval",4.840069633666364,14.0,2008
1310,"Surveyors, cartographers, and photogrammetrists",3.8267378093967688,14.0,2008
1320,Aerospace engineers,4.0,14.0,2008
1330,Agricultural engineers,4.0,14.0,2008
1340,Biomedical engineers,4.0,14.0,2008
1350,Chemical engineers,4.0,14.0,2008
1360,Civil engineers,4.0,14.0,2008
