census_code,occupation_title,telework,onet_version,oews_year
10,Chief executives,0.5,25.1,2023
20,General and operations managers,1.0,25.1,2023
30,Legislators,0.9716015423335054,25.1,2023
40,Advertising and promotions managers,1.0,25.1,2023
51,Marketing managers,1.0,25.1,2023
52,Sales managers,1.0,25.1,2023
60,Public relations and fundraising managers,1.0,25.1,2023
101,Administrative services managers,1.0,25.1,2023
102,Facilities managers,1.0,25.1,2023
110,Computer and information systems managers,1.0,25.1,2023
120,Financial managers,0.6666666666666666,25.1,2023
135,Compensation and benefits managers,1.0,25.1,2023
136,Human resources managers,0.0,25.1,2023
137,Training and development managers,1.0,25.1,2023
140,Industrial production managers,0.0,25.1,2023
150,Purchasing managers,1.0,25.1,2023
160,"Transportation, storage, and distribution managers",0.5,25.1,2023
205,"Farmers, ranchers, and other agricultural managers",0.0,25.1,2023
220,Construction managers,0.0,25.1,2023
230,Education and childcare administrators ,0.4333071131587819,25.1,2023
300,Architectural and engineering managers,1.0,25.1,2023
310,Food service managers,0.0,25.1,2023
325,Funeral home managers,0.0,25.1,2023
335,Entertainment and recreation managers,0.0,25.1,2023
340,Lodging managers,1.0,25.1,2023
350,Medical and health services managers,1.0,25.1,2023
360,Natural sciences managers,1.0,25.1,2023
400,Postmasters and mail superintendents,0.0,25.1,2023
410,"Property, real estate, and community association managers",1.0,25.1,2023
420,Social and community service managers,0.0,25.1,2023
425,Emergency management directors,1.0,25.1,2023
426,"Personal service managers, all other",1.0,25.1,2023
440,"Managers, all other",0.8333333333333334,25.1,2023
500,"Agents and business managers of artists, performers, and athletes",1.0,25.1,2023
510,"Buyers and purchasing agents, farm products",1.0,25.1,2023
520,"Wholesale and retail buyers, except farm products",1.0,25.1,2023
530,"Purchasing agents, except wholesale, retail, and farm products",1.0,25.1,2023
540,"Claims adjusters, appraisers, examiners, and investigators",0.0,25.1,2023
565,Compliance officers,0.7142857142857143,25.1,2023
600,Cost estimators,1.0,25.1,2023
630,Human resources workers,0.0,25.1,2023
640,"Compensation, benefits, and job analysis specialists",1.0,25.1,2023
650,Training and development specialists,1.0,25.1,2023
700,Logisticians,1.0,25.1,2023
705,Project management specialists,1.0,25.1,2023
710,Management analysts,1.0,25.1,2023
725,"Meeting, convention, and event planners",1.0,25.1,2023
726,Fundraisers,1.0,25.1,2023
735,Market research analysts and marketing specialists,1.0,25.1,2023
750,"Business operations specialists, all other",1.0,25.1,2023
800,Accountants and auditors,1.0,25.1,2023
810,Property appraisers and assessors,1.0,25.1,2023
820,Budget analysts,1.0,25.1,2023
830,Credit analysts,1.0,25.1,2023
845,Financial and investment analysts,1.0,25.1,2023
850,Personal financial advisors,1.0,25.1,2023
860,Insurance underwriters,1.0,25.1,2023
900,Financial examiners,1.0,25.1,2023
910,Credit counselors and loan officers,1.0,25.1,2023
930,"Tax examiners and collectors, and revenue agents",0.0,25.1,2023
940,Tax preparers,1.0,25.1,2023
960,Other financial specialists,0.980649931263935,25.1,2023
1005,Computer and information research scientists,1.0,25.1,2023
1006,Computer systems analysts,1.0,25.1,2023
1007,Information security analysts,1.0,25.1,2023
1010,Computer programmers,1.0,25.1,2023
1021,Software developers,1.0,25.1,2023
1022,Software quality assurance analysts and testers,1.0,25.1,2023
1031,Web developers,1.0,25.1,2023
1032,Web and digital interface designers,1.0,25.1,2023
1050,Computer support specialists,1.0,25.1,2023
1065,Database administrators and architects,1.0,25.1,2023
1105,Network and computer systems administrators,1.0,25.1,2023
1106,Computer network architects,1.0,25.1,2023
1108,"Computer occupations, all other",0.8,25.1,2023
1200,Actuaries,1.0,25.1,2023
1210,Mathematicians,1.0,25.1,2023
1220,Operations research analysts,1.0,25.1,2023
1230,Statisticians,1.0,25.1,2023
1240,Other mathematical science occupations,1.0,25.1,2023
1305,"Architects, except landscape and naval",1.0,25.1,2023
1306,Landscape architects,1.0,25.1,2023
1310,"Surveyors, cartographers, and photogrammetrists",0.4022514666243856,25.1,2023
1320,Aerospace engineers,1.0,25.1,2023
1330,Agricultural engineers,1.0,25.1,2023
1340,Bioengineers and biomedical engineers,1.0,25.1,2023
1350,Chemical engineers,1.0,25.1,2023
1360,Civil engineers,1.0,25.1,2023
1400,Computer hardware engineers,1.0,25.1,2023
1410,Electrical and electronics engineers,1.0,25.1,2023
1420,Environmental engineers,1.0,25.1,2023
1430,"Industrial engineers, including health and safety ",1.0,25.1,2023
1440,Marine engineers and naval architects,1.0,25.1,2023
1450,Materials engineers,1.0,25.1,2023
1460,Mechanical engineers,1.0,25.1,2023
1500,"Mining and geological engineers, including mining safety engineers",1.0,25.1,2023
1510,Nuclear engineers,1.0,25.1,2023
1520,Petroleum engineers,1.0,25.1,2023
1530,"Engineers, all other",1.0,25.1,2023
1541,Architectural and civil drafters,1.0,25.1,2023
1545,Other drafters,1.0,25.1,2023
1551,Electrical and electronic engineering technologists and technicians,1.0,25.1,2023
1555,"Other engineering technologists and technicians, except drafters",0.512588741389776,25.1,2023
1560,Surveying and mapping technicians,1.0,25.1,2023
1600,Agricultural and food scientists,1.0,25.1,2023
1610,Biological scientists,1.0,25.1,2023
1640,Conservation scientists and foresters,0.0,25.1,2023
1650,Medical scientists,1.0,25.1,2023
1660,"Life scientists, all other",0.9064123777177857,25.1,2023
1700,Astronomers and physicists,1.0,25.1,2023
1710,Atmospheric and space scientists,1.0,25.1,2023
1720,Chemists and materials scientists,0.09540827377084687,25.1,2023
1745,"Environmental scientists and specialists, including health",1.0,25.1,2023
1750,"Geoscientists and hydrologists, except geographers",1.0,25.1,2023
1760,"Physical scientists, all other",1.0,25.1,2023
1800,Economists,1.0,25.1,2023
1815,Survey researchers,1.0,25.1,2023
1821,Clinical and counseling psychologists,1.0,25.1,2023
1822,School psychologists,1.0,25.1,2023
1825,Other psychologists,1.0,25.1,2023
1830,Sociologists,1.0,25.1,2023
1840,Urban and regional planners,1.0,25.1,2023
1860,Miscellaneous social scientists and related workers,1.0,25.1,2023
1900,Agricultural and food science technicians,0.23200423429781228,25.1,2023
1910,Biological technicians,1.0,25.1,2023
1920,Chemical technicians,0.0,25.1,2023
1935,Environmental  science and geoscience technicians,0.21478787878787878,25.1,2023
1940,Nuclear technicians,0.0,25.1,2023
1950,Social science research assistants,1.0,25.1,2023
1970,"Other life, physical, and social science technicians",0.49532527152614486,25.1,2023
1980,Occupational health and safety specialists and technicians,1.0,25.1,2023
2001,Substance abuse and behavioral disorder counselors,0.0,25.1,2023
2002,"Educational, guidance, and career counselors and advisors",0.0,25.1,2023
2003,Marriage and family therapists,0.0,25.1,2023
2004,Mental health counselors,1.0,25.1,2023
2005,Rehabilitation counselors,1.0,25.1,2023
2006,"Counselors, all other",0.17813977929584865,25.1,2023
2011,"Child, family, and school social workers",0.0,25.1,2023
2012,Healthcare social workers,0.0,25.1,2023
2013,Mental health and substance abuse social workers,0.0,25.1,2023
2014,"Social workers, all other",0.0,25.1,2023
2015,Probation officers and correctional treatment specialists,0.0,25.1,2023
2016,Social and human service assistants,0.0,25.1,2023
2025,Other community and social service specialists,0.09451703105325986,25.1,2023
2040,Clergy,1.0,25.1,2023
2050,"Directors, religious activities and education",1.0,25.1,2023
2060,"Religious workers, all other",1.0,25.1,2023
2100,Lawyers,0.0,25.1,2023
2105,Judicial law clerks,1.0,25.1,2023
2110,"Judges, magistrates, and other judicial workers",0.0,25.1,2023
2145,Paralegals and legal assistants,1.0,25.1,2023
2170,"Title examiners, abstractors, and searchers",1.0,25.1,2023
2180,"Legal support workers, all other",1.0,25.1,2023
2205,Postsecondary teachers,1.0,25.1,2023
2300,Preschool and kindergarten teachers,0.0,25.1,2023
2310,Elementary and middle school teachers,0.0,25.1,2023
2320,Secondary school teachers,0.0,25.1,2023
2330,Special education teachers,0.0,25.1,2023
2350,Tutors,1.0,25.1,2023
2360,Other teachers and instructors,0.4226395077445364,25.1,2023
2400,"Archivists, curators, and museum technicians",0.6081039282400248,25.1,2023
2435,Librarians and media collections specialists,1.0,25.1,2023
2440,Library technicians,1.0,25.1,2023
2545,Teaching assistants,1.0,25.1,2023
2555,Other educational instruction and library workers,1.0,25.1,2023
2600,Artists and related workers,0.0,25.1,2023
2631,Commercial and industrial designers,1.0,25.1,2023
2632,Fashion designers,0.0,25.1,2023
2633,Floral designers,0.0,25.1,2023
2634,Graphic designers,1.0,25.1,2023
2635,Interior designers,1.0,25.1,2023
