census_code,occupation_title,telework,onet_version,oews_year
10,Chief executives,0.5,25.1,2024
20,General and operations managers,1.0,25.1,2024
30,Legislators,0.9720976116029681,25.1,2024
40,Advertising and promotions managers,1.0,25.1,2024
51,Marketing managers,1.0,25.1,2024
52,Sales managers,1.0,25.1,2024
60,Public relations and fundraising managers,1.0,25.1,2024
101,Administrative services managers,1.0,25.1,2024
102,Facilities managers,1.0,25.1,2024
110,Computer and information systems managers,1.0,25.1,2024
120,Financial managers,0.6666666666666666,25.1,2024
135,Compensation and benefits managers,1.0,25.1,2024
136,Human resources managers,0.0,25.1,2024
137,Training and development managers,1.0,25.1,2024
140,Industrial production managers,0.0,25.1,2024
150,Purchasing managers,1.0,25.1,2024
160,"Transportation, storage, and distribution managers",0.5,25.1,2024
205,"Farmers, ranchers, and other agricultural managers",0.0,25.1,2024
220,Construction managers,0.0,25.1,2024
230,Education and childcare administrators ,0.4369439991544383,25.1,2024
300,Architectural and engineering managers,1.0,25.1,2024
310,Food service managers,0.0,25.1,2024
325,Funeral home managers,0.0,25.1,2024
335,Entertainment and recreation managers,0.0,25.1,2024
340,Lodging managers,1.0,25.1,2024
350,Medical and health services managers,1.0,25.1,2024
360,Natural sciences managers,1.0,25.1,2024
400,Postmasters and mail superintendents,0.0,25.1,2024
410,"Property, real estate, and community association managers",1.0,25.1,2024
420,Social and community service managers,0.0,25.1,2024
425,Emergency management directors,1.0,25.1,2024
426,"Personal service managers, all other",1.0,25.1,2024
440,"Managers, all other",0.8333333333333334,25.1,2024
500,"Agents and business managers of artists, performers, and athletes",1.0,25.1,2024
510,"Buyers and purchasing agents, farm products",1.0,25.1,2024
520,"Wholesale and retail buyers, except farm products",1.0,25.1,2024
530,"Purchasing agents, except wholesale, retail, and farm products",1.0,25.1,2024
540,"Claims adjusters, appraisers, examiners, and investigators",0.0,25.1,2024
565,Compliance officers,0.7142857142857143,25.1,2024
600,Cost estimators,1.0,25.1,2024
630,Human resources workers,0.0,25.1,2024
640,"Compensation, benefits, and job analysis specialists",1.0,25.1,2024
650,Training and development specialists,1.0,25.1,2024
700,Logisticians,1.0,25.1,2024
705,Project management specialists,1.0,25.1,2024
710,Management analysts,1.0,25.1,2024
725,"Meeting, convention, and event planners",1.0,25.1,2024
726,Fundraisers,1.0,25.1,2024
735,Market research analysts and marketing specialists,1.0,25.1,2024
750,"Business operations specialists, all other",1.0,25.1,2024
800,Accountants and auditors,1.0,25.1,2024
810,Property appraisers and assessors,1.0,25.1,2024
820,Budget analysts,1.0,25.1,2024
830,Credit analysts,1.0,25.1,2024
845,Financial and investment analysts,1.0,25.1,2024
850,Personal financial advisors,1.0,25.1,2024
860,Insurance underwriters,1.0,25.1,2024
900,Financial examiners,1.0,25.1,2024
910,Credit counselors and loan officers,1.0,25.1,2024
930,"Tax examiners and collectors, and revenue agents",0.0,25.1,2024
940,Tax preparers,1.0,25.1,2024
960,Other financial specialists,0.979228993267757,25.1,2024
1005,Computer and information research scientists,1.0,25.1,2024
1006,Computer systems analysts,1.0,25.1,2024
1007,Information security analysts,1.0,25.1,2024
1010,Computer programmers,1.0,25.1,2024
1021,Software developers,1.0,25.1,2024
1022,Software quality assurance analysts and testers,1.0,25.1,2024
1031,Web developers,1.0,25.1,2024
1032,Web and digital interface designers,1.0,25.1,2024
1050,Computer support specialists,1.0,25.1,2024
1065,Database administrators and architects,1.0,25.1,2024
1105,Network and computer systems administrators,1.0,25.1,2024
1106,Computer network architects,1.0,25.1,2024
1108,"Computer occupations, all other",0.8,25.1,2024
1200,Actuaries,1.0,25.1,2024
1210,Mathematicians,1.0,25.1,2024
1220,Operations research analysts,1.0,25.1,2024
1230,Statisticians,1.0,25.1,2024
1240,Other mathematical science occupations,1.0,25.1,2024
1305,"Architects, except landscape and naval",1.0,25.1,2024
1306,Landscape architects,1.0,25.1,2024
1310,"Surveyors, cartographers, and photogrammetrists",0.4029148322453317,25.1,2024
1320,Aerospace engineers,1.0,25.1,2024
1330,Agricultural engineers,1.0,25.1,2024
1340,Bioengineers and biomedical engineers,1.0,25.1,2024
1350,Chemical engineers,1.0,25.1,2024
1360,Civil engineers,1.0,25.1,2024
1400,Computer hardware engineers,1.0,25.1,2024
1410,Electrical and electronics engineers,1.0,25.1,2024
1420,Environmental engineers,1.0,25.1,2024
1430,"Industrial engineers, including health and safety ",1.0,25.1,2024
1440,Marine engineers and naval architects,1.0,25.1,2024
1450,Materials engineers,1.0,25.1,2024
1460,Mechanical engineers,1.0,25.1,2024
1500,"Mining and geological engineers, including mining safety engineers",1.0,25.1,2024
1510,Nuclear engineers,1.0,25.1,2024
1520,Petroleum engineers,1.0,25.1,2024
1530,"Engineers, all other",1.0,25.1,2024
1541,Architectural and civil drafters,1.0,25.1,2024
1545,Other drafters,1.0,25.1,2024
1551,Electrical and electronic engineering technologists and technicians,1.0,25.1,2024
1555,"Other engineering technologists and technicians, except drafters",0.5078886310904872,25.1,2024
1560,Surveying and mapping technicians,1.0,25.1,2024
1600,Agricultural and food scientists,1.0,25.1,2024
1610,Biological scientists,1.0,25.1,2024
1640,Conservation scientists and foresters,0.0,25.1,2024
1650,Medical scientists,1.0,25.1,2024
1660,"Life scientists, all other",0.904069688308153,25.1,2024
