census_code,occupation_title,ai_exposure,onet_version,oews_year
10,Chief executives,0.32007000827898735,14.0,2006
20,General and operations managers,0.3488845373802364,14.0,2006
30,Legislators,0.33447727282961187,14.0,2006
40,Advertising and promotions managers,0.34724976741838004,14.0,2006
50,Marketing and sales managers,0.33165091929962714,14.0,2006
60,Public relations managers,0.34143155694879834,14.0,2006
100,Administrative services managers,0.3663841101743062,14.0,2006
110,Computer and information systems managers,0.3402784954014674,14.0,2006
120,Financial managers,0.3606634840063838,14.0,2006
130,Human resources managers,0.3270259152612094,14.0,2006
140,Industrial production managers,0.3323686038434823,14.0,2006
150,Purchasing managers,0.3390862211964949,14.0,2006
160,"Transportation, storage, and distribution managers",0.3422542437352166,14.0,2006
200,"Farm, ranch, and other agricultural managers",0.34447057253688435,14.0,2006
210,Farmers and ranchers,0.36261268143621084,14.0,2006
220,Construction managers,0.3602657955408201,14.0,2006
230,Education administrators,0.34046084129728205,14.0,2006
300,Engineering managers,0.34973845029135997,14.0,2006
310,Food service managers,0.3265562199784335,14.0,2006
320,Funeral directors,0.33847960586617776,14.0,2006
330,Gaming managers,0.34098127035830617,14.0,2006
340,Lodging managers,0.36289629330296463,14.0,2006
350,Medical and health services managers,0.33282094616279945,14.0,2006
360,Natural sciences managers,0.3728373634176167,14.0,2006
400,Postmasters and mail superintendents,0.3539747870135851,14.0,2006
410,"Property, real estate, and community association managers",0.3567227092782844,14.0,2006
420,Social and community service managers,0.3411288480572545,14.0,2006
430,"Managers, all other",0.34453909339823546,14.0,2006
500,"Agents and business managers of artists, performers, and athletes",0.3442505544603253,14.0,2006
510,"Purchasing agents and buyers, farm products",0.36021206765968194,14.0,2006
520,"Wholesale and retail buyers, except farm products",0.3395449097809442,14.0,2006
530,"Purchasing agents, except wholesale, retail, and farm products",0.3613967806931472,14.0,2006
540,"Claims adjusters, appraisers, examiners, and investigators",0.3689538095669622,14.0,2006
560,"Compliance officers, except agriculture, construction, health and safety, and transportation",0.3617801637340394,14.0,2006
600,Cost estimators,0.3587241078399853,14.0,2006
620,"Human resources, training, and labor relations specialists",0.3501582282840245,14.0,2006
700,Logisticians,0.36358635449085547,14.0,2006
710,Management analysts,0.3635055740214456,14.0,2006
720,Meeting and convention planners,0.34127219949258303,14.0,2006
730,Other business operations specialists,0.35974599293292425,14.0,2006
800,Accountants and auditors,0.3706160546288816,14.0,2006
810,Appraisers and assessors of real estate,0.3866903990714228,14.0,2006
820,Budget analysts,0.38527357139757884,14.0,2006
830,Credit analysts,0.3641391240531544,14.0,2006
840,Financial analysts,0.36689587426326126,14.0,2006
850,Personal financial advisors,0.38026826944220476,14.0,2006
860,Insurance underwriters,0.3784351894261597,14.0,2006
900,Financial examiners,0.3633007631207885,14.0,2006
910,Loan counselors and officers,0.38017678520673603,14.0,2006
930,"Tax examiners, collectors, and revenue agents",0.3787441757266474,14.0,2006
940,Tax preparers,0.38662808486830025,14.0,2006
950,"Financial specialists, all other",0.37677875636765595,14.0,2006
1000,Computer scientists and systems analysts,0.3659500773136061,14.0,2006
1010,Computer programmers,0.3745012808268697,14.0,2006
1020,Computer software engineers,0.3697595964249569,14.0,2006
1040,Computer support specialists,0.35671341201557843,14.0,2006
1060,Database administrators,0.3781531382415254,14.0,2006
1100,Network and computer systems administrators,0.36750423263635046,14.0,2006
1110,Network systems and data communications analysts,0.3602623200114051,14.0,2006
1200,Actuaries,0.36464895605863035,14.0,2006
1210,Mathematicians,0.3654173532276712,14.0,2006
1220,Operations research analysts,0.36741329479768786,14.0,2006
1230,Statisticians,0.3817381915459366,14.0,2006
1240,Miscellaneous mathematical science occupations,0.41003433608363654,14.0,2006
1300,"Architects, except naval",0.36933308890320765,14.0,2006
