census_code,occupation_title,job_zone,onet_version,oews_year
10,Chief executives,5.0,25.1,2024
20,General and operations managers,4.0,25.1,2024
30,Legislators,4.0,25.1,2024
40,Advertising and promotions managers,4.0,25.1,2024
51,Marketing managers,4.0,25.1,2024
52,Sales managers,4.0,25.1,2024
60,Public relations and fundraising managers,4.0,25.1,2024
101,Administrative services managers,3.0,25.1,2024
102,Facilities managers,3.0,25.1,2024
110,Computer and information systems managers,4.0,25.1,2024
120,Financial managers,4.333333333333333,25.1,2024
135,Compensation and benefits managers,4.0,25.1,2024
136,Human resources managers,4.0,25.1,2024
137,Training and development managers,4.0,25.1,2024
140,Industrial production managers,3.6666666666666665,25.1,2024
150,Purchasing managers,4.0,25.1,2024
160,"Transportation, storage, and distribution managers",4.0,25.1,2024
205,"Farmers, ranchers, and other agricultural managers",4.0,25.1,2024
220,Construction managers,4.0,25.1,2024
230,Education and childcare administrators ,4.873835150703754,25.1,2024
300,Architectural and engineering managers,4.5,25.1,2024
310,Food service managers,2.0,25.1,2024
325,Funeral home managers,3.0,25.1,2024
335,Entertainment and recreation managers,3.0,25.1,2024
340,Lodging managers,4.0,25.1,2024
350,Medical and health services managers,5.0,25.1,2024
360,Natural sciences managers,4.333333333333333,25.1,2024
400,Postmasters and mail superintendents,2.0,25.1,2024
410,"Property, real estate, and community association managers",4.0,25.1,2024
420,Social and community service managers,4.0,25.1,2024
425,Emergency management directors,4.0,25.1,2024
426,"Personal service managers, all other",3.5,25.1,2024
440,"Managers, all other",4.0,25.1,2024
500,"Agents and business managers of artists, performers, and athletes",4.0,25.1,2024
510,"Buyers and purchasing agents, farm products",4.0,25.1,2024
520,"Wholesale and retail buyers, except farm products",3.0,25.1,2024
530,"Purchasing agents, except wholesale, retail, and farm products",4.0,25.1,2024
540,"Claims adjusters, appraisers, examiners, and investigators",3.975096704069563,25.1,2024
565,Compliance officers,3.4285714285714284,25.1,2024
600,Cost estimators,4.0,25.1,2024
630,Human resources workers,3.9991653604217983,25.1,2024
640,"Compensation, benefits, and job analysis specialists",4.0,25.1,2024
650,Training and development specialists,4.0,25.1,2024
700,Logisticians,4.0,25.1,2024
705,Project management specialists,4.0,25.1,2024
710,Management analysts,5.0,25.1,2024
725,"Meeting, convention, and event planners",4.0,25.1,2024
726,Fundraisers,4.0,25.1,2024
735,Market research analysts and marketing specialists,4.0,25.1,2024
750,"Business operations specialists, all other",4.0,25.1,2024
800,Accountants and auditors,4.0,25.1,2024
810,Property appraisers and assessors,4.0,25.1,2024
820,Budget analysts,4.0,25.1,2024
830,Credit analysts,4.0,25.1,2024
845,Financial and investment analysts,4.0,25.1,2024
850,Personal financial advisors,4.0,25.1,2024
860,Insurance underwriters,4.0,25.1,2024
900,Financial examiners,4.0,25.1,2024
910,Credit counselors and loan officers,4.0,25.1,2024
930,"Tax examiners and collectors, and revenue agents",3.0,25.1,2024
940,Tax preparers,3.0,25.1,2024
960,Other financial specialists,3.9754088819044293,25.1,2024
1005,Computer and information research scientists,5.0,25.1,2024
1006,Computer systems analysts,4.0,25.1,2024
1007,Information security analysts,4.0,25.1,2024
1010,Computer programmers,4.0,25.1,2024
1021,Software developers,3.842257916108255,25.1,2024
1022,Software quality assurance analysts and testers,4.0,25.1,2024
1031,Web developers,3.0,25.1,2024
1032,Web and digital interface designers,4.0,25.1,2024
1050,Computer support specialists,3.1735888865182655,25.1,2024
1065,Database administrators and architects,3.8602986441052516,25.1,2024
1105,Network and computer systems administrators,4.0,25.1,2024
1106,Computer network architects,3.5,25.1,2024
1108,"Computer occupations, all other",4.0,25.1,2024
1200,Actuaries,4.0,25.1,2024
1210,Mathematicians,5.0,25.1,2024
1220,Operations research analysts,5.0,25.1,2024
1230,Statisticians,5.0,25.1,2024
1240,Other mathematical science occupations,4.344099256560485,25.1,2024
1305,"Architects, except landscape and naval",4.0,25.1,2024
1306,Landscape architects,4.0,25.1,2024
1310,"Surveyors, cartographers, and photogrammetrists",4.0,25.1,2024
1320,Aerospace engineers,4.0,25.1,2024
1330,Agricultural engineers,4.0,25.1,2024
1340,Bioengineers and biomedical engineers,4.0,25.1,2024
1350,Chemical engineers,4.0,25.1,2024
1360,Civil engineers,4.0,25.1,2024
1400,Computer hardware engineers,4.0,25.1,2024
1410,Electrical and electronics engineers,4.0,25.1,2024
1420,Environmental engineers,4.0,25.1,2024
1430,"Industrial engineers, including health and safety ",4.2344557504351314,25.1,2024
1440,Marine engineers and naval architects,4.0,25.1,2024
1450,Materials engineers,4.0,25.1,2024
1460,Mechanical engineers,4.333333333333333,25.1,2024
1500,"Mining and geological engineers, including mining safety engineers",4.0,25.1,2024
1510,Nuclear engineers,4.0,25.1,2024
1520,Petroleum engineers,4.0,25.1,2024
1530,"Engineers, all other",4.25,25.1,2024
1541,Architectural and civil drafters,3.0,25.1,2024
1545,Other drafters,3.0,25.1,2024
1551,Electrical and electronic engineering technologists and technicians,3.0,25.1,2024
1555,"Other engineering technologists and technicians, except drafters",3.046403712296984,25.1,2024
1560,Surveying and mapping technicians,3.0,25.1,2024
1600,Agricultural and food scientists,4.570275119617225,25.1,2024
1610,Biological scientists,5.0,25.1,2024
1640,Conservation scientists and foresters,4.0,25.1,2024
1650,Medical scientists,5.0,25.1,2024
1660,"Life scientists, all other",4.864951680958214,25.1,2024
1700,Astronomers and physicists,5.0,25.1,2024
1710,Atmospheric and space scientists,4.0,25.1,2024
1720,Chemists and materials scientists,4.090958724612361,25.1,2024
1745,"Environmental scientists and specialists, including health",4.75,25.1,2024
1750,"Geoscientists and hydrologists, except geographers",4.812367444326617,25.1,2024
1760,"Physical scientists, all other",5.0,25.1,2024
1800,Economists,5.0,25.1,2024
1815,Survey researchers,5.0,25.1,2024
1821,Clinical and counseling psychologists,5.0,25.1,2024
1822,School psychologists,5.0,25.1,2024
1825,Other psychologists,5.0,25.1,2024
1830,Sociologists,5.0,25.1,2024
1840,Urban and regional planners,5.0,25.1,2024
1860,Miscellaneous social scientists and related workers,4.333993874977481,25.1,2024
1900,Agricultural and food science technicians,3.251226348983882,25.1,2024
1910,Biological technicians,4.0,25.1,2024
1920,Chemical technicians,3.0,25.1,2024
1935,Environmental  science and geoscience technicians,4.0,25.1,2024
1940,Nuclear technicians,3.0,25.1,2024
1950,Social science research assistants,4.0,25.1,2024
1970,"Other life, physical, and social science technicians",3.5955499149407286,25.1,2024
1980,Occupational health and safety specialists and technicians,3.8032899674756067,25.1,2024
2001,Substance abuse and behavioral disorder counselors,5.0,25.1,2024
2002,"Educational, guidance, and career counselors and advisors",5.0,25.1,2024
2003,Marriage and family therapists,5.0,25.1,2024
2004,Mental health counselors,5.0,25.1,2024
2005,Rehabilitation counselors,4.0,25.1,2024
2006,"Counselors, all other",4.821120386201348,25.1,2024
2011,"Child, family, and school social workers",4.0,25.1,2024
2012,Healthcare social workers,5.0,25.1,2024
2013,Mental health and substance abuse social workers,5.0,25.1,2024
2014,"Social workers, all other",4.448827737079202,25.1,2024
2015,Probation officers and correctional treatment specialists,4.0,25.1,2024
2016,Social and human service assistants,4.0,25.1,2024
2025,Other community and social service specialists,4.0,25.1,2024
2040,Clergy,5.0,25.1,2024
2050,"Directors, religious activities and education",4.0,25.1,2024
2060,"Religious workers, all other",4.730198642192607,25.1,2024
2100,Lawyers,5.0,25.1,2024
2105,Judicial law clerks,5.0,25.1,2024
2110,"Judges, magistrates, and other judicial workers",5.0,25.1,2024
2145,Paralegals and legal assistants,3.0,25.1,2024
2170,"Title examiners, abstractors, and searchers",2.0,25.1,2024
2180,"Legal support workers, all other",2.0,25.1,2024
2205,Postsecondary teachers,5.0,25.1,2024
2300,Preschool and kindergarten teachers,3.204489803213641,25.1,2024
2310,Elementary and middle school teachers,4.0,25.1,2024
2320,Secondary school teachers,4.0,25.1,2024
2330,Special education teachers,4.207424921697476,25.1,2024
2350,Tutors,4.0,25.1,2024
2360,Other teachers and instructors,3.4060526721084243,25.1,2024
2400,"Archivists, curators, and museum technicians",4.5966049382716045,25.1,2024
2435,Librarians and media collections specialists,5.0,25.1,2024
2440,Library technicians,3.0,25.1,2024
