census_code,occupation_title,job_zone,onet_version,oews_year
10,Chief executives,5.0,14.0,2009
20,General and operations managers,3.0,14.0,2009
30,Legislators,4.0,14.0,2009
40,Advertising and promotions managers,4.0,14.0,2009
50,Marketing and sales managers,4.0,14.0,2009
60,Public relations managers,4.0,14.0,2009
100,Administrative services managers,3.0,14.0,2009
110,Computer and information systems managers,4.0,14.0,2009
120,Financial managers,4.5,14.0,2009
130,Human resources managers,4.0,14.0,2009
140,Industrial production managers,3.0,14.0,2009
150,Purchasing managers,4.0,14.0,2009
160,"Transportation, storage, and distribution managers",4.0,14.0,2009
200,"Farm, ranch, and other agricultural managers",3.6666666666666665,14.0,2009
210,Farmers and ranchers,3.0,14.0,2009
220,Construction managers,4.0,14.0,2009
230,Education administrators,4.8641050170068025,14.0,2009
300,Engineering managers,5.0,14.0,2009
310,Food service managers,3.0,14.0,2009
320,Funeral directors,3.0,14.0,2009
330,Gaming managers,3.0,14.0,2009
340,Lodging managers,3.0,14.0,2009
350,Medical and health services managers,5.0,14.0,2009
360,Natural sciences managers,5.0,14.0,2009
400,Postmasters and mail superintendents,3.0,14.0,2009
410,"Property, real estate, and community association managers",3.0,14.0,2009
420,Social and community service managers,4.0,14.0,2009
430,"Managers, all other",4.0,14.0,2009
500,"Agents and business managers of artists, performers, and athletes",4.0,14.0,2009
510,"Purchasing agents and buyers, farm products",3.0,14.0,2009
520,"Wholesale and retail buyers, except farm products",3.0,14.0,2009
530,"Purchasing agents, except wholesale, retail, and farm products",3.0,14.0,2009
540,"Claims adjusters, appraisers, examiners, and investigators",3.0,14.0,2009
560,"Compliance officers, except agriculture, construction, health and safety, and transportation",3.6666666666666665,14.0,2009
600,Cost estimators,4.0,14.0,2009
620,"Human resources, training, and labor relations specialists",4.0,14.0,2009
700,Logisticians,4.0,14.0,2009
710,Management analysts,4.0,14.0,2009
720,Meeting and convention planners,4.0,14.0,2009
730,Other business operations specialists,3.368307176596069,14.0,2009
800,Accountants and auditors,4.0,14.0,2009
810,Appraisers and assessors of real estate,3.5,14.0,2009
820,Budget analysts,4.0,14.0,2009
830,Credit analysts,4.0,14.0,2009
840,Financial analysts,4.0,14.0,2009
850,Personal financial advisors,4.0,14.0,2009
860,Insurance underwriters,4.0,14.0,2009
900,Financial examiners,4.0,14.0,2009
910,Loan counselors and officers,3.0924032140248356,14.0,2009
930,"Tax examiners, collectors, and revenue agents",3.0,14.0,2009
940,Tax preparers,3.0,14.0,2009
950,"Financial specialists, all other",3.796735623876177,14.0,2009
1000,Computer scientists and systems analysts,3.7479436000579724,14.0,2009
1010,Computer programmers,4.0,14.0,2009
1020,Computer software engineers,4.0,14.0,2009
1040,Computer support specialists,3.0,14.0,2009
1060,Database administrators,4.0,14.0,2009
1100,Network and computer systems administrators,4.0,14.0,2009
1110,Network systems and data communications analysts,3.0,14.0,2009
1200,Actuaries,4.0,14.0,2009
1210,Mathematicians,5.0,14.0,2009
1220,Operations research analysts,5.0,14.0,2009
1230,Statisticians,5.0,14.0,2009
1240,Miscellaneous mathematical science occupations,4.0,14.0,2009
1300,"Architects, except naval",4.842912830720743,14.0,2009
1310,"Surveyors, cartographers, and photogrammetrists",3.810819513765899,14.0,2009
1320,Aerospace engineers,4.0,14.0,2009
1330,Agricultural engineers,4.0,14.0,2009
1340,Biomedical engineers,4.0,14.0,2009
1350,Chemical engineers,4.0,14.0,2009
1360,Civil engineers,4.0,14.0,2009
1400,Computer hardware engineers,4.0,14.0,2009
1410,Electrical and electronic engineers,4.0,14.0,2009
1420,Environmental engineers,4.0,14.0,2009
1430,"Industrial engineers, including health and safety",4.0,14.0,2009
1440,Marine engineers and naval architects,4.0,14.0,2009
1450,Materials engineers,4.0,14.0,2009
1460,Mechanical engineers,4.0,14.0,2009
1500,"Mining and geological engineers, including mining safety engineers",4.0,14.0,2009
1510,Nuclear engineers,4.0,14.0,2009
1520,Petroleum engineers,4.0,14.0,2009
1530,"Engineers, all other",4.0,14.0,2009
1540,Drafters,3.0,14.0,2009
1550,"Engineering technicians, except drafters",3.0925260314555834,14.0,2009
1560,Surveying and mapping technicians,3.0,14.0,2009
1600,Agricultural and food scientists,5.0,14.0,2009
1610,Biological scientists,5.0,14.0,2009
1640,Conservation scientists and foresters,4.0,14.0,2009
1650,Medical scientists,5.0,14.0,2009
1700,Astronomers and physicists,5.0,14.0,2009
1710,Atmospheric and space scientists,4.0,14.0,2009
1720,Chemists and materials scientists,4.100011262529564,14.0,2009
1740,Environmental scientists and geoscientists,4.05834829443447,14.0,2009
1760,"Physical scientists, all other",5.0,14.0,2009
1800,Economists,5.0,14.0,2009
1810,Market and survey researchers,4.0,14.0,2009
1820,Psychologists,5.0,14.0,2009
1830,Sociologists,5.0,14.0,2009
1840,Urban and regional planners,5.0,14.0,2009
1860,Miscellaneous social scientists and related workers,5.0,14.0,2009
1900,Agricultural and food science technicians,3.0,14.0,2009
1910,Biological technicians,4.0,14.0,2009
1920,Chemical technicians,3.0,14.0,2009
1930,Geological and petroleum technicians,3.5,14.0,2009
1940,Nuclear technicians,3.0,14.0,2009
1960,"Other life, physical, and social science technicians",3.4400119527864934,14.0,2009
2000,Counselors,4.804214878904757,14.0,2009
2010,Social workers,4.48419155892406,14.0,2009
2020,Miscellaneous community and social service specialists,3.312285120332614,14.0,2009
2040,Clergy,5.0,14.0,2009
2050,"Directors, religious activities and education",4.0,14.0,2009
2060,"Religious workers, all other",4.739130434782608,14.0,2009
2100,Lawyers,5.0,14.0,2009
2110,"Judges, magistrates, and other judicial workers",4.829621848739496,14.0,2009
2140,Paralegals and legal assistants,3.0,14.0,2009
2150,Miscellaneous legal support workers,3.3014875727617112,14.0,2009
2200,Postsecondary teachers,5.0,14.0,2009
2300,Preschool and kindergarten teachers,3.3181444345284965,14.0,2009
2310,Elementary and middle school teachers,4.0,14.0,2009
2320,Secondary school teachers,4.0,14.0,2009
2330,Special education teachers,4.0,14.0,2009
2340,Other teachers and instructors,3.296541861674467,14.0,2009
2400,"Archivists, curators, and museum technicians",3.6008634222919937,14.0,2009
2430,Librarians,5.0,14.0,2009
2440,Library technicians,4.0,14.0,2009
2540,Teacher assistants,3.0,14.0,2009
2550,"Other education, training, and library workers",3.1992347443029394,14.0,2009
2600,Artists and related workers,3.7369547765587368,14.0,2009
2630,Designers,3.4151071463201785,14.0,2009
2700,Actors,2.0,14.0,2009
2710,Producers and directors,3.8,14.0,2009
2720,"Athletes, coaches, umpires, and related workers",4.661178051941818,14.0,2009
2740,Dancers and choreographers,3.578740157480315,14.0,2009
2750,"Musicians, singers, and related workers",2.7326676408507873,14.0,2009
2760,"Entertainers and performers, sports and related workers, all other",3.8873602274918064,14.0,2009
2800,Announcers,2.828342372082056,14.0,2009
2810,"News analysts, reporters and correspondents",4.0,14.0,2009
2820,Public relations specialists,4.0,14.0,2009
2830,Editors,4.0,14.0,2009
2840,Technical writers,4.0,14.0,2009
2850,Writers and authors,4.0,14.0,2009
2860,Miscellaneous media and communication workers,4.0,14.0,2009
2900,Broadcast and sound engineering technicians and radio operators,3.0,14.0,2009
2910,Photographers,3.0,14.0,2009
2920,"Television, video, and motion picture camera operators and editors",3.0,14.0,2009
2960,"Media and communication equipment workers, all other",3.0,14.0,2009
3000,Chiropractors,5.0,14.0,2009
3010,Dentists,5.0,14.0,2009
3030,Dietitians and nutritionists,5.0,14.0,2009
3040,Optometrists,5.0,14.0,2009
3050,Pharmacists,5.0,14.0,2009
3060,Physicians and surgeons,5.0,14.0,2009
3110,Physician assistants,5.0,14.0,2009
3120,Podiatrists,5.0,14.0,2009
3130,Registered nurses,3.0,14.0,2009
3140,Audiologists,5.0,14.0,2009
3150,Occupational therapists,5.0,14.0,2009
3160,Physical therapists,5.0,14.0,2009
3200,Radiation therapists,3.0,14.0,2009
3210,Recreational therapists,4.0,14.0,2009
3220,Respiratory therapists,3.0,14.0,2009
3230,Speech-language pathologists,5.0,14.0,2009
3240,"Therapists, all other",4.505615486921826,14.0,2009
3250,Veterinarians,5.0,14.0,2009
3260,"Health diagnosing and treating practitioners, all other",5.0,14.0,2009
3300,Clinical laboratory technologists and technicians,3.522613380105237,14.0,2009
3310,Dental hygienists,3.0,14.0,2009
3320,Diagnostic related technologists and technicians,3.0,14.0,2009
3400,Emergency medical technicians and paramedics,3.0,14.0,2009
3410,Health diagnosing and treating practitioner support technicians,2.959995429914474,14.0,2009
3500,Licensed practical and licensed vocational nurses,3.0,14.0,2009
3510,Medical records and health information technicians,2.0,14.0,2009
3520,"Opticians, dispensing",3.0,14.0,2009
3530,Miscellaneous health technologists and technicians,5.0,14.0,2009
3540,Other healthcare practitioners and technical occupations,4.067245400362788,14.0,2009
3600,"Nursing, psychiatric, and home health aides",2.0,14.0,2009
3610,Occupational therapist assistants and aides,2.7684331797235022,14.0,2009
3620,Physical therapist assistants and aides,2.59077008618293,14.0,2009
3630,Massage therapists,3.0,14.0,2009
3640,Dental assistants,3.0,14.0,2009
3650,Medical assistants and other healthcare support occupations,2.8364559873496575,14.0,2009
3700,First-line supervisors/managers of correctional officers,3.0,14.0,2009
3710,First-line supervisors/managers of police and detectives,3.0,14.0,2009
3720,First-line supervisors/managers of fire fighting and prevention workers,3.0,14.0,2009
3730,"Supervisors, protective service workers, all other",3.0,14.0,2009
3740,Fire fighters,2.5,14.0,2009
3750,Fire inspectors,3.0,14.0,2009
3800,"Bailiffs, correctional officers, and jailers",2.963724099980952,14.0,2009
3820,Detectives and criminal investigators,3.5,14.0,2009
3830,Fish and game wardens,4.0,14.0,2009
3840,Parking enforcement workers,2.0,14.0,2009
3850,Police and sheriff's patrol officers,3.0,14.0,2009
3860,Transit and railroad police,3.0,14.0,2009
3900,Animal control workers,2.0,14.0,2009
3910,Private detectives and investigators,3.0,14.0,2009
3920,Security guards and gaming surveillance officers,2.0,14.0,2009
3940,Crossing guards,1.0,14.0,2009
3950,Lifeguards and other protective service workers,1.3231001139747784,14.0,2009
4000,Chefs and head cooks,3.0,14.0,2009
4010,First-line supervisors/managers of food preparation and serving workers,2.0,14.0,2009
4020,Cooks,1.6455684109433375,14.0,2009
4030,Food preparation workers,1.0,14.0,2009
4040,Bartenders,2.0,14.0,2009
4050,"Combined food preparation and serving workers, including fast food",1.0,14.0,2009
4060,"Counter attendants, cafeteria, food concession, and coffee shop",1.0,14.0,2009
4110,Waiters and waitresses,1.0,14.0,2009
4120,"Food servers, nonrestaurant",1.0,14.0,2009
4130,Dining room and cafeteria attendants and bartender helpers,1.0,14.0,2009
4140,Dishwashers,1.0,14.0,2009
4150,"Hosts and hostesses, restaurant, lounge, and coffee shop",1.0,14.0,2009
4160,"Food preparation and serving related workers, all other",1.0,14.0,2009
4200,First-line supervisors/managers of housekeeping and janitorial workers,3.0,14.0,2009
4210,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",2.0,14.0,2009
4220,Janitors and building cleaners,1.0,14.0,2009
4230,Maids and housekeeping cleaners,1.0,14.0,2009
4240,Pest control workers,2.0,14.0,2009
4250,Grounds maintenance workers,1.0921395389224156,14.0,2009
