census_code,occupation_title,job_zone,onet_version,oews_year
10,Chief executives,5.0,25.1,2023
20,General and operations managers,4.0,25.1,2023
30,Legislators,4.0,25.1,2023
40,Advertising and promotions managers,4.0,25.1,2023
51,Marketing managers,4.0,25.1,2023
52,Sales managers,4.0,25.1,2023
60,Public relations and fundraising managers,4.0,25.1,2023
101,Administrative services managers,3.0,25.1,2023
102,Facilities managers,3.0,25.1,2023
110,Computer and information systems managers,4.0,25.1,2023
120,Financial managers,4.333333333333333,25.1,2023
135,Compensation and benefits managers,4.0,25.1,2023
136,Human resources managers,4.0,25.1,2023
137,Training and development managers,4.0,25.1,2023
140,Industrial production managers,3.6666666666666665,25.1,2023
150,Purchasing managers,4.0,25.1,2023
160,"Transportation, storage, and distribution managers",4.0,25.1,2023
205,"Farmers, ranchers, and other agricultural managers",4.0,25.1,2023
220,Construction managers,4.0,25.1,2023
230,Education and childcare administrators ,4.879967786642694,25.1,2023
300,Architectural and engineering managers,4.5,25.1,2023
310,Food service managers,2.0,25.1,2023
325,Funeral home managers,3.0,25.1,2023
335,Entertainment and recreation managers,3.0,25.1,2023
340,Lodging managers,4.0,25.1,2023
350,Medical and health services managers,5.0,25.1,2023
360,Natural sciences managers,4.333333333333333,25.1,2023
400,Postmasters and mail superintendents,2.0,25.1,2023
410,"Property, real estate, and community association managers",4.0,25.1,2023
420,Social and community service managers,4.0,25.1,2023
425,Emergency management directors,4.0,25.1,2023
426,"Personal service managers, all other",3.5,25.1,2023
440,"Managers, all other",4.0,25.1,2023
500,"Agents and business managers of artists, performers, and athletes",4.0,25.1,2023
510,"Buyers and purchasing agents, farm products",4.0,25.1,2023
520,"Wholesale and retail buyers, except farm products",3.0,25.1,2023
530,"Purchasing agents, except wholesale, retail, and farm products",4.0,25.1,2023
540,"Claims adjusters, appraisers, examiners, and investigators",3.9713341048107127,25.1,2023
565,Compliance officers,3.4285714285714284,25.1,2023
600,Cost estimators,4.0,25.1,2023
630,Human resources workers,3.9990408973864455,25.1,2023
640,"Compensation, benefits, and job analysis specialists",4.0,25.1,2023
650,Training and development specialists,4.0,25.1,2023
700,Logisticians,4.0,25.1,2023
705,Project management specialists,4.0,25.1,2023
710,Management analysts,5.0,25.1,2023
725,"Meeting, convention, and event planners",4.0,25.1,2023
726,Fundraisers,4.0,25.1,2023
735,Market research analysts and marketing specialists,4.0,25.1,2023
750,"Business operations specialists, all other",4.0,25.1,2023
800,Accountants and auditors,4.0,25.1,2023
810,Property appraisers and assessors,4.0,25.1,2023
820,Budget analysts,4.0,25.1,2023
830,Credit analysts,4.0,25.1,2023
845,Financial and investment analysts,4.0,25.1,2023
850,Personal financial advisors,4.0,25.1,2023
860,Insurance underwriters,4.0,25.1,2023
900,Financial examiners,4.0,25.1,2023
910,Credit counselors and loan officers,4.0,25.1,2023
930,"Tax examiners and collectors, and revenue agents",3.0,25.1,2023
940,Tax preparers,3.0,25.1,2023
960,Other financial specialists,3.9728386647104807,25.1,2023
1005,Computer and information research scientists,5.0,25.1,2023
1006,Computer systems analysts,4.0,25.1,2023
1007,Information security analysts,4.0,25.1,2023
1010,Computer programmers,4.0,25.1,2023
1021,Software developers,3.8358085491131546,25.1,2023
1022,Software quality assurance analysts and testers,4.0,25.1,2023
1031,Web developers,3.0,25.1,2023
1032,Web and digital interface designers,4.0,25.1,2023
1050,Computer support specialists,3.1870771551825747,25.1,2023
1065,Database administrators and architects,3.8625193467892225,25.1,2023
1105,Network and computer systems administrators,4.0,25.1,2023
1106,Computer network architects,3.5,25.1,2023
1108,"Computer occupations, all other",4.0,25.1,2023
1200,Actuaries,4.0,25.1,2023
1210,Mathematicians,5.0,25.1,2023
1220,Operations research analysts,5.0,25.1,2023
1230,Statisticians,5.0,25.1,2023
1240,Other mathematical science occupations,4.402764729566501,25.1,2023
1305,"Architects, except landscape and naval",4.0,25.1,2023
1306,Landscape architects,4.0,25.1,2023
1310,"Surveyors, cartographers, and photogrammetrists",4.0,25.1,2023
1320,Aerospace engineers,4.0,25.1,2023
1330,Agricultural engineers,4.0,25.1,2023
1340,Bioengineers and biomedical engineers,4.0,25.1,2023
1350,Chemical engineers,4.0,25.1,2023
1360,Civil engineers,4.0,25.1,2023
1400,Computer hardware engineers,4.0,25.1,2023
1410,Electrical and electronics engineers,4.0,25.1,2023
1420,Environmental engineers,4.0,25.1,2023
1430,"Industrial engineers, including health and safety ",4.234164837638584,25.1,2023
1440,Marine engineers and naval architects,4.0,25.1,2023
1450,Materials engineers,4.0,25.1,2023
1460,Mechanical engineers,4.333333333333333,25.1,2023
1500,"Mining and geological engineers, including mining safety engineers",4.0,25.1,2023
1510,Nuclear engineers,4.0,25.1,2023
1520,Petroleum engineers,4.0,25.1,2023
1530,"Engineers, all other",4.25,25.1,2023
1541,Architectural and civil drafters,3.0,25.1,2023
1545,Other drafters,3.0,25.1,2023
1551,Electrical and electronic engineering technologists and technicians,3.0,25.1,2023
1555,"Other engineering technologists and technicians, except drafters",3.045366973687683,25.1,2023
1560,Surveying and mapping technicians,3.0,25.1,2023
1600,Agricultural and food scientists,4.564276885043263,25.1,2023
1610,Biological scientists,5.0,25.1,2023
1640,Conservation scientists and foresters,4.0,25.1,2023
1650,Medical scientists,5.0,25.1,2023
