census_code,occupation_title,job_zone,onet_version,oews_year
10,Chief executives,5.0,14.0,2006
20,General and operations managers,3.0,14.0,2006
30,Legislators,4.0,14.0,2006
40,Advertising and promotions managers,4.0,14.0,2006
50,Marketing and sales managers,4.0,14.0,2006
60,Public relations managers,4.0,14.0,2006
100,Administrative services managers,3.0,14.0,2006
110,Computer and information systems managers,4.0,14.0,2006
120,Financial managers,4.5,14.0,2006
130,Human resources managers,4.0,14.0,2006
140,Industrial production managers,3.0,14.0,2006
150,Purchasing managers,4.0,14.0,2006
160,"Transportation, storage, and distribution managers",4.0,14.0,2006
200,"Farm, ranch, and other agricultural managers",3.6666666666666665,14.0,2006
210,Farmers and ranchers,3.0,14.0,2006
220,Construction managers,4.0,14.0,2006
230,Education administrators,4.666666666666667,14.0,2006
300,Engineering managers,5.0,14.0,2006
310,Food service managers,3.0,14.0,2006
320,Funeral directors,3.0,14.0,2006
330,Gaming managers,3.0,14.0,2006
340,Lodging managers,3.0,14.0,2006
350,Medical and health services managers,5.0,14.0,2006
360,Natural sciences managers,5.0,14.0,2006
400,Postmasters and mail superintendents,3.0,14.0,2006
410,"Property, real estate, and community association managers",3.0,14.0,2006
420,Social and community service managers,4.0,14.0,2006
430,"Managers, all other",4.0,14.0,2006
500,"Agents and business managers of artists, performers, and athletes",4.0,14.0,2006
510,"Purchasing agents and buyers, farm products",3.0,14.0,2006
520,"Wholesale and retail buyers, except farm products",3.0,14.0,2006
530,"Purchasing agents, except wholesale, retail, and farm products",3.0,14.0,2006
540,"Claims adjusters, appraisers, examiners, and investigators",3.0,14.0,2006
560,"Compliance officers, except agriculture, construction, health and safety, and transportation",3.6666666666666665,14.0,2006
600,Cost estimators,4.0,14.0,2006
620,"Human resources, training, and labor relations specialists",4.0,14.0,2006
700,Logisticians,4.0,14.0,2006
710,Management analysts,4.0,14.0,2006
720,Meeting and convention planners,4.0,14.0,2006
730,Other business operations specialists,3.6666666666666665,14.0,2006
800,Accountants and auditors,4.0,14.0,2006
810,Appraisers and assessors of real estate,3.5,14.0,2006
820,Budget analysts,4.0,14.0,2006
830,Credit analysts,4.0,14.0,2006
840,Financial analysts,4.0,14.0,2006
850,Personal financial advisors,4.0,14.0,2006
860,Insurance underwriters,4.0,14.0,2006
900,Financial examiners,4.0,14.0,2006
910,Loan counselors and officers,3.5,14.0,2006
930,"Tax examiners, collectors, and revenue agents",3.0,14.0,2006
940,Tax preparers,3.0,14.0,2006
950,"Financial specialists, all other",3.7083333333333335,14.0,2006
1000,Computer scientists and systems analysts,3.8666666666666663,14.0,2006
1010,Computer programmers,4.0,14.0,2006
1020,Computer software engineers,4.0,14.0,2006
1040,Computer support specialists,3.0,14.0,2006
1060,Database administrators,4.0,14.0,2006
1100,Network and computer systems administrators,4.0,14.0,2006
1110,Network systems and data communications analysts,3.0,14.0,2006
1200,Actuaries,4.0,14.0,2006
1210,Mathematicians,5.0,14.0,2006
1220,Operations research analysts,5.0,14.0,2006
1230,Statisticians,5.0,14.0,2006
1240,Miscellaneous mathematical science occupations,4.0,14.0,2006
1300,"Architects, except naval",4.5,14.0,2006
1310,"Surveyors, cartographers, and photogrammetrists",3.5,14.0,2006
1320,Aerospace engineers,4.0,14.0,2006
1330,Agricultural engineers,4.0,14.0,2006
1340,Biomedical engineers,4.0,14.0,2006
1350,Chemical engineers,4.0,14.0,2006
1360,Civil engineers,4.0,14.0,2006
1400,Computer hardware engineers,4.0,14.0,2006
1410,Electrical and electronic engineers,4.0,14.0,2006
1420,Environmental engineers,4.0,14.0,2006
1430,"Industrial engineers, including health and safety",4.0,14.0,2006
1440,Marine engineers and naval architects,4.0,14.0,2006
1450,Materials engineers,4.0,14.0,2006
1460,Mechanical engineers,4.0,14.0,2006
1500,"Mining and geological engineers, including mining safety engineers",4.0,14.0,2006
1510,Nuclear engineers,4.0,14.0,2006
1520,Petroleum engineers,4.0,14.0,2006
1530,"Engineers, all other",4.0,14.0,2006
1540,Drafters,3.0,14.0,2006
1550,"Engineering technicians, except drafters",3.1875,14.0,2006
1560,Surveying and mapping technicians,3.0,14.0,2006
1600,Agricultural and food scientists,5.0,14.0,2006
1610,Biological scientists,5.0,14.0,2006
1640,Conservation scientists and foresters,4.0,14.0,2006
1650,Medical scientists,5.0,14.0,2006
1700,Astronomers and physicists,5.0,14.0,2006
1710,Atmospheric and space scientists,4.0,14.0,2006
1720,Chemists and materials scientists,4.5,14.0,2006
1740,Environmental scientists and geoscientists,4.333333333333333,14.0,2006
1760,"Physical scientists, all other",5.0,14.0,2006
1800,Economists,5.0,14.0,2006
1810,Market and survey researchers,4.0,14.0,2006
1820,Psychologists,5.0,14.0,2006
1830,Sociologists,5.0,14.0,2006
1840,Urban and regional planners,5.0,14.0,2006
1860,Miscellaneous social scientists and related workers,5.0,14.0,2006
1900,Agricultural and food science technicians,3.0,14.0,2006
1910,Biological technicians,4.0,14.0,2006
1920,Chemical technicians,3.0,14.0,2006
1930,Geological and petroleum technicians,3.5,14.0,2006
1940,Nuclear technicians,3.0,14.0,2006
1960,"Other life, physical, and social science technicians",3.45,14.0,2006
2000,Counselors,4.8,14.0,2006
2010,Social workers,4.666666666666667,14.0,2006
2020,Miscellaneous community and social service specialists,3.6666666666666665,14.0,2006
2040,Clergy,5.0,14.0,2006
2050,"Directors, religious activities and education",4.0,14.0,2006
2060,"Religious workers, all other",4.5,14.0,2006
2100,Lawyers,5.0,14.0,2006
2110,"Judges, magistrates, and other judicial workers",4.666666666666667,14.0,2006
2140,Paralegals and legal assistants,3.0,14.0,2006
2150,Miscellaneous legal support workers,3.3333333333333335,14.0,2006
2200,Postsecondary teachers,5.0,14.0,2006
2300,Preschool and kindergarten teachers,3.5,14.0,2006
2310,Elementary and middle school teachers,4.0,14.0,2006
2320,Secondary school teachers,4.0,14.0,2006
2330,Special education teachers,4.0,14.0,2006
2340,Other teachers and instructors,3.5,14.0,2006
2400,"Archivists, curators, and museum technicians",3.6666666666666665,14.0,2006
2430,Librarians,5.0,14.0,2006
2440,Library technicians,4.0,14.0,2006
2540,Teacher assistants,3.0,14.0,2006
2550,"Other education, training, and library workers",4.5,14.0,2006
2600,Artists and related workers,3.25,14.0,2006
2630,Designers,3.2857142857142856,14.0,2006
2700,Actors,2.0,14.0,2006
2710,Producers and directors,3.8,14.0,2006
2720,"Athletes, coaches, umpires, and related workers",3.3333333333333335,14.0,2006
2740,Dancers and choreographers,3.5,14.0,2006
2750,"Musicians, singers, and related workers",3.0,14.0,2006
2760,"Entertainers and performers, sports and related workers, all other",3.2,14.0,2006
2800,Announcers,2.5,14.0,2006
2810,"News analysts, reporters and correspondents",4.0,14.0,2006
2820,Public relations specialists,4.0,14.0,2006
2830,Editors,4.0,14.0,2006
2840,Technical writers,4.0,14.0,2006
2850,Writers and authors,4.0,14.0,2006
2860,Miscellaneous media and communication workers,4.0,14.0,2006
2900,Broadcast and sound engineering technicians and radio operators,3.0,14.0,2006
2910,Photographers,3.0,14.0,2006
2920,"Television, video, and motion picture camera operators and editors",3.0,14.0,2006
2960,"Media and communication equipment workers, all other",3.0,14.0,2006
3000,Chiropractors,5.0,14.0,2006
3010,Dentists,5.0,14.0,2006
3030,Dietitians and nutritionists,5.0,14.0,2006
3040,Optometrists,5.0,14.0,2006
3050,Pharmacists,5.0,14.0,2006
3060,Physicians and surgeons,5.0,14.0,2006
3110,Physician assistants,5.0,14.0,2006
3120,Podiatrists,5.0,14.0,2006
3130,Registered nurses,3.0,14.0,2006
3140,Audiologists,5.0,14.0,2006
3150,Occupational therapists,5.0,14.0,2006
3160,Physical therapists,5.0,14.0,2006
3200,Radiation therapists,3.0,14.0,2006
3210,Recreational therapists,4.0,14.0,2006
3220,Respiratory therapists,3.0,14.0,2006
3230,Speech-language pathologists,5.0,14.0,2006
3240,"Therapists, all other",4.285714285714286,14.0,2006
3250,Veterinarians,5.0,14.0,2006
3260,"Health diagnosing and treating practitioners, all other",5.0,14.0,2006
3300,Clinical laboratory technologists and technicians,3.5,14.0,2006
3310,Dental hygienists,3.0,14.0,2006
3320,Diagnostic related technologists and technicians,3.0,14.0,2006
3400,Emergency medical technicians and paramedics,3.0,14.0,2006
3410,Health diagnosing and treating practitioner support technicians,2.8333333333333335,14.0,2006
3500,Licensed practical and licensed vocational nurses,3.0,14.0,2006
3510,Medical records and health information technicians,2.0,14.0,2006
3520,"Opticians, dispensing",3.0,14.0,2006
3530,Miscellaneous health technologists and technicians,5.0,14.0,2006
3540,Other healthcare practitioners and technical occupations,4.0,14.0,2006
3600,"Nursing, psychiatric, and home health aides",2.0,14.0,2006
3610,Occupational therapist assistants and aides,2.5,14.0,2006
3620,Physical therapist assistants and aides,2.5,14.0,2006
3630,Massage therapists,3.0,14.0,2006
3640,Dental assistants,3.0,14.0,2006
3650,Medical assistants and other healthcare support occupations,2.5,14.0,2006
3700,First-line supervisors/managers of correctional officers,3.0,14.0,2006
3710,First-line supervisors/managers of police and detectives,3.0,14.0,2006
3720,First-line supervisors/managers of fire fighting and prevention workers,3.0,14.0,2006
3730,"Supervisors, protective service workers, all other",3.0,14.0,2006
3740,Fire fighters,2.5,14.0,2006
3750,Fire inspectors,3.0,14.0,2006
3800,"Bailiffs, correctional officers, and jailers",2.5,14.0,2006
3820,Detectives and criminal investigators,3.5,14.0,2006
3830,Fish and game wardens,4.0,14.0,2006
3840,Parking enforcement workers,2.0,14.0,2006
3850,Police and sheriff's patrol officers,3.0,14.0,2006
3860,Transit and railroad police,3.0,14.0,2006
3900,Animal control workers,2.0,14.0,2006
3910,Private detectives and investigators,3.0,14.0,2006
3920,Security guards and gaming surveillance officers,2.0,14.0,2006
3940,Crossing guards,1.0,14.0,2006
3950,Lifeguards and other protective service workers,1.3333333333333333,14.0,2006
4000,Chefs and head cooks,3.0,14.0,2006
