census_code,occupation_title,job_zone,onet_version,oews_year
10,Chief executives,5.0,20.1,2014
20,General and operations managers,4.0,20.1,2014
30,Legislators,4.0,20.1,2014
40,Advertising and promotions managers,4.0,20.1,2014
50,Marketing and sales managers,4.0,20.1,2014
60,Public relations and fundraising managers,4.0,20.1,2014
100,Administrative services managers,3.0,20.1,2014
110,Computer and information systems managers,4.0,20.1,2014
120,Financial managers,4.5,20.1,2014
135,Compensation and benefits managers,4.0,20.1,2014
136,Human resources managers,4.0,20.1,2014
137,Training and development managers,4.0,20.1,2014
140,Industrial production managers,3.75,20.1,2014
150,Purchasing managers,4.0,20.1,2014
160,"Transportation, storage, and distribution managers",4.0,20.1,2014
205,"Farmers, ranchers, and other agricultural managers",3.6666666666666665,20.1,2014
220,Construction managers,4.0,20.1,2014
230,Education administrators,4.8571978096574195,20.1,2014
300,Architectural and engineering managers,4.5,20.1,2014
310,Food service managers,3.0,20.1,2014
325,Funeral service managers,3.0,20.1,2014
330,Gaming managers,3.0,20.1,2014
340,Lodging managers,3.0,20.1,2014
350,Medical and health services managers,5.0,20.1,2014
360,Natural sciences managers,4.333333333333333,20.1,2014
400,Postmasters and mail superintendents,3.0,20.1,2014
410,"Property, real estate, and community association managers",4.0,20.1,2014
420,Social and community service managers,4.0,20.1,2014
425,Emergency management directors,4.0,20.1,2014
430,"Managers, all other",4.142857142857143,20.1,2014
500,"Agents and business managers of artists, performers, and athletes",4.0,20.1,2014
510,"Buyers and purchasing agents, farm products",4.0,20.1,2014
520,"Wholesale and retail buyers, except farm products",3.0,20.1,2014
530,"Purchasing agents, except wholesale, retail, and farm products",4.0,20.1,2014
540,"Claims adjusters, appraisers, examiners, and investigators",3.475550951887702,20.1,2014
565,Compliance officers,3.5,20.1,2014
600,Cost estimators,4.0,20.1,2014
630,Human resources workers,3.996461165952691,20.1,2014
640,"Compensation, benefits, and job analysis specialists",4.0,20.1,2014
650,Training and development specialists,4.0,20.1,2014
700,Logisticians,4.0,20.1,2014
710,Management analysts,4.0,20.1,2014
725,"Meeting, convention, and event planners",4.0,20.1,2014
726,Fundraisers,4.0,20.1,2014
735,Market research analysts and marketing specialists,4.0,20.1,2014
740,"Business operations specialists, all other",3.6666666666666665,20.1,2014
800,Accountants and auditors,4.0,20.1,2014
