census_code,occupation_title,telework,onet_version,oews_year
10,Chief executives,0.5,20.1,2017
20,General and operations managers,1.0,20.1,2017
30,Legislators,0.9566208160636734,20.1,2017
40,Advertising and promotions managers,1.0,20.1,2017
50,Marketing and sales managers,1.0,20.1,2017
60,Public relations and fundraising managers,1.0,20.1,2017
100,Administrative services managers,1.0,20.1,2017
110,Computer and information systems managers,1.0,20.1,2017
120,Financial managers,0.5,20.1,2017
135,Compensation and benefits managers,1.0,20.1,2017
136,Human resources managers,0.0,20.1,2017
137,Training and development managers,1.0,20.1,2017
140,Industrial production managers,0.0,20.1,2017
150,Purchasing managers,1.0,20.1,2017
160,"Transportation, storage, and distribution managers",0.3333333333333333,20.1,2017
205,"Farmers, ranchers, and other agricultural managers",0.0,20.1,2017
220,Construction managers,0.0,20.1,2017
230,Education administrators,0.07574933020763563,20.1,2017
300,Architectural and engineering managers,1.0,20.1,2017
310,Food service managers,0.0,20.1,2017
325,Funeral service managers,0.0,20.1,2017
330,Gaming managers,0.0,20.1,2017
340,Lodging managers,0.0,20.1,2017
350,Medical and health services managers,0.0,20.1,2017
360,Natural sciences managers,1.0,20.1,2017
400,Postmasters and mail superintendents,0.0,20.1,2017
410,"Property, real estate, and community association managers",0.0,20.1,2017
420,Social and community service managers,1.0,20.1,2017
425,Emergency management directors,1.0,20.1,2017
430,"Managers, all other",0.8571428571428571,20.1,2017
500,"Agents and business managers of artists, performers, and athletes",1.0,20.1,2017
510,"Buyers and purchasing agents, farm products",1.0,20.1,2017
520,"Wholesale and retail buyers, except farm products",1.0,20.1,2017
530,"Purchasing agents, except wholesale, retail, and farm products",1.0,20.1,2017
540,"Claims adjusters, appraisers, examiners, and investigators",0.0,20.1,2017
565,Compliance officers,0.5,20.1,2017
600,Cost estimators,1.0,20.1,2017
630,Human resources workers,0.0,20.1,2017
640,"Compensation, benefits, and job analysis specialists",1.0,20.1,2017
650,Training and development specialists,1.0,20.1,2017
700,Logisticians,1.0,20.1,2017
710,Management analysts,1.0,20.1,2017
725,"Meeting, convention, and event planners",1.0,20.1,2017
726,Fundraisers,1.0,20.1,2017
735,Market research analysts and marketing specialists,1.0,20.1,2017
740,"Business operations specialists, all other",0.8333333333333334,20.1,2017
800,Accountants and auditors,1.0,20.1,2017
810,Appraisers and assessors of real estate,0.5,20.1,2017
820,Budget analysts,1.0,20.1,2017
830,Credit analysts,1.0,20.1,2017
840,Financial analysts,1.0,20.1,2017
850,Personal financial advisors,1.0,20.1,2017
