census_code,occupation_title,telework,onet_version,oews_year
10,Chief executives,0.5,20.1,2013
20,General and operations managers,1.0,20.1,2013
30,Legislators,0.9440349882562565,20.1,2013
40,Advertising and promotions managers,1.0,20.1,2013
50,Marketing and sales managers,1.0,20.1,2013
60,Public relations and fundraising managers,1.0,20.1,2013
100,Administrative services managers,1.0,20.1,2013
110,Computer and information systems managers,1.0,20.1,2013
120,Financial managers,0.5,20.1,2013
135,Compensation and benefits managers,1.0,20.1,2013
136,Human resources managers,0.0,20.1,2013
137,Training and development managers,1.0,20.1,2013
140,Industrial production managers,0.0,20.1,2013
150,Purchasing managers,1.0,20.1,2013
160,"Transportation, storage, and distribution managers",0.3333333333333333,20.1,2013
205,"Farmers, ranchers, and other agricultural managers",0.0,20.1,2013
220,Construction managers,0.0,20.1,2013
230,Education administrators,0.07155767715623117,20.1,2013
300,Architectural and engineering managers,1.0,20.1,2013
310,Food service managers,0.0,20.1,2013
325,Funeral service managers,0.0,20.1,2013
330,Gaming managers,0.0,20.1,2013
340,Lodging managers,0.0,20.1,2013
350,Medical and health services managers,0.0,20.1,2013
360,Natural sciences managers,1.0,20.1,2013
400,Postmasters and mail superintendents,0.0,20.1,2013
410,"Property, real estate, and community association managers",0.0,20.1,2013
420,Social and community service managers,1.0,20.1,2013
425,Emergency management directors,1.0,20.1,2013
430,"Managers, all other",0.8571428571428571,20.1,2013
500,"Agents and business managers of artists, performers, and athletes",1.0,20.1,2013
510,"Buyers and purchasing agents, farm products",1.0,20.1,2013
520,"Wholesale and retail buyers, except farm products",1.0,20.1,2013
530,"Purchasing agents, except wholesale, retail, and farm products",1.0,20.1,2013
540,"Claims adjusters, appraisers, examiners, and investigators",0.0,20.1,2013
565,Compliance officers,0.5,20.1,2013
600,Cost estimators,1.0,20.1,2013
630,Human resources workers,0.0,20.1,2013
640,"Compensation, benefits, and job analysis specialists",1.0,20.1,2013
650,Training and development specialists,1.0,20.1,2013
700,Logisticians,1.0,20.1,2013
710,Management analysts,1.0,20.1,2013
725,"Meeting, convention, and event planners",1.0,20.1,2013
726,Fundraisers,1.0,20.1,2013
735,Market research analysts and marketing specialists,1.0,20.1,2013
740,"Business operations specialists, all other",0.8333333333333334,20.1,2013
800,Accountants and auditors,1.0,20.1,2013
810,Appraisers and assessors of real estate,0.5,20.1,2013
820,Budget analysts,1.0,20.1,2013
830,Credit analysts,1.0,20.1,2013
840,Financial analysts,1.0,20.1,2013
850,Personal financial advisors,1.0,20.1,2013
860,Insurance underwriters,1.0,20.1,2013
900,Financial examiners,1.0,20.1,2013
910,Credit counselors and loan officers,1.0,20.1,2013
930,"Tax examiners and collectors, and revenue agents",0.0,20.1,2013
940,Tax preparers,1.0,20.1,2013
950,"Financial specialists, all other",1.0,20.1,2013
1005,Computer and information research scientists,1.0,20.1,2013
1006,Computer systems analysts,1.0,20.1,2013
1007,Information security analysts,1.0,20.1,2013
1010,Computer programmers,1.0,20.1,2013
1020,"Software developers, applications and systems software",1.0,20.1,2013
