census_code,occupation_title,telework,onet_version,oews_year
10,Chief executives,0.5,25.1,2021
20,General and operations managers,1.0,25.1,2021
30,Legislators,0.9685314246248509,25.1,2021
40,Advertising and promotions managers,1.0,25.1,2021
51,Marketing managers,1.0,25.1,2021
52,Sales managers,1.0,25.1,2021
60,Public relations and fundraising managers,1.0,25.1,2021
101,Administrative services managers,1.0,25.1,2021
102,Facilities managers,1.0,25.1,2021
110,Computer and information systems managers,1.0,25.1,2021
120,Financial managers,0.6666666666666666,25.1,2021
135,Compensation and benefits managers,1.0,25.1,2021
136,Human resources managers,0.0,25.1,2021
137,Training and development managers,1.0,25.1,2021
140,Industrial production managers,0.0,25.1,2021
150,Purchasing managers,1.0,25.1,2021
160,"Transportation, storage, and distribution managers",0.5,25.1,2021
205,"Farmers, ranchers, and other agricultural managers",0.0,25.1,2021
220,Construction managers,0.0,25.1,2021
230,Education and childcare administrators ,0.43606429495206617,25.1,2021
300,Architectural and engineering managers,1.0,25.1,2021
310,Food service managers,0.0,25.1,2021
325,Funeral home managers,0.0,25.1,2021
335,Entertainment and recreation managers,0.0,25.1,2021
340,Lodging managers,1.0,25.1,2021
350,Medical and health services managers,1.0,25.1,2021
360,Natural sciences managers,1.0,25.1,2021
400,Postmasters and mail superintendents,0.0,25.1,2021
410,"Property, real estate, and community association managers",1.0,25.1,2021
420,Social and community service managers,0.0,25.1,2021
425,Emergency management directors,1.0,25.1,2021
426,"Personal service managers, all other",1.0,25.1,2021
440,"Managers, all other",0.8333333333333334,25.1,2021
500,"Agents and business managers of artists, performers, and athletes",1.0,25.1,2021
510,"Buyers and purchasing agents, farm products",1.0,25.1,2021
520,"Wholesale and retail buyers, except farm products",1.0,25.1,2021
530,"Purchasing agents, except wholesale, retail, and farm products",1.0,25.1,2021
540,"Claims adjusters, appraisers, examiners, and investigators",0.0,25.1,2021
565,Compliance officers,0.7142857142857143,25.1,2021
600,Cost estimators,1.0,25.1,2021
630,Human resources workers,0.0,25.1,2021
640,"Compensation, benefits, and job analysis specialists",1.0,25.1,2021
650,Training and development specialists,1.0,25.1,2021
700,Logisticians,1.0,25.1,2021
705,Project management specialists,1.0,25.1,2021
710,Management analysts,1.0,25.1,2021
725,"Meeting, convention, and event planners",1.0,25.1,2021
726,Fundraisers,1.0,25.1,2021
735,Market research analysts and marketing specialists,1.0,25.1,2021
750,"Business operations specialists, all other",1.0,25.1,2021
800,Accountants and auditors,1.0,25.1,2021
810,Property appraisers and assessors,1.0,25.1,2021
820,Budget analysts,1.0,25.1,2021
830,Credit analysts,1.0,25.1,2021
845,Financial and investment analysts,1.0,25.1,2021
850,Personal financial advisors,1.0,25.1,2021
860,Insurance underwriters,1.0,25.1,2021
900,Financial examiners,1.0,25.1,2021
910,Credit counselors and loan officers,1.0,25.1,2021
930,"Tax examiners and collectors, and revenue agents",0.0,25.1,2021
940,Tax preparers,1.0,25.1,2021
960,Other financial specialists,0.9790609264147996,25.1,2021
1005,Computer and information research scientists,1.0,25.1,2021
1006,Computer systems analysts,1.0,25.1,2021
1007,Information security analysts,1.0,25.1,2021
1010,Computer programmers,1.0,25.1,2021
1021,Software developers,1.0,25.1,2021
1022,Software quality assurance analysts and testers,1.0,25.1,2021
1031,Web developers,1.0,25.1,2021
1032,Web and digital interface designers,1.0,25.1,2021
1050,Computer support specialists,1.0,25.1,2021
1065,Database administrators and architects,1.0,25.1,2021
1105,Network and computer systems administrators,1.0,25.1,2021
1106,Computer network architects,1.0,25.1,2021
1108,"Computer occupations, all other",0.8,25.1,2021
1200,Actuaries,1.0,25.1,2021
1210,Mathematicians,1.0,25.1,2021
1220,Operations research analysts,1.0,25.1,2021
1230,Statisticians,1.0,25.1,2021
1240,Other mathematical science occupations,1.0,25.1,2021
1305,"Architects, except landscape and naval",1.0,25.1,2021
1306,Landscape architects,1.0,25.1,2021
1310,"Surveyors, cartographers, and photogrammetrists",0.393135593220339,25.1,2021
1320,Aerospace engineers,1.0,25.1,2021
1330,Agricultural engineers,1.0,25.1,2021
1340,Bioengineers and biomedical engineers,1.0,25.1,2021
1350,Chemical engineers,1.0,25.1,2021
1360,Civil engineers,1.0,25.1,2021
1400,Computer hardware engineers,1.0,25.1,2021
1410,Electrical and electronics engineers,1.0,25.1,2021
1420,Environmental engineers,1.0,25.1,2021
1430,"Industrial engineers, including health and safety ",1.0,25.1,2021
1440,Marine engineers and naval architects,1.0,25.1,2021
1450,Materials engineers,1.0,25.1,2021
1460,Mechanical engineers,1.0,25.1,2021
1500,"Mining and geological engineers, including mining safety engineers",1.0,25.1,2021
1510,Nuclear engineers,1.0,25.1,2021
1520,Petroleum engineers,1.0,25.1,2021
1530,"Engineers, all other",1.0,25.1,2021
1541,Architectural and civil drafters,1.0,25.1,2021
1545,Other drafters,1.0,25.1,2021
1551,Electrical and electronic engineering technologists and technicians,1.0,25.1,2021
1555,"Other engineering technologists and technicians, except drafters",0.5295779109363039,25.1,2021
1560,Surveying and mapping technicians,1.0,25.1,2021
1600,Agricultural and food scientists,1.0,25.1,2021
1610,Biological scientists,1.0,25.1,2021
1640,Conservation scientists and foresters,0.0,25.1,2021
1650,Medical scientists,1.0,25.1,2021
1660,"Life scientists, all other",0.8925037732684891,25.1,2021
1700,Astronomers and physicists,1.0,25.1,2021
1710,Atmospheric and space scientists,1.0,25.1,2021
1720,Chemists and materials scientists,0.07664108145262917,25.1,2021
1745,"Environmental scientists and specialists, including health",1.0,25.1,2021
1750,"Geoscientists and hydrologists, except geographers",1.0,25.1,2021
1760,"Physical scientists, all other",1.0,25.1,2021
1800,Economists,1.0,25.1,2021
1815,Survey researchers,1.0,25.1,2021
1821,Clinical and counseling psychologists,1.0,25.1,2021
1822,School psychologists,1.0,25.1,2021
1825,Other psychologists,1.0,25.1,2021
1830,Sociologists,1.0,25.1,2021
1840,Urban and regional planners,1.0,25.1,2021
1860,Miscellaneous social scientists and related workers,1.0,25.1,2021
1900,Agricultural and food science technicians,0.2702271821442806,25.1,2021
1910,Biological technicians,1.0,25.1,2021
1920,Chemical technicians,0.0,25.1,2021
1935,Environmental  science and geoscience technicians,0.2126038781163435,25.1,2021
1940,Nuclear technicians,0.0,25.1,2021
