census_code,occupation_title,ai_exposure,onet_version,oews_year
10,Chief executives,0.34323722077902036,25.1,2023
20,General and operations managers,0.3432482076198377,25.1,2023
30,Legislators,0.34324758360117,25.1,2023
40,Advertising and promotions managers,0.3544455047754994,25.1,2023
51,Marketing managers,0.3318092604157374,25.1,2023
52,Sales managers,0.3299677855718409,25.1,2023
60,Public relations and fundraising managers,0.331194538978106,25.1,2023
101,Administrative services managers,0.3465599999999999,25.1,2023
102,Facilities managers,0.3465599999999999,25.1,2023
110,Computer and information systems managers,0.3446654636704542,25.1,2023
120,Financial managers,0.34801811825718465,25.1,2023
135,Compensation and benefits managers,0.3475476607145622,25.1,2023
136,Human resources managers,0.323270643312616,25.1,2023
137,Training and development managers,0.3281405168045938,25.1,2023
140,Industrial production managers,0.34444667793016864,25.1,2023
150,Purchasing managers,0.3335448258359241,25.1,2023
160,"Transportation, storage, and distribution managers",0.34005021816978115,25.1,2023
205,"Farmers, ranchers, and other agricultural managers",0.34043632335177487,25.1,2023
220,Construction managers,0.35079917335914407,25.1,2023
230,Education and childcare administrators ,0.3394601372733729,25.1,2023
300,Architectural and engineering managers,0.354771506676019,25.1,2023
310,Food service managers,0.3318714696379175,25.1,2023
325,Funeral home managers,0.3495462321319841,25.1,2023
335,Entertainment and recreation managers,0.3431696803751999,25.1,2023
340,Lodging managers,0.33663893510815307,25.1,2023
350,Medical and health services managers,0.3499615643643834,25.1,2023
360,Natural sciences managers,0.3600588500178228,25.1,2023
400,Postmasters and mail superintendents,0.34598262032085564,25.1,2023
410,"Property, real estate, and community association managers",0.3411725903247317,25.1,2023
420,Social and community service managers,0.34764957566685967,25.1,2023
425,Emergency management directors,0.3406799591330553,25.1,2023
426,"Personal service managers, all other",0.32626864011663254,25.1,2023
440,"Managers, all other",0.35236917229248516,25.1,2023
500,"Agents and business managers of artists, performers, and athletes",0.3420552436089701,25.1,2023
510,"Buyers and purchasing agents, farm products",0.3516048824593128,25.1,2023
520,"Wholesale and retail buyers, except farm products",0.35964561257483113,25.1,2023
530,"Purchasing agents, except wholesale, retail, and farm products",0.3562354161265232,25.1,2023
540,"Claims adjusters, appraisers, examiners, and investigators",0.3763391681563942,25.1,2023
565,Compliance officers,0.36206531344031573,25.1,2023
600,Cost estimators,0.3549635666782809,25.1,2023
630,Human resources workers,0.35113645614708694,25.1,2023
640,"Compensation, benefits, and job analysis specialists",0.3608587087458417,25.1,2023
650,Training and development specialists,0.3362288715827616,25.1,2023
700,Logisticians,0.35657125553545926,25.1,2023
705,Project management specialists,0.35657125553545926,25.1,2023
710,Management analysts,0.33866457034728403,25.1,2023
725,"Meeting, convention, and event planners",0.3382103626744119,25.1,2023
726,Fundraisers,0.3453222963475312,25.1,2023
735,Market research analysts and marketing specialists,0.36415668115596256,25.1,2023
750,"Business operations specialists, all other",0.35941222943297446,25.1,2023
800,Accountants and auditors,0.3624621082025475,25.1,2023
810,Property appraisers and assessors,0.3816306830221553,25.1,2023
820,Budget analysts,0.3754180462887473,25.1,2023
830,Credit analysts,0.3758184083338488,25.1,2023
845,Financial and investment analysts,0.36045121788453593,25.1,2023
850,Personal financial advisors,0.3572760913384879,25.1,2023
860,Insurance underwriters,0.3689818436329202,25.1,2023
900,Financial examiners,0.3556640950213687,25.1,2023
910,Credit counselors and loan officers,0.3712706839747079,25.1,2023
930,"Tax examiners and collectors, and revenue agents",0.3827486785199424,25.1,2023
940,Tax preparers,0.3851908979598327,25.1,2023
960,Other financial specialists,0.3651172445501763,25.1,2023
1005,Computer and information research scientists,0.3711740384901396,25.1,2023
1006,Computer systems analysts,0.3511712563349362,25.1,2023
1007,Information security analysts,0.3765344287449652,25.1,2023
1010,Computer programmers,0.3684629657649335,25.1,2023
1021,Software developers,0.36620957170788443,25.1,2023
1022,Software quality assurance analysts and testers,0.367273878525157,25.1,2023
1031,Web developers,0.37291796708170444,25.1,2023
1032,Web and digital interface designers,0.3566660867089509,25.1,2023
1050,Computer support specialists,0.3558032538125732,25.1,2023
1065,Database administrators and architects,0.3662757533615458,25.1,2023
1105,Network and computer systems administrators,0.36286156821737725,25.1,2023
1106,Computer network architects,0.36184915690061803,25.1,2023
