census_code,occupation_title,job_zone,onet_version,oews_year
10,Chief executives,5.0,25.1,2020
20,General and operations managers,4.0,25.1,2020
30,Legislators,4.0,25.1,2020
40,Advertising and promotions managers,4.0,25.1,2020
51,Marketing managers,4.0,25.1,2020
52,Sales managers,4.0,25.1,2020
60,Public relations and fundraising managers,4.0,25.1,2020
101,Administrative services managers,3.0,25.1,2020
102,Facilities managers,3.0,25.1,2020
110,Computer and information systems managers,4.0,25.1,2020
120,Financial managers,4.333333333333333,25.1,2020
135,Compensation and benefits managers,4.0,25.1,2020
136,Human resources managers,4.0,25.1,2020
137,Training and development managers,4.0,25.1,2020
140,Industrial production managers,3.6666666666666665,25.1,2020
150,Purchasing managers,4.0,25.1,2020
160,"Transportation, storage, and distribution managers",4.0,25.1,2020
205,"Farmers, ranchers, and other agricultural managers",4.0,25.1,2020
220,Construction managers,4.0,25.1,2020
230,Education and childcare administrators ,4.896813927118305,25.1,2020
300,Architectural and engineering managers,4.5,25.1,2020
310,Food service managers,2.0,25.1,2020
325,Funeral home managers,3.0,25.1,2020
335,Entertainment and recreation managers,3.0,25.1,2020
340,Lodging managers,4.0,25.1,2020
350,Medical and health services managers,5.0,25.1,2020
360,Natural sciences managers,4.333333333333333,25.1,2020
400,Postmasters and mail superintendents,2.0,25.1,2020
410,"Property, real estate, and community association managers",4.0,25.1,2020
420,Social and community service managers,4.0,25.1,2020
425,Emergency management directors,4.0,25.1,2020
426,"Personal service managers, all other",3.5,25.1,2020
440,"Managers, all other",4.0,25.1,2020
500,"Agents and business managers of artists, performers, and athletes",4.0,25.1,2020
510,"Buyers and purchasing agents, farm products",4.0,25.1,2020
520,"Wholesale and retail buyers, except farm products",3.0,25.1,2020
530,"Purchasing agents, except wholesale, retail, and farm products",4.0,25.1,2020
540,"Claims adjusters, appraisers, examiners, and investigators",3.955987615274495,25.1,2020
565,Compliance officers,3.4285714285714284,25.1,2020
600,Cost estimators,4.0,25.1,2020
630,Human resources workers,4.0,25.1,2020
640,"Compensation, benefits, and job analysis specialists",4.0,25.1,2020
650,Training and development specialists,4.0,25.1,2020
700,Logisticians,4.0,25.1,2020
705,Project management specialists,4.0,25.1,2020
710,Management analysts,5.0,25.1,2020
725,"Meeting, convention, and event planners",4.0,25.1,2020
726,Fundraisers,4.0,25.1,2020
735,Market research analysts and marketing specialists,4.0,25.1,2020
750,"Business operations specialists, all other",4.0,25.1,2020
800,Accountants and auditors,4.0,25.1,2020
810,Property appraisers and assessors,4.0,25.1,2020
820,Budget analysts,4.0,25.1,2020
830,Credit analysts,4.0,25.1,2020
845,Financial and investment analysts,4.0,25.1,2020
850,Personal financial advisors,4.0,25.1,2020
860,Insurance underwriters,4.0,25.1,2020
900,Financial examiners,4.0,25.1,2020
910,Credit counselors and loan officers,4.0,25.1,2020
930,"Tax examiners and collectors, and revenue agents",3.0,25.1,2020
940,Tax preparers,3.0,25.1,2020
960,Other financial specialists,3.9483083546203175,25.1,2020
1005,Computer and information research scientists,5.0,25.1,2020
1006,Computer systems analysts,4.0,25.1,2020
1007,Information security analysts,4.0,25.1,2020
1010,Computer programmers,4.0,25.1,2020
1021,Software developers,4.0,25.1,2020
1022,Software quality assurance analysts and testers,4.0,25.1,2020
1031,Web developers,3.0,25.1,2020
1032,Web and digital interface designers,4.0,25.1,2020
1050,Computer support specialists,3.22492185973823,25.1,2020
1065,Database administrators and architects,3.8403018580505504,25.1,2020
1105,Network and computer systems administrators,4.0,25.1,2020
1106,Computer network architects,3.5,25.1,2020
1108,"Computer occupations, all other",4.0,25.1,2020
1200,Actuaries,4.0,25.1,2020
1210,Mathematicians,5.0,25.1,2020
1220,Operations research analysts,5.0,25.1,2020
1230,Statisticians,5.0,25.1,2020
1240,Other mathematical science occupations,4.859517560304962,25.1,2020
1305,"Architects, except landscape and naval",4.0,25.1,2020
1306,Landscape architects,4.0,25.1,2020
1310,"Surveyors, cartographers, and photogrammetrists",4.0,25.1,2020
1320,Aerospace engineers,4.0,25.1,2020
1330,Agricultural engineers,4.0,25.1,2020
1340,Bioengineers and biomedical engineers,4.0,25.1,2020
1350,Chemical engineers,4.0,25.1,2020
1360,Civil engineers,4.0,25.1,2020
1400,Computer hardware engineers,4.0,25.1,2020
1410,Electrical and electronics engineers,4.0,25.1,2020
1420,Environmental engineers,4.0,25.1,2020
1430,"Industrial engineers, including health and safety ",4.231065069911138,25.1,2020
1440,Marine engineers and naval architects,4.0,25.1,2020
1450,Materials engineers,4.0,25.1,2020
1460,Mechanical engineers,4.333333333333333,25.1,2020
1500,"Mining and geological engineers, including mining safety engineers",4.0,25.1,2020
1510,Nuclear engineers,4.0,25.1,2020
1520,Petroleum engineers,4.0,25.1,2020
1530,"Engineers, all other",4.25,25.1,2020
1541,Architectural and civil drafters,3.0,25.1,2020
1545,Other drafters,3.0,25.1,2020
1551,Electrical and electronic engineering technologists and technicians,3.0,25.1,2020
1555,"Other engineering technologists and technicians, except drafters",3.1482612279791162,25.1,2020
1560,Surveying and mapping technicians,3.0,25.1,2020
1600,Agricultural and food scientists,4.559744193874116,25.1,2020
1610,Biological scientists,5.0,25.1,2020
1640,Conservation scientists and foresters,4.0,25.1,2020
1650,Medical scientists,5.0,25.1,2020
1660,"Life scientists, all other",4.854372748116607,25.1,2020
1700,Astronomers and physicists,5.0,25.1,2020
1710,Atmospheric and space scientists,4.0,25.1,2020
1720,Chemists and materials scientists,4.077111383108935,25.1,2020
