census_code,occupation_title,telework,onet_version,oews_year
10,Chief executives,0.0,14.0,2009
20,General and operations managers,1.0,14.0,2009
30,Legislators,0.8502304611235232,14.0,2009
40,Advertising and promotions managers,0.0,14.0,2009
50,Marketing and sales managers,1.0,14.0,2009
60,Public relations managers,1.0,14.0,2009
100,Administrative services managers,1.0,14.0,2009
110,Computer and information systems managers,1.0,14.0,2009
120,Financial managers,1.0,14.0,2009
130,Human resources managers,0.0,14.0,2009
140,Industrial production managers,0.0,14.0,2009
150,Purchasing managers,1.0,14.0,2009
160,"Transportation, storage, and distribution managers",0.5,14.0,2009
200,"Farm, ranch, and other agricultural managers",0.3333333333333333,14.0,2009
210,Farmers and ranchers,0.0,14.0,2009
220,Construction managers,0.0,14.0,2009
230,Education administrators,0.2814094387755102,14.0,2009
300,Engineering managers,1.0,14.0,2009
310,Food service managers,0.0,14.0,2009
320,Funeral directors,0.0,14.0,2009
330,Gaming managers,0.0,14.0,2009
340,Lodging managers,1.0,14.0,2009
350,Medical and health services managers,0.0,14.0,2009
360,Natural sciences managers,1.0,14.0,2009
400,Postmasters and mail superintendents,0.0,14.0,2009
410,"Property, real estate, and community association managers",0.0,14.0,2009
420,Social and community service managers,1.0,14.0,2009
430,"Managers, all other",1.0,14.0,2009
500,"Agents and business managers of artists, performers, and athletes",1.0,14.0,2009
510,"Purchasing agents and buyers, farm products",1.0,14.0,2009
520,"Wholesale and retail buyers, except farm products",1.0,14.0,2009
530,"Purchasing agents, except wholesale, retail, and farm products",1.0,14.0,2009
540,"Claims adjusters, appraisers, examiners, and investigators",0.48076450559865214,14.0,2009
560,"Compliance officers, except agriculture, construction, health and safety, and transportation",0.5,14.0,2009
600,Cost estimators,1.0,14.0,2009
620,"Human resources, training, and labor relations specialists",1.0,14.0,2009
700,Logisticians,1.0,14.0,2009
710,Management analysts,1.0,14.0,2009
720,Meeting and convention planners,1.0,14.0,2009
730,Other business operations specialists,0.3683071765960689,14.0,2009
