census_code,occupation_title,high_pd,any_pd,dwc,difficult,onet_version,oews_year,offshorability
10,Chief executives,0.0,0.0,0.0,0.0,25.1,2020,0.46866226
20,General and operations managers,0.0,0.0,0.0,0.0,25.1,2020,-0.14223063
30,Legislators,0.0,0.0,0.0,0.0,25.1,2020,
40,Advertising and promotions managers,0.0,0.0,0.0,0.0,25.1,2020,0.32495964
51,Marketing managers,0.0,0.0,0.0,0.0,25.1,2020,
52,Sales managers,0.0,0.0,0.0,0.0,25.1,2020,
60,Public relations and fundraising managers,0.0,0.0,0.0,0.0,25.1,2020,0.32495964
101,Administrative services managers,0.0,0.0,0.0,0.0,25.1,2020,
102,Facilities managers,0.0,0.0,0.0,0.0,25.1,2020,
110,Computer and information systems managers,0.0,0.0,0.0,0.0,25.1,2020,-0.14223063
120,Financial managers,0.0,0.0,0.0,0.0,25.1,2020,0.47275448
135,Compensation and benefits managers,0.0,0.0,0.0,0.0,25.1,2020,1.1813816
136,Human resources managers,0.0,0.0,0.0,0.0,25.1,2020,1.1813816
137,Training and development managers,0.0,0.0,0.0,0.0,25.1,2020,1.1813816
140,Industrial production managers,0.0,0.0,0.8333333333333334,0.8333333333333334,25.1,2020,-0.14223063
150,Purchasing managers,0.0,0.0,0.0,0.0,25.1,2020,0.9856056
160,"Transportation, storage, and distribution managers",0.0,0.0,0.0,0.0,25.1,2020,0.71980846
205,"Farmers, ranchers, and other agricultural managers",0.0,0.0,1.0,1.0,25.1,2020,-0.1618563
220,Construction managers,0.0,0.0,1.0,1.0,25.1,2020,-0.14223063
230,Education and childcare administrators ,0.0,0.0,0.0,0.0,25.1,2020,-1.1653323
300,Architectural and engineering managers,0.0,0.0,0.0,0.0,25.1,2020,-0.14223063
310,Food service managers,0.0,1.0,0.0,1.0,25.1,2020,-0.14223063
325,Funeral home managers,0.0,0.0,0.0,0.0,25.1,2020,
335,Entertainment and recreation managers,0.0,0.0,0.0,0.0,25.1,2020,
340,Lodging managers,0.0,0.0,0.0,0.0,25.1,2020,-0.14223063
350,Medical and health services managers,0.0,0.0,0.0,0.0,25.1,2020,-2.188437
360,Natural sciences managers,0.0,0.0,0.0,0.0,25.1,2020,-0.14223063
400,Postmasters and mail superintendents,0.0,0.0,0.0,0.0,25.1,2020,
410,"Property, real estate, and community association managers",0.0,0.0,0.0,0.0,25.1,2020,0.4990003
420,Social and community service managers,0.0,0.0,0.0,0.0,25.1,2020,-0.14223063
425,Emergency management directors,0.0,0.0,0.0,0.0,25.1,2020,0.0085452795
426,"Personal service managers, all other",0.0,0.0,0.0,0.0,25.1,2020,
440,"Managers, all other",0.0,0.0,0.0,0.0,25.1,2020,
500,"Agents and business managers of artists, performers, and athletes",0.0,0.0,0.0,0.0,25.1,2020,0.7345849
510,"Buyers and purchasing agents, farm products",0.0,0.0,0.0,0.0,25.1,2020,0.7120725
520,"Wholesale and retail buyers, except farm products",0.0,0.0,0.0,0.0,25.1,2020,1.1786948
530,"Purchasing agents, except wholesale, retail, and farm products",0.0,0.0,0.0,0.0,25.1,2020,0.9856056
540,"Claims adjusters, appraisers, examiners, and investigators",0.0,0.0,0.04401238472550521,0.04401238472550521,25.1,2020,1.7648889
565,Compliance officers,0.0,0.0,0.0,0.0,25.1,2020,-0.057901263
600,Cost estimators,0.0,0.0,0.0,0.0,25.1,2020,-0.14223063
630,Human resources workers,0.0,0.0,0.0,0.0,25.1,2020,0.63267636
640,"Compensation, benefits, and job analysis specialists",0.0,0.0,0.0,0.0,25.1,2020,0.63267636
650,Training and development specialists,0.0,0.0,0.0,0.0,25.1,2020,0.63267636
700,Logisticians,0.0,0.0,0.0,0.0,25.1,2020,2.7579606
705,Project management specialists,0.0,0.0,0.0,0.0,25.1,2020,
710,Management analysts,0.0,0.0,0.0,0.0,25.1,2020,-0.052943587
725,"Meeting, convention, and event planners",0.0,0.0,0.0,0.0,25.1,2020,-0.14223063
726,Fundraisers,0.0,0.0,0.0,0.0,25.1,2020,1.5643047
735,Market research analysts and marketing specialists,0.0,0.0,0.0,0.0,25.1,2020,2.1586444
750,"Business operations specialists, all other",0.0,0.0,0.0,0.0,25.1,2020,
800,Accountants and auditors,0.0,0.0,0.0,0.0,25.1,2020,1.9673074
810,Property appraisers and assessors,0.0,0.0,0.0,0.0,25.1,2020,-0.07501614
820,Budget analysts,0.0,0.0,0.0,0.0,25.1,2020,1.3725127
830,Credit analysts,0.0,0.0,0.0,0.0,25.1,2020,1.3725127
845,Financial and investment analysts,0.0,0.0,0.0,0.0,25.1,2020,
850,Personal financial advisors,0.0,0.0,0.0,0.0,25.1,2020,1.3725127
860,Insurance underwriters,0.0,0.0,0.0,0.0,25.1,2020,2.551788
900,Financial examiners,0.0,0.0,0.0,0.0,25.1,2020,-0.057901263
910,Credit counselors and loan officers,0.0,0.0,0.0,0.0,25.1,2020,1.3725127
930,"Tax examiners and collectors, and revenue agents",0.0,0.0,0.0,0.0,25.1,2020,1.9673074
940,Tax preparers,0.0,0.0,0.0,0.0,25.1,2020,1.3725127
960,Other financial specialists,0.0,0.0,0.0,0.0,25.1,2020,
1005,Computer and information research scientists,0.0,0.0,0.0,0.0,25.1,2020,0.55302966
1006,Computer systems analysts,0.0,0.0,0.0,0.0,25.1,2020,0.55302966
1007,Information security analysts,0.0,0.0,0.0,0.0,25.1,2020,0.55302966
1010,Computer programmers,0.0,0.0,0.0,0.0,25.1,2020,2.6609855
1021,Software developers,0.0,0.0,0.0,0.0,25.1,2020,
1022,Software quality assurance analysts and testers,0.0,0.0,0.0,0.0,25.1,2020,
