census_code,occupation_title,ai_exposure,onet_version,oews_year
10,Chief executives,0.32007000827898735,14.0,2003
20,General and operations managers,0.3488845373802364,14.0,2003
30,Legislators,0.34396144185362526,14.0,2003
40,Advertising and promotions managers,0.34724976741838004,14.0,2003
50,Marketing and sales managers,0.3297605502051388,14.0,2003
60,Public relations managers,0.34143155694879834,14.0,2003
100,Administrative services managers,0.3663841101743062,14.0,2003
110,Computer and information systems managers,0.3402784954014674,14.0,2003
120,Financial managers,0.3606634840063838,14.0,2003
130,Human resources managers,0.3270259152612094,14.0,2003
140,Industrial production managers,0.3323686038434823,14.0,2003
150,Purchasing managers,0.3390862211964949,14.0,2003
160,"Transportation, storage, and distribution managers",0.3422542437352166,14.0,2003
200,"Farm, ranch, and other agricultural managers",0.34447057253688435,14.0,2003
210,Farmers and ranchers,0.36261268143621084,14.0,2003
220,Construction managers,0.3602657955408201,14.0,2003
230,Education administrators,0.3408675504432738,14.0,2003
300,Engineering managers,0.34973845029135997,14.0,2003
310,Food service managers,0.3265562199784335,14.0,2003
320,Funeral directors,0.33847960586617776,14.0,2003
330,Gaming managers,0.34098127035830617,14.0,2003
340,Lodging managers,0.36289629330296463,14.0,2003
350,Medical and health services managers,0.33282094616279945,14.0,2003
360,Natural sciences managers,0.3728373634176167,14.0,2003
400,Postmasters and mail superintendents,0.3539747870135851,14.0,2003
410,"Property, real estate, and community association managers",0.3567227092782844,14.0,2003
420,Social and community service managers,0.3411288480572545,14.0,2003
430,"Managers, all other",0.34453909339823546,14.0,2003
500,"Agents and business managers of artists, performers, and athletes",0.3442505544603253,14.0,2003
510,"Purchasing agents and buyers, farm products",0.36021206765968194,14.0,2003
520,"Wholesale and retail buyers, except farm products",0.3395449097809442,14.0,2003
530,"Purchasing agents, except wholesale, retail, and farm products",0.3613967806931472,14.0,2003
540,"Claims adjusters, appraisers, examiners, and investigators",0.3729887034978574,14.0,2003
560,"Compliance officers, except agriculture, construction, health and safety, and transportation",0.3617801637340394,14.0,2003
600,Cost estimators,0.3587241078399853,14.0,2003
620,"Human resources, training, and labor relations specialists",0.3457656785426132,14.0,2003
700,Logisticians,0.36358635449085547,14.0,2003
710,Management analysts,0.3635055740214456,14.0,2003
720,Meeting and convention planners,0.34127219949258303,14.0,2003
730,Other business operations specialists,0.36190058191891555,14.0,2003
800,Accountants and auditors,0.3706160546288816,14.0,2003
810,Appraisers and assessors of real estate,0.3866903990714228,14.0,2003
820,Budget analysts,0.38527357139757884,14.0,2003
830,Credit analysts,0.3641391240531544,14.0,2003
840,Financial analysts,0.36689587426326126,14.0,2003
850,Personal financial advisors,0.38026826944220476,14.0,2003
860,Insurance underwriters,0.3784351894261597,14.0,2003
900,Financial examiners,0.3633007631207885,14.0,2003
910,Loan counselors and officers,0.38716102900556143,14.0,2003
930,"Tax examiners, collectors, and revenue agents",0.3787441757266474,14.0,2003
940,Tax preparers,0.38662808486830025,14.0,2003
950,"Financial specialists, all other",0.37487778352878254,14.0,2003
1000,Computer scientists and systems analysts,0.3657305902677788,14.0,2003
1010,Computer programmers,0.3745012808268697,14.0,2003
1020,Computer software engineers,0.37012179940385664,14.0,2003
1040,Computer support specialists,0.35671341201557843,14.0,2003
1060,Database administrators,0.3781531382415254,14.0,2003
1100,Network and computer systems administrators,0.36750423263635046,14.0,2003
1110,Network systems and data communications analysts,0.3602623200114051,14.0,2003
1200,Actuaries,0.36464895605863035,14.0,2003
1210,Mathematicians,0.3654173532276712,14.0,2003
1220,Operations research analysts,0.36741329479768786,14.0,2003
1230,Statisticians,0.3817381915459366,14.0,2003
1240,Miscellaneous mathematical science occupations,0.41003433608363654,14.0,2003
1300,"Architects, except naval",0.3710193664708882,14.0,2003
1310,"Surveyors, cartographers, and photogrammetrists",0.3638811182547621,14.0,2003
1320,Aerospace engineers,0.3715422165973603,14.0,2003
1330,Agricultural engineers,0.3646816416145921,14.0,2003
1340,Biomedical engineers,0.346922011937016,14.0,2003
1350,Chemical engineers,0.3601351156277969,14.0,2003
1360,Civil engineers,0.36878753529109437,14.0,2003
1400,Computer hardware engineers,0.3552063793814086,14.0,2003
1410,Electrical and electronic engineers,0.37854762278544235,14.0,2003
1420,Environmental engineers,0.38096090890205375,14.0,2003
1430,"Industrial engineers, including health and safety",0.3667797011283514,14.0,2003
1440,Marine engineers and naval architects,0.3650681791642444,14.0,2003
1450,Materials engineers,0.3720883750249842,14.0,2003
1460,Mechanical engineers,0.37383642435870107,14.0,2003
1500,"Mining and geological engineers, including mining safety engineers",0.36138670890632874,14.0,2003
1510,Nuclear engineers,0.37394356332394274,14.0,2003
1520,Petroleum engineers,0.39734511090823854,14.0,2003
1530,"Engineers, all other",0.3628954622405586,14.0,2003
1540,Drafters,0.3904194636053216,14.0,2003
1550,"Engineering technicians, except drafters",0.35897345116499846,14.0,2003
1560,Surveying and mapping technicians,0.3728353631404312,14.0,2003
1600,Agricultural and food scientists,0.3637641546993506,14.0,2003
1610,Biological scientists,0.39247209105549036,14.0,2003
1640,Conservation scientists and foresters,0.37052282179099494,14.0,2003
1650,Medical scientists,0.36823185595217384,14.0,2003
1700,Astronomers and physicists,0.36450679851061424,14.0,2003
1710,Atmospheric and space scientists,0.37139172701120926,14.0,2003
1720,Chemists and materials scientists,0.355838282338157,14.0,2003
1740,Environmental scientists and geoscientists,0.3687393137373989,14.0,2003
1760,"Physical scientists, all other",0.36950546167268206,14.0,2003
1800,Economists,0.3714927989666077,14.0,2003
1810,Market and survey researchers,0.3638450692059918,14.0,2003
1820,Psychologists,0.3355936106243512,14.0,2003
1830,Sociologists,0.3635546267496112,14.0,2003
1840,Urban and regional planners,0.37137949561224987,14.0,2003
1860,Miscellaneous social scientists and related workers,0.36332839888522434,14.0,2003
1900,Agricultural and food science technicians,0.36374569235761894,14.0,2003
1910,Biological technicians,0.3846605985288684,14.0,2003
1920,Chemical technicians,0.3582586578256746,14.0,2003
1930,Geological and petroleum technicians,0.3671807877255559,14.0,2003
1940,Nuclear technicians,0.34755349833953564,14.0,2003
1960,"Other life, physical, and social science technicians",0.36681019696494455,14.0,2003
2000,Counselors,0.33905186876148913,14.0,2003
2010,Social workers,0.34075966638817645,14.0,2003
2020,Miscellaneous community and social service specialists,0.33864193299731243,14.0,2003
2040,Clergy,0.3243936538053451,14.0,2003
2050,"Directors, religious activities and education",0.32753723262346796,14.0,2003
2060,"Religious workers, all other",0.32513790441935375,14.0,2003
2100,Lawyers,0.3589471065783226,14.0,2003
2110,"Judges, magistrates, and other judicial workers",0.3724671503366561,14.0,2003
2140,Paralegals and legal assistants,0.38942533535153195,14.0,2003
2150,Miscellaneous legal support workers,0.3812334856491429,14.0,2003
2200,Postsecondary teachers,0.3477077966427057,14.0,2003
2300,Preschool and kindergarten teachers,0.319007749335007,14.0,2003
2310,Elementary and middle school teachers,0.33642935091776965,14.0,2003
2320,Secondary school teachers,0.3374156626236662,14.0,2003
2330,Special education teachers,0.3375594571368542,14.0,2003
2340,Other teachers and instructors,0.3191747557079965,14.0,2003
2400,"Archivists, curators, and museum technicians",0.34714816169532914,14.0,2003
2430,Librarians,0.362653086343775,14.0,2003
2440,Library technicians,0.35980887553208635,14.0,2003
2540,Teacher assistants,0.33154924352825843,14.0,2003
2550,"Other education, training, and library workers",0.33285096610602855,14.0,2003
2600,Artists and related workers,0.3475304489454646,14.0,2003
2630,Designers,0.3505399743014377,14.0,2003
2700,Actors,0.3158757255035849,14.0,2003
2710,Producers and directors,0.34941261619876046,14.0,2003
2720,"Athletes, coaches, umpires, and related workers",0.304502467154963,14.0,2003
2740,Dancers and choreographers,0.3002749143566232,14.0,2003
2750,"Musicians, singers, and related workers",0.3279455210749426,14.0,2003
2760,"Entertainers and performers, sports and related workers, all other",0.3178713037948708,14.0,2003
2800,Announcers,0.3584252202107011,14.0,2003
2810,"News analysts, reporters and correspondents",0.37722750325102605,14.0,2003
2820,Public relations specialists,0.3603508427104319,14.0,2003
2830,Editors,0.3641864561586639,14.0,2003
2840,Technical writers,0.3748463853812314,14.0,2003
2850,Writers and authors,0.3611855257214178,14.0,2003
2860,Miscellaneous media and communication workers,0.35398628612213334,14.0,2003
2900,Broadcast and sound engineering technicians and radio operators,0.3564310281263987,14.0,2003
2910,Photographers,0.3260487708331615,14.0,2003
2920,"Television, video, and motion picture camera operators and editors",0.35757449411586667,14.0,2003
2960,"Media and communication equipment workers, all other",0.3468258863713017,14.0,2003
3000,Chiropractors,0.3415194725133346,14.0,2003
3010,Dentists,0.340652045447218,14.0,2003
3030,Dietitians and nutritionists,0.34434923672060225,14.0,2003
3040,Optometrists,0.3547530734946606,14.0,2003
3050,Pharmacists,0.3500029626118386,14.0,2003
3060,Physicians and surgeons,0.34527367944550336,14.0,2003
3110,Physician assistants,0.3474408514181781,14.0,2003
3120,Podiatrists,0.3495878557779025,14.0,2003
3130,Registered nurses,0.3309203180450639,14.0,2003
3140,Audiologists,0.3511188693530748,14.0,2003
3150,Occupational therapists,0.3347540620912693,14.0,2003
3160,Physical therapists,0.3352781691076792,14.0,2003
3200,Radiation therapists,0.36014932274383943,14.0,2003
3210,Recreational therapists,0.33298195572642153,14.0,2003
3220,Respiratory therapists,0.33340702929414445,14.0,2003
3230,Speech-language pathologists,0.35439472504961267,14.0,2003
3240,"Therapists, all other",0.3396365236067191,14.0,2003
3250,Veterinarians,0.34946513063155726,14.0,2003
3260,"Health diagnosing and treating practitioners, all other",0.3500931773789579,14.0,2003
3300,Clinical laboratory technologists and technicians,0.3484692125801353,14.0,2003
3310,Dental hygienists,0.34952442366596814,14.0,2003
3320,Diagnostic related technologists and technicians,0.34345900927654865,14.0,2003
3400,Emergency medical technicians and paramedics,0.33915825744523753,14.0,2003
3410,Health diagnosing and treating practitioner support technicians,0.3387522280631954,14.0,2003
3500,Licensed practical and licensed vocational nurses,0.3281356492286086,14.0,2003
3510,Medical records and health information technicians,0.3510150838403936,14.0,2003
3520,"Opticians, dispensing",0.3484543010752688,14.0,2003
3530,Miscellaneous health technologists and technicians,0.3621678575415876,14.0,2003
3540,Other healthcare practitioners and technical occupations,0.3308366658416809,14.0,2003
3600,"Nursing, psychiatric, and home health aides",0.3249969197195127,14.0,2003
3610,Occupational therapist assistants and aides,0.3386722790578233,14.0,2003
3620,Physical therapist assistants and aides,0.3302115946802428,14.0,2003
3630,Massage therapists,0.3282678994528097,14.0,2003
3640,Dental assistants,0.3216623730868313,14.0,2003
3650,Medical assistants and other healthcare support occupations,0.3355249043149907,14.0,2003
3700,First-line supervisors/managers of correctional officers,0.33222765936483956,14.0,2003
3710,First-line supervisors/managers of police and detectives,0.34905972268139474,14.0,2003
3720,First-line supervisors/managers of fire fighting and prevention workers,0.3379629289061494,14.0,2003
3730,"Supervisors, protective service workers, all other",0.3427720039651666,14.0,2003
3740,Fire fighters,0.32369446989019157,14.0,2003
3750,Fire inspectors,0.3593898159406819,14.0,2003
3800,"Bailiffs, correctional officers, and jailers",0.3356292739761377,14.0,2003
