census_code,occupation_title,ai_exposure,onet_version,oews_year
10,Chief executives,0.34323722077902036,25.1,2021
20,General and operations managers,0.3432482076198377,25.1,2021
30,Legislators,0.3432475161393809,25.1,2021
40,Advertising and promotions managers,0.3544455047754994,25.1,2021
51,Marketing managers,0.3318092604157374,25.1,2021
52,Sales managers,0.3299677855718409,25.1,2021
60,Public relations and fundraising managers,0.33137761969418617,25.1,2021
101,Administrative services managers,0.3465599999999999,25.1,2021
102,Facilities managers,0.3465599999999999,25.1,2021
110,Computer and information systems managers,0.3446654636704542,25.1,2021
120,Financial managers,0.34801811825718465,25.1,2021
135,Compensation and benefits managers,0.3475476607145622,25.1,2021
136,Human resources managers,0.323270643312616,25.1,2021
137,Training and development managers,0.3281405168045938,25.1,2021
140,Industrial production managers,0.34444667793016864,25.1,2021
150,Purchasing managers,0.3335448258359241,25.1,2021
160,"Transportation, storage, and distribution managers",0.34005021816978115,25.1,2021
205,"Farmers, ranchers, and other agricultural managers",0.34043632335177487,25.1,2021
220,Construction managers,0.35079917335914407,25.1,2021
230,Education and childcare administrators ,0.33954086456650245,25.1,2021
300,Architectural and engineering managers,0.354771506676019,25.1,2021
310,Food service managers,0.3318714696379175,25.1,2021
325,Funeral home managers,0.3495462321319841,25.1,2021
335,Entertainment and recreation managers,0.3431696803751999,25.1,2021
340,Lodging managers,0.33663893510815307,25.1,2021
350,Medical and health services managers,0.3499615643643834,25.1,2021
360,Natural sciences managers,0.3600588500178228,25.1,2021
400,Postmasters and mail superintendents,0.34598262032085564,25.1,2021
410,"Property, real estate, and community association managers",0.3411725903247317,25.1,2021
420,Social and community service managers,0.34764957566685967,25.1,2021
425,Emergency management directors,0.3406799591330553,25.1,2021
426,"Personal service managers, all other",0.32626864011663254,25.1,2021
440,"Managers, all other",0.35236917229248516,25.1,2021
500,"Agents and business managers of artists, performers, and athletes",0.3420552436089701,25.1,2021
510,"Buyers and purchasing agents, farm products",0.3516048824593128,25.1,2021
520,"Wholesale and retail buyers, except farm products",0.35964561257483113,25.1,2021
530,"Purchasing agents, except wholesale, retail, and farm products",0.3562354161265232,25.1,2021
540,"Claims adjusters, appraisers, examiners, and investigators",0.37628484757794906,25.1,2021
565,Compliance officers,0.36206531344031573,25.1,2021
600,Cost estimators,0.3549635666782809,25.1,2021
630,Human resources workers,0.35097437039006135,25.1,2021
640,"Compensation, benefits, and job analysis specialists",0.3608587087458417,25.1,2021
650,Training and development specialists,0.3362288715827616,25.1,2021
700,Logisticians,0.35657125553545926,25.1,2021
705,Project management specialists,0.35657125553545926,25.1,2021
710,Management analysts,0.33866457034728403,25.1,2021
725,"Meeting, convention, and event planners",0.3382103626744119,25.1,2021
726,Fundraisers,0.3453222963475312,25.1,2021
